"Cohort","N_cases","N_controls","N","Neff","rows","gws"
"DME_1",15579,259909,275488,58792,8042200,250
"DME_2",15579,155790,171369,56651,8035518,198
"DME_1_female",12833,218949,231782,48490,8038483,211
"DME_1_male",2746,40960,43706,10294,8021519,0
"DME_1_infectious_onset",9738,259909,269647,37545,8041014,3
"MVP",3891,439202,443093,15427,8518470,0
"UKBEIB",2092,482506,484598,8332,8150066,0
"UKBNL_both_sexes",1659,359482,361141,6606,7995674,0
"UKBNL_female",1208,192945,194153,4802,7956089,10
"UKBNL_male",451,166537,166988,1799,6681272,0
"FG",283,463029,463312,1131,8446067,0
"LC",6450,1093995,1100445,25649,8548965,0
