# TOTAL_GENES = 15002
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Gad1Gad2_Cplx3.1_1           COVAR   15002     0.016518     0.045395    0.0087577     0.029647 Neuron_Gad1Gad2_Cplx3.1_1
Neuron_Gad1Gad2-Slc17a8_Synp...     COVAR   15002    0.0080825     0.022387    0.0078082      0.15031 Neuron_Gad1Gad2-Slc17a8_Synpr-Sncg-Yjefn3.1_10
Neuron_Gad1Gad2_Synpr-Sncg.1...     COVAR   15002     0.011087     0.030909    0.0076577     0.073852 Neuron_Gad1Gad2_Synpr-Sncg.1_11
Neuron_Gad1Gad2_Cplx3-Reln.1...     COVAR   15002     0.017724     0.048946    0.0089476     0.023814 Neuron_Gad1Gad2_Cplx3-Reln.1_2
Neuron_Gad1Gad2_Synpr-Nnat.1...     COVAR   15002     0.005887     0.017084     0.006101       0.1673 Neuron_Gad1Gad2_Synpr-Nnat.1_3
Neuron_Gad1Gad2_Synpr-Crispl...     COVAR   15002    0.0047203     0.013207    0.0074338      0.26273 Neuron_Gad1Gad2_Synpr-Crispld2.1_4
Neuron_Gad1Gad2-Chat_Synpr-S...     COVAR   15002    0.0077107     0.021213    0.0084398      0.18047 Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.1_5
Neuron_Gad1Gad2_Synpr-Pcdh11...     COVAR   15002     0.027171     0.074808    0.0085889   0.00078109 Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6
Neuron_Gad1Gad2_Synpr-Dpy19l...     COVAR   15002     0.013959     0.039751    0.0068904     0.021398 Neuron_Gad1Gad2_Synpr-Dpy19l1.1_7
Neuron_Gad1Gad2_Cplx3-Dpy19l...     COVAR   15002    0.0082988     0.024497    0.0054859     0.065184 Neuron_Gad1Gad2_Cplx3-Dpy19l1.1_8
Neuron_Gad1Gad2_Cplx3-Crim1....     COVAR   15002      0.01429     0.040824    0.0069619     0.020063 Neuron_Gad1Gad2_Cplx3-Crim1.1_9
Polydendrocyte_Tnr_Cspg5.10_1       COVAR   15002    -0.013878    -0.037915    0.0064988      0.98363 Polydendrocyte_Tnr_Cspg5.10_1
Polydendrocyte_Tnr_Dlx1.10_2        COVAR   15002    -0.014272    -0.040846    0.0044912      0.99926 Polydendrocyte_Tnr_Dlx1.10_2
Polydendrocyte_Tnr_Pdgfa.10_3       COVAR   15002    -0.010266    -0.028556    0.0052691       0.9743 Polydendrocyte_Tnr_Pdgfa.10_3
Polydendrocyte_Tnr_Opalin.10...     COVAR   15002   -0.0062181    -0.017655    0.0042926      0.92626 Polydendrocyte_Tnr_Opalin.10_4
Polydendrocyte_Tnr_Bmp4-_Ptg...     COVAR   15002    -0.010561      -0.0294    0.0054706      0.97321 Polydendrocyte_Tnr_Bmp4-_Ptgds.10_5
Polydendrocyte_Tnr_Bmp4-Gpr1...     COVAR   15002   -0.0089167    -0.025296    0.0054948      0.94767 Polydendrocyte_Tnr_Bmp4-Gpr17.10_6
Microglia_C1qb_Tmem119.11_1         COVAR   15002   -0.0029654   -0.0078088    0.0057089      0.69827 Microglia_C1qb_Tmem119.11_1
Neuron_Slc17a6_Reln.11_2            COVAR   15002   -0.0045601    -0.014545    0.0033869       0.9109 Neuron_Slc17a6_Reln.11_2
Macrophage_C1qb_Mrc1.11_3           COVAR   15002   -0.0015808   -0.0044264    0.0041452      0.64853 Macrophage_C1qb_Mrc1.11_3
Microglia_C1qb_Tmem119-Fos.1...     COVAR   15002    0.0010416    0.0032959    0.0027166      0.35071 Microglia_C1qb_Tmem119-Fos.11_4
Endothelial_Stalk_Flt1_Gkn3....     COVAR   15002    -0.020086     -0.05352    0.0051302      0.99995 Endothelial_Stalk_Flt1_Gkn3.12_1
Endothelial_Stalk_Flt1_Mgp.1...     COVAR   15002     -0.01605    -0.045676    0.0040177      0.99997 Endothelial_Stalk_Flt1_Mgp.12_2
Endothelial_Stalk_Flt1_Car4....     COVAR   15002     -0.01847    -0.049448    0.0051548      0.99983 Endothelial_Stalk_Flt1_Car4.12_3
Endothelial_Stalk_Flt1_Cfh.1...     COVAR   15002    -0.018271    -0.049177    0.0049612      0.99988 Endothelial_Stalk_Flt1_Cfh.12_4
Endothelial_Stalk_Flt1_Lrg1....     COVAR   15002   -0.0063133    -0.019047    0.0034105      0.96791 Endothelial_Stalk_Flt1_Lrg1.12_5
Mural_Rgs5Acta2_Cnn1.13_1           COVAR   15002    -0.015766    -0.042094    0.0049331       0.9993 Mural_Rgs5Acta2_Cnn1.13_1
Mural_Rgs5Acta2_Ccnd1.13_2          COVAR   15002    -0.015217    -0.040815    0.0049643      0.99891 Mural_Rgs5Acta2_Ccnd1.13_2
Mural_Rgs5Acta2_Abcc9.13_3          COVAR   15002     -0.01009    -0.028627    0.0046032       0.9858 Mural_Rgs5Acta2_Abcc9.13_3
Mural_Rgs5Acta2_Col3a1.13_4         COVAR   15002    -0.013742    -0.040576    0.0036843       0.9999 Mural_Rgs5Acta2_Col3a1.13_4
Endothelial_Tip_Dcn_1500015O...     COVAR   15002   -0.0095662    -0.026965    0.0044082      0.98499 Endothelial_Tip_Dcn_1500015O10Rik.14_1
Endothelial_Tip_Dcn_Dapl1.14...     COVAR   15002    -0.011198    -0.031581    0.0041509       0.9965 Endothelial_Tip_Dcn_Dapl1.14_2
Endothelial_Tip_Dcn_Coch.14_3       COVAR   15002   -0.0074247    -0.021465    0.0038565      0.97289 Endothelial_Tip_Dcn_Coch.14_3
Endothelial_Tip_Dcn_Col15a1....     COVAR   15002    -0.015247    -0.041894    0.0048904      0.99909 Endothelial_Tip_Dcn_Col15a1.14_4
Endothelial_Tip_Dcn_Inmt.14_5       COVAR   15002   -0.0081769    -0.025259    0.0031663      0.99509 Endothelial_Tip_Dcn_Inmt.14_5
