# TOTAL_GENES = 15002
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Chat-Gad1Gad2-Slc17a8...2     COVAR   15002    0.0061755     0.016901    0.0069542      0.18727 Neuron_Chat-Gad1Gad2-Slc17a8_Ngfr.1_1
Neuron_Chat-Gad1Gad2-Slc17a8...1     COVAR   15002    0.0026536    0.0074984    0.0060723      0.33106 Neuron_Chat-Gad1Gad2-Slc17a8_Nefm.1_2
Oligodendrocyte_Trf_Mbp.10_1         COVAR   15002   -0.0010759   -0.0028405    0.0064684      0.56605 Oligodendrocyte_Trf_Mbp.10_1
Oligodendrocyte_Trf_Klk6.10_2        COVAR   15002  -0.00095058   -0.0025364    0.0058261       0.5648 Oligodendrocyte_Trf_Klk6.10_2
Oligodendrocyte_Trf_Ttyh1.10...      COVAR   15002   0.00023244   0.00062037    0.0059597      0.48444 Oligodendrocyte_Trf_Ttyh1.10_3
Oligodendrocyte_Trf_Ctps.10_4        COVAR   15002  -0.00052436   -0.0014338    0.0051169      0.54081 Oligodendrocyte_Trf_Ctps.10_4
Oligodendrocyte_Trf_Il33.10_5        COVAR   15002   -0.0021197   -0.0056349    0.0062287      0.63318 Oligodendrocyte_Trf_Il33.10_5
Oligodendrocyte_Trf_Kif5b.10...      COVAR   15002    0.0012796    0.0033801    0.0062858      0.41935 Oligodendrocyte_Trf_Kif5b.10_6
Microglia_C1qb_Tmem119.11_1          COVAR   15002   -0.0035718   -0.0099987    0.0041156      0.80726 Microglia_C1qb_Tmem119.11_1
Macrophage_C1qb_Mrc1.11_2            COVAR   15002   -0.0035185   -0.0099356    0.0039097      0.81591 Macrophage_C1qb_Mrc1.11_2
Neuron_Gad1Gad2_Tac1.2_1             COVAR   15002     0.008391     0.023956    0.0059215     0.078247 Neuron_Gad1Gad2_Tac1.2_1
Neuron_Gad1Gad2_Cadm2.2_10           COVAR   15002    0.0073652     0.021254    0.0043842     0.046496 Neuron_Gad1Gad2_Cadm2.2_10
Neuron_Slc17a7_Neurod2-Rorb....      COVAR   15002     0.021191     0.059417    0.0059403   0.00018098 Neuron_Slc17a7_Neurod2-Rorb.2_11
Neuron_Slc17a7_Neurod2-C1ql3...      COVAR   15002      0.00781     0.022236    0.0051702     0.065459 Neuron_Slc17a7_Neurod2-C1ql3.2_12
Neuron_Gad1Gad2_Grem.2_13            COVAR   15002     0.018677     0.050988    0.0075548    0.0067197 Neuron_Gad1Gad2_Grem.2_13
Neuron_Gad1Gad2_Scn4b.2_14           COVAR   15002      0.01122     0.029957    0.0069023      0.05203 Neuron_Gad1Gad2_Scn4b.2_14
Neuron_Gad1Gad2_Fibcd1.2_15          COVAR   15002     0.015356     0.040837    0.0079897     0.027315 Neuron_Gad1Gad2_Fibcd1.2_15
Neuron_Gad1Gad2_Trdn.2_16            COVAR   15002      0.01447     0.039222     0.007072     0.020384 Neuron_Gad1Gad2_Trdn.2_16
Neuron_Gad1Gad2_Elfn1-Grik3....      COVAR   15002     0.014166      0.03886     0.007126     0.023422 Neuron_Gad1Gad2_Elfn1-Grik3.2_17
Neuron_Gad1Gad2_Pappa.2_18           COVAR   15002     0.010052     0.027836    0.0068482     0.071081 Neuron_Gad1Gad2_Pappa.2_18
Neuron_Gad1Gad2_Cyp26b1.2_19         COVAR   15002    0.0042081      0.01148    0.0081277      0.30232 Neuron_Gad1Gad2_Cyp26b1.2_19
Neuron_Slc17a6_Cck.2_2               COVAR   15002     0.017144     0.046991    0.0066819    0.0051525 Neuron_Slc17a6_Cck.2_2
Neuron_Gad1Gad2_Six3-Pvalb.2...      COVAR   15002     0.013081     0.036459    0.0065603     0.023087 Neuron_Gad1Gad2_Six3-Pvalb.2_20
Neuron_Gad1Gad2_Vip.2_21             COVAR   15002     0.011013     0.031056    0.0063028     0.040308 Neuron_Gad1Gad2_Vip.2_21
Neuron_Gad1Gad2_Lamp5-Cplx3....      COVAR   15002     0.011034     0.034475    0.0037144    0.0014893 Neuron_Gad1Gad2_Lamp5-Cplx3.2_22
Neuron_Gad1Gad2_Trh.2_23             COVAR   15002      0.01108     0.032497    0.0050811     0.014612 Neuron_Gad1Gad2_Trh.2_23
Neuron_Gad1Gad2_Igfbp4_Rgs4....      COVAR   15002    0.0092925     0.026031    0.0064279     0.074148 Neuron_Gad1Gad2_Igfbp4_Rgs4.2_24
Neuron_Gad1Gad2_Igfbp4_Adora...      COVAR   15002     0.013796     0.039393    0.0060147      0.01091 Neuron_Gad1Gad2_Igfbp4_Adora1.2_25
Neuron_Gad1Gad2_Tac2.2_3             COVAR   15002     0.027854     0.074448    0.0078842    0.0002062 Neuron_Gad1Gad2_Tac2.2_3
Neuron_Gad1Gad2_Hpcal4.2_4           COVAR   15002     0.025683      0.06877    0.0077757   0.00047963 Neuron_Gad1Gad2_Hpcal4.2_4
Neuron_Gad1Gad2_Sst.2_5              COVAR   15002     0.017601     0.048364    0.0072669    0.0077216 Neuron_Gad1Gad2_Sst.2_5
Neuron_Gad1Gad2_Satb1.2_6            COVAR   15002      0.02012     0.055125    0.0072712    0.0028313 Neuron_Gad1Gad2_Satb1.2_6
Neuron_Gad1Gad2-Slc17a6_Cbln...      COVAR   15002     0.017583     0.048427     0.007008     0.006059 Neuron_Gad1Gad2-Slc17a6_Cbln1.2_7
Neuron_Slc17a6_Tcf7l2.2_8            COVAR   15002     0.018943     0.051456    0.0072676    0.0045776 Neuron_Slc17a6_Tcf7l2.2_8
Neuron_Slc17a6_Rspo3.2_9             COVAR   15002     0.020078     0.054881     0.007302    0.0029873 Neuron_Slc17a6_Rspo3.2_9
Neuron_Gad1Gad2_Drd1-Nefm.3_1        COVAR   15002     0.026701     0.072135    0.0073384   0.00013758 Neuron_Gad1Gad2_Drd1-Nefm.3_1
Neuron_Gad1Gad2_Vipr2.3_10           COVAR   15002     0.019961     0.059656    0.0044287   3.3109e-06 Neuron_Gad1Gad2_Vipr2.3_10
Neuron_Gad1Gad2_Drd1-Pdyn.3_2        COVAR   15002     0.019801     0.054641    0.0069073    0.0020776 Neuron_Gad1Gad2_Drd1-Pdyn.3_2
Neuron_Gad1Gad2_Adora2a.3_3          COVAR   15002     0.024871     0.067484    0.0071197   0.00023927 Neuron_Gad1Gad2_Adora2a.3_3
Neuron_Gad1Gad2_Cadm2.3_4            COVAR   15002      0.01936     0.053187    0.0059825   0.00060725 Neuron_Gad1Gad2_Cadm2.3_4
Neuron_Gad1Gad2_Drd1-Pde1c.3...      COVAR   15002     0.020036     0.055224    0.0069857    0.0020673 Neuron_Gad1Gad2_Drd1-Pde1c.3_5
Neuron_Gad1Gad2_Adora2a-Pde1...      COVAR   15002     0.024926     0.068428    0.0070488   0.00020366 Neuron_Gad1Gad2_Adora2a-Pde1c.3_6
Neuron_Gad1Gad2_Sphkap-Tmem2...      COVAR   15002     0.024785     0.067802    0.0077407   0.00068413 Neuron_Gad1Gad2_Sphkap-Tmem255a.3_7
Neuron_Gad1Gad2_Sphkap-Cpne4...      COVAR   15002     0.019362     0.054325    0.0062922    0.0010468 Neuron_Gad1Gad2_Sphkap-Cpne4.3_8
Neuron_Gad1Gad2-Th_Adora2a-T...      COVAR   15002      0.03135     0.085511    0.0074629   1.3379e-05 Neuron_Gad1Gad2-Th_Adora2a-Th.3_9
Polydendrocyte_Tnr_Pdgfa-Pik...      COVAR   15002   -0.0084561    -0.023618     0.005586      0.93495 Polydendrocyte_Tnr_Pdgfa-Pik3r3.4_1
Polydendrocyte_Tnr_Pdgfa-Tme...      COVAR   15002    -0.005031    -0.014021    0.0051227      0.83696 Polydendrocyte_Tnr_Pdgfa-Tmem2.4_2
Polydendrocyte_Tnr_Opalin.4_3        COVAR   15002   -0.0059443    -0.016773    0.0044836      0.90753 Polydendrocyte_Tnr_Opalin.4_3
Polydendrocyte_Tnr_Bmp4.4_4          COVAR   15002   -0.0019537   -0.0054506    0.0060072      0.62749 Polydendrocyte_Tnr_Bmp4.4_4
Polydendrocyte_Tnr_Cspg5.4_5         COVAR   15002   -0.0072041    -0.019776    0.0065803      0.86319 Polydendrocyte_Tnr_Cspg5.4_5
Mitotic_MkI67.4_6                    COVAR   15002   -0.0030245   -0.0098513     0.002914      0.85034 Mitotic_MkI67.4_6
Polydendrocyte_Tnr_Cyth3.4_7         COVAR   15002  -0.00018364  -0.00055625    0.0026382      0.52775 Polydendrocyte_Tnr_Cyth3.4_7
