# TOTAL_GENES = 15002
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Gad1Gad2_Pvalb_C1ql1....      COVAR   15002     0.012018     0.034195    0.0072904     0.049642 Neuron_Gad1Gad2_Pvalb_C1ql1.1_1
Neuron_Gad1Gad2_Sst_Pcdh11x....      COVAR   15002     0.011577     0.033417    0.0066693     0.041303 Neuron_Gad1Gad2_Sst_Pcdh11x.1_10
Gad1Gad2_Cplx3_Rxfp1.1_11            COVAR   15002    0.0073776      0.02103    0.0080735      0.18042 Gad1Gad2_Cplx3_Rxfp1.1_11
Gad1Gad2_Cplx3_Tox.1_12              COVAR   15002    0.0080455     0.023252    0.0071956      0.13177 Gad1Gad2_Cplx3_Tox.1_12
Gad1Gad2_Id2_Tac1.1_13               COVAR   15002    0.0077881     0.022389    0.0070927       0.1361 Gad1Gad2_Id2_Tac1.1_13
Gad1Gad2_Id2_Bcl11b.1_14             COVAR   15002    0.0093515     0.026313    0.0088233      0.14461 Gad1Gad2_Id2_Bcl11b.1_14
Gad1Gad2_Id2_Prlr.1_15               COVAR   15002     0.005604     0.015857    0.0084646      0.25397 Gad1Gad2_Id2_Prlr.1_15
Gad1Gad2_Htr3a_Nnat.1_16             COVAR   15002   -0.0050208    -0.014807    0.0061704      0.79209 Gad1Gad2_Htr3a_Nnat.1_16
Gad1Gad2Chat_Htr3a_Chat.1_17         COVAR   15002    0.0042252     0.011896    0.0084168      0.30784 Gad1Gad2Chat_Htr3a_Chat.1_17
Gad1Gad2_Htr3a_Phlda1.1_18           COVAR   15002   -0.0025138   -0.0072107    0.0072487      0.63562 Gad1Gad2_Htr3a_Phlda1.1_18
Gad1Gad2_Htr3a_Efba5.1_19            COVAR   15002     0.006975     0.020369    0.0063715      0.13683 Gad1Gad2_Htr3a_Efba5.1_19
Neuron_Gad1Gad2_Id2_Sfrp2.1_2        COVAR   15002     0.010203      0.03021    0.0059111     0.042177 Neuron_Gad1Gad2_Id2_Sfrp2.1_2
Gad1Gad2_Htr3a_Cpne5.1_20            COVAR   15002     -0.00772    -0.021876    0.0079255      0.83498 Gad1Gad2_Htr3a_Cpne5.1_20
Gad1Gad2_Htr3a_Ecel1.1_21            COVAR   15002   -0.0039019    -0.011167    0.0072474      0.70484 Gad1Gad2_Htr3a_Ecel1.1_21
Gad1Gad2_Htr3a_Ibsp.1_22             COVAR   15002   -0.0046265    -0.013273     0.007284      0.73733 Gad1Gad2_Htr3a_Ibsp.1_22
Gad1Gad2_Htr3a_Krt73.1_23            COVAR   15002  -0.00095772     -0.00269    0.0086205      0.54423 Gad1Gad2_Htr3a_Krt73.1_23
Gad1Gad2Slc17a8_Htr3a_Ktcd12...      COVAR   15002    0.0050299     0.014182    0.0083853      0.27431 Gad1Gad2Slc17a8_Htr3a_Ktcd12.1_24
Gad1Gad2_Htr3a_Chrm2.1_25            COVAR   15002   -0.0019945    -0.005815    0.0063528      0.62322 Gad1Gad2_Htr3a_Chrm2.1_25
Gad1Gad2_Htr3a_Htr1b.1_26            COVAR   15002    0.0013559    0.0038572    0.0079244      0.43207 Gad1Gad2_Htr3a_Htr1b.1_26
Gad1Gad2_Htr3a_Sema3c.1_27           COVAR   15002    0.0010509    0.0030733     0.006471      0.43549 Gad1Gad2_Htr3a_Sema3c.1_27
Neuron_Gad1Gad2_Sst_Atp2b4.1...      COVAR   15002    0.0080512     0.024267    0.0047826     0.046156 Neuron_Gad1Gad2_Sst_Atp2b4.1_3
Neuron_Gad1Gad2Slc17a8_Sst_N...      COVAR   15002     0.009142     0.025576    0.0079472      0.12501 Neuron_Gad1Gad2Slc17a8_Sst_Ncam2.1_4
Neuron_Gad1Gad2_Sst_Spon1.1_5        COVAR   15002     0.015212      0.04282    0.0071501     0.016694 Neuron_Gad1Gad2_Sst_Spon1.1_5
Neuron_Gad1Gad2_Pvalb_Tac1.1...      COVAR   15002     0.026861     0.074612    0.0079189   0.00034789 Neuron_Gad1Gad2_Pvalb_Tac1.1_6
Neuron_Gad1Gad2_Pvalb_Gfra1....      COVAR   15002    0.0084283     0.023789    0.0068524      0.10936 Neuron_Gad1Gad2_Pvalb_Gfra1.1_7
Neuron_Gad1Gad2_Sst_Rbp4.1_8         COVAR   15002     0.011584     0.032819    0.0074848      0.06086 Neuron_Gad1Gad2_Sst_Rbp4.1_8
Neuron_Gad1Gad2_Sst_Grm1.1_9         COVAR   15002    0.0060111     0.016966    0.0073554       0.2069 Neuron_Gad1Gad2_Sst_Grm1.1_9
Microglia_C1qb_Tmem119.10_1          COVAR   15002   -0.0038006    -0.010241    0.0045877      0.79628 Microglia_C1qb_Tmem119.10_1
Macrophage_C1qb_Mrc1.10_2            COVAR   15002  -0.00092323   -0.0027166       0.0034      0.60701 Macrophage_C1qb_Mrc1.10_2
Ependymal_Ccdc153.11_1               COVAR   15002   -0.0046629    -0.012268    0.0042984      0.86098 Ependymal_Ccdc153.11_1
Choroid_Plexus_Ttr.12_1              COVAR   15002   -0.0072065    -0.019393    0.0041144      0.96006 Choroid_Plexus_Ttr.12_1
Neurogenesis_Sox4_Efhd2.13_1         COVAR   15002   -0.0092595    -0.027043    0.0041728      0.98675 Neurogenesis_Sox4_Efhd2.13_1
Neurogenesis_Sox4_Hist1h2al....      COVAR   15002    -0.011862    -0.034154    0.0043215      0.99697 Neurogenesis_Sox4_Hist1h2al.13_2
Neurogenesis_Sox4_Cdc20.13_3         COVAR   15002   -0.0048916    -0.014527    0.0037078      0.90645 Neurogenesis_Sox4_Cdc20.13_3
Neurogenesis_Sox4_Gad2.13_4          COVAR   15002   -0.0023886   -0.0075871    0.0031938      0.77273 Neurogenesis_Sox4_Gad2.13_4
Neurogenesis_Sox4_Gabra5.13_5        COVAR   15002   -0.0024434   -0.0069974    0.0060413      0.65706 Neurogenesis_Sox4_Gabra5.13_5
Neurogenesis_Sox4_Ppp2r2b.13...      COVAR   15002    -0.004808    -0.014225    0.0046121       0.8514 Neurogenesis_Sox4_Ppp2r2b.13_6
Neuron_Slc17a6_Lhx1.14_1             COVAR   15002   -0.0097784     -0.02729    0.0069863      0.91918 Neuron_Slc17a6_Lhx1.14_1
Endothelial_Stalk_Flt1_Cdkn2...      COVAR   15002    -0.016741    -0.045236    0.0045151       0.9999 Endothelial_Stalk_Flt1_Cdkn2b.15_1
