# TOTAL_GENES = 15002
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Slc17a7_Syt6-Cplx3.1_1        COVAR   15002     0.018161     0.050939    0.0089313     0.021014 Neuron_Slc17a7_Syt6-Cplx3.1_1
Neuron_Slc17a7-Slc17a8_Syt6-...      COVAR   15002    0.0062066     0.018472    0.0055496      0.13171 Neuron_Slc17a7-Slc17a8_Syt6-Lancl3.1_2
Neuron_Slc17a7_Syt6-Tshz2-Nr...      COVAR   15002     0.031898      0.08889     0.010253   0.00093384 Neuron_Slc17a7_Syt6-Tshz2-Nrep.1_3
Neuron_Slc17a7_Syt6-Sla.1_4          COVAR   15002     0.040087      0.11111     0.011028   0.00013957 Neuron_Slc17a7_Syt6-Sla.1_4
Neuron_Slc17a7_Syt6-Nnat.1_5         COVAR   15002     0.022494     0.063947    0.0081781    0.0029793 Neuron_Slc17a7_Syt6-Nnat.1_5
Neuron_Slc17a7_Syt6-Slc24a2....      COVAR   15002     0.014384     0.041633    0.0059923    0.0081958 Neuron_Slc17a7_Syt6-Slc24a2.1_6
Neuron_Slc17a7_Syt6-Tox.1_7          COVAR   15002     0.031628     0.088412     0.010521    0.0013254 Neuron_Slc17a7_Syt6-Tox.1_7
Neuron_Slc17a7_Syt6-Nefm.1_8         COVAR   15002     0.040203      0.11143     0.010846   0.00010542 Neuron_Slc17a7_Syt6-Nefm.1_8
Neuron_Slc17a7_Syt6-Fos.1_9          COVAR   15002     0.033851     0.094612     0.010113    0.0004089 Neuron_Slc17a7_Syt6-Fos.1_9
Polydendrocyte_Tnr_Cspg5.10_1        COVAR   15002   -0.0097433    -0.026932    0.0061012      0.94485 Polydendrocyte_Tnr_Cspg5.10_1
Polydendrocyte_Tnr_Dlx1.10_2         COVAR   15002   -0.0087529    -0.026346     0.003767      0.98992 Polydendrocyte_Tnr_Dlx1.10_2
Polydendrocyte_Tnr_Tmsb4x.10...      COVAR   15002     -0.01278    -0.036109    0.0052336      0.99269 Polydendrocyte_Tnr_Tmsb4x.10_3
Polydendrocyte_Tnr_Lims2-Tms...      COVAR   15002   -0.0067968    -0.020258    0.0045096      0.93411 Polydendrocyte_Tnr_Lims2-Tmsb4x.10_4
Microglia_C1qb_Tmem119.11_1          COVAR   15002   -0.0023517   -0.0063043     0.005694       0.6602 Microglia_C1qb_Tmem119.11_1
Macrophage_C1qb_Mrc1.11_2            COVAR   15002   -0.0051963    -0.014938     0.004021      0.90187 Macrophage_C1qb_Mrc1.11_2
Microglia_C1qb_Tmem119-Fos.1...      COVAR   15002   -0.0029867   -0.0090605    0.0025869      0.87585 Microglia_C1qb_Tmem119-Fos.11_3
Microglia_C1qb_Tmem119-Junb....      COVAR   15002   -0.0013406   -0.0037668     0.002632      0.69474 Microglia_C1qb_Tmem119-Junb.11_4
Endothelial_Stalk_Flt1_Car4....      COVAR   15002    -0.016921    -0.046393    0.0047268      0.99983 Endothelial_Stalk_Flt1_Car4.12_1
Endothelial_Stalk_Flt1_Vwf.1...      COVAR   15002    -0.015434    -0.042589    0.0044478      0.99974 Endothelial_Stalk_Flt1_Vwf.12_2
Endothelial_Stalk_Flt1_Gm994...      COVAR   15002    -0.015704    -0.042486     0.004805      0.99946 Endothelial_Stalk_Flt1_Gm9946.12_3
Endothelial_Stalk_Flt1_Gkn3....      COVAR   15002    -0.014487    -0.040411    0.0042703      0.99965 Endothelial_Stalk_Flt1_Gkn3.12_4
Mural_Acta2Rgs5_Acta2.13_1           COVAR   15002    -0.013365    -0.036737    0.0045431      0.99837 Mural_Acta2Rgs5_Acta2.13_1
Mural_Acta2Rgs5_Fos.13_2             COVAR   15002    -0.004441     -0.01371    0.0028419      0.94092 Mural_Acta2Rgs5_Fos.13_2
Mural_Acta2Rgs5Rgs5.13_3             COVAR   15002    -0.012662      -0.0355    0.0043469      0.99821 Mural_Acta2Rgs5Rgs5.13_3
Mural_Acta2Rgs5_Kcnj8-Abcc9....      COVAR   15002    -0.011811    -0.036058    0.0034617      0.99968 Mural_Acta2Rgs5_Kcnj8-Abcc9.13_4
Mural_Acta2Rgs5_Abcc9.13_5           COVAR   15002   -0.0079047    -0.024899    0.0030081       0.9957 Mural_Acta2Rgs5_Abcc9.13_5
Endothelial_Tip_Dcn_Mgp-Penk...      COVAR   15002     -0.01259    -0.034294    0.0050675      0.99351 Endothelial_Tip_Dcn_Mgp-Penk.14_1
Endothelial_Tip_Dcn_Mgp-Clu....      COVAR   15002    -0.010969    -0.030876    0.0043494      0.99416 Endothelial_Tip_Dcn_Mgp-Clu.14_2
Endothelial_Tip_Dcn_Nnat.14_3        COVAR   15002     -0.00748     -0.02095    0.0038716      0.97331 Endothelial_Tip_Dcn_Nnat.14_3
Endothelial_Tip_Dcn_Coch.14_4        COVAR   15002    -0.010806    -0.029993    0.0042595       0.9944 Endothelial_Tip_Dcn_Coch.14_4
Endothelial_Tip_Dcn_Inmt.14_5        COVAR   15002   -0.0098331     -0.02963    0.0033301      0.99842 Endothelial_Tip_Dcn_Inmt.14_5
Neuron_Sc17a7_Calb1-Ddit4l.2...      COVAR   15002     0.037328      0.10223     0.010681   0.00023781 Neuron_Sc17a7_Calb1-Ddit4l.2_1
Neuron_Slc17a7-Slc17a6_Rorb-...      COVAR   15002     0.046873      0.12941     0.011064   1.1417e-05 Neuron_Slc17a7-Slc17a6_Rorb-Pcdh20.2_10
Neuron_Sc17a7_Rorb-Gpr83.2_11        COVAR   15002     0.047752      0.13146     0.011554      1.8e-05 Neuron_Sc17a7_Rorb-Gpr83.2_11
Neuron_Sc17a7_Fermt1.2_12            COVAR   15002      0.04382       0.1207     0.010069    6.788e-06 Neuron_Sc17a7_Fermt1.2_12
Neuron_Slc17a7-Slc17a6_Calb1...      COVAR   15002     0.046817      0.12889     0.011864   3.9888e-05 Neuron_Slc17a7-Slc17a6_Calb1-Rorb-Il1rapl2.2_13
Neuron_Slc17a7-Slc17a6_Tshz2...7     COVAR   15002     0.039566      0.10903     0.011862   0.00042676 Neuron_Slc17a7-Slc17a6_Tshz2.2_14
Neuron_Sc17a7_Oprk1.2_15             COVAR   15002     0.020713     0.057793    0.0083293    0.0064515 Neuron_Sc17a7_Oprk1.2_15
Neuron_Sc17a7_Crym.2_16              COVAR   15002     0.026038     0.071238     0.010517    0.0066529 Neuron_Sc17a7_Crym.2_16
Neuron_Sc17a7_Sema3e-Nnat.2_...      COVAR   15002     0.035352     0.097434     0.011517     0.001074 Neuron_Sc17a7_Sema3e-Nnat.2_17
Neuron_Sc17a7_Sema3e-Onecut2...      COVAR   15002     0.039541      0.10921     0.010762   0.00011979 Neuron_Sc17a7_Sema3e-Onecut2.2_18
Neuron_Sc17a7_Calb1-Tshz2.2_2        COVAR   15002     0.036598      0.10117     0.011252    0.0005731 Neuron_Sc17a7_Calb1-Tshz2.2_2
Neuron_Sc17a7_Tshz2-Smoc1.2_3        COVAR   15002     0.015671     0.043904    0.0091157     0.042804 Neuron_Sc17a7_Tshz2-Smoc1.2_3
Neuron_Sc17a7_Calb1-Fos.2_4          COVAR   15002     0.032051     0.088442    0.0096821   0.00046717 Neuron_Sc17a7_Calb1-Fos.2_4
Neuron_Sc17a7_Calb1-Lpl.2_5          COVAR   15002     0.039554      0.10821     0.010913   0.00014518 Neuron_Sc17a7_Calb1-Lpl.2_5
Neuron_Sc17a7_Calb1-Otof.2_6         COVAR   15002      0.02931     0.080143      0.01009    0.0018403 Neuron_Sc17a7_Calb1-Otof.2_6
Neuron_Sc17a7_Calb1-Lpl-Penk...      COVAR   15002     0.031391      0.08638    0.0096884   0.00059899 Neuron_Sc17a7_Calb1-Lpl-Penk.2_7
Neuron_Sc17a7_Calb1-Lpl-Cadm...      COVAR   15002     0.011717     0.033446    0.0060653     0.026704 Neuron_Sc17a7_Calb1-Lpl-Cadm2.2_8
Neuron_Sc17a7_Rorb-BC006965....      COVAR   15002     0.050242      0.13875      0.01099     2.44e-06 Neuron_Sc17a7_Rorb-BC006965.2_9
Neuron_Slc17a7_Bcl6-Cbln1.3_1        COVAR   15002     0.026772     0.074442      0.00948    0.0023742 Neuron_Slc17a7_Bcl6-Cbln1.3_1
Neuron_Slc17a7_Bcl6-Npnt.3_10        COVAR   15002     0.025665     0.071683    0.0093216    0.0029533 Neuron_Slc17a7_Bcl6-Npnt.3_10
Neuron_Slc17a7_Bcl6-Dditl.3_2        COVAR   15002     0.023532     0.065972    0.0092487    0.0054789 Neuron_Slc17a7_Bcl6-Dditl.3_2
Neuron_Slc17a7_Bcl6-C1ql2.3_3        COVAR   15002     0.022457     0.062384    0.0097886     0.010896 Neuron_Slc17a7_Bcl6-C1ql2.3_3
Neuron_Slc17a7_Bcl6-Tcerg1l....      COVAR   15002     0.033699     0.093296     0.010652   0.00078077 Neuron_Slc17a7_Bcl6-Tcerg1l.3_4
Neuron_Slc17a7_Bcl6-Fos.3_5          COVAR   15002     0.018756     0.052153     0.009374     0.022715 Neuron_Slc17a7_Bcl6-Fos.3_5
Neuron_Slc17a7_Bcl6-Ndst4.3_6        COVAR   15002    0.0039969     0.012183    0.0045843      0.19165 Neuron_Slc17a7_Bcl6-Ndst4.3_6
Neuron_Slc17a7_Bcl6-Ptgfr.3_7        COVAR   15002    0.0025928    0.0082015    0.0036993      0.24169 Neuron_Slc17a7_Bcl6-Ptgfr.3_7
Neuron_Slc17a7_Bcl6-Tshz2-Sy...      COVAR   15002     0.014196     0.039524    0.0085238     0.047926 Neuron_Slc17a7_Bcl6-Tshz2-Syt2.3_8
Neuron_Slc17a7_Bcl6-Pvalb.3_9        COVAR   15002     0.021728     0.060209     0.009061    0.0082502 Neuron_Slc17a7_Bcl6-Pvalb.3_9
Neuron_Gad1Gad2_Cplx3-Reln.4...      COVAR   15002    0.0045154     0.012562    0.0087544        0.303 Neuron_Gad1Gad2_Cplx3-Reln.4_1
Neuron_Gad1Gad2_Cplx3-Npy.4_2        COVAR   15002    0.0051626     0.014518    0.0077078       0.2515 Neuron_Gad1Gad2_Cplx3-Npy.4_2
Neuron_Gad1Gad2_Cplx3-Egln3....      COVAR   15002     0.011046     0.031511    0.0074722      0.06967 Neuron_Gad1Gad2_Cplx3-Egln3.4_3
