# TOTAL_GENES = 15002
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Slc17a7_C1ql3.1_1            COVAR   15002    0.0069892      0.02124    0.0042449     0.049842 Neuron_Slc17a7_C1ql3.1_1
Oligodendrocyte_Tfr_Slco3a1....     COVAR   15002    0.0029937    0.0078405     0.006363      0.31901 Oligodendrocyte_Tfr_Slco3a1.10_1
Oligodendrocyte_Tfr_Plin3.10...     COVAR   15002    0.0030509    0.0080936    0.0057765       0.2987 Oligodendrocyte_Tfr_Plin3.10_2
Oligodendrocyte_Tfr_Ndrg2.10...     COVAR   15002    0.0020423     0.005359     0.006176      0.37044 Oligodendrocyte_Tfr_Ndrg2.10_3
Oligodendrocyte_Tfr_Il33.10_4       COVAR   15002    0.0013354    0.0034872    0.0064545      0.41805 Oligodendrocyte_Tfr_Il33.10_4
Oligodendrocyte_Tfr_Ctps.10_5       COVAR   15002    0.0046113      0.01223    0.0059812      0.22037 Oligodendrocyte_Tfr_Ctps.10_5
Oligodendrocyte_Tnr_Rps24.11...     COVAR   15002   -0.0050353    -0.012897    0.0050471      0.84077 Oligodendrocyte_Tnr_Rps24.11_1
Endothelial_Stalk_Flt1_Cdkn1...     COVAR   15002    -0.016685    -0.045446    0.0048085      0.99974 Endothelial_Stalk_Flt1_Cdkn1c.12_1
Endothelial_Stalk_Flt1_Gkn3....     COVAR   15002   -0.0098372    -0.029085    0.0038432      0.99476 Endothelial_Stalk_Flt1_Gkn3.12_2
Endothelial_Stalk_Flt1_Car4....     COVAR   15002    -0.013401     -0.03655    0.0048666      0.99705 Endothelial_Stalk_Flt1_Car4.12_3
Endothelial_Stalk_Flt1_Vwf.1...     COVAR   15002    -0.012218    -0.033784    0.0046155      0.99594 Endothelial_Stalk_Flt1_Vwf.12_4
Mural_Rgs5Acta2_Rgs5.13_1           COVAR   15002     -0.01709    -0.047113    0.0046238      0.99989 Mural_Rgs5Acta2_Rgs5.13_1
Mural_Rgs5Acta2_Kcnj8.13_2          COVAR   15002   -0.0076906    -0.023814    0.0030328      0.99439 Mural_Rgs5Acta2_Kcnj8.13_2
Mural_Rgs5Acta2_Cd9.13_3            COVAR   15002    -0.014169    -0.038243    0.0047665      0.99852 Mural_Rgs5Acta2_Cd9.13_3
Mural_Rgs5Acta2_Cbr2.13_4           COVAR   15002    -0.013346    -0.037402    0.0041107      0.99941 Mural_Rgs5Acta2_Cbr2.13_4
Mural_Rgs5Acta2_Fos.13_5            COVAR   15002    -0.010761    -0.031083    0.0037124      0.99812 Mural_Rgs5Acta2_Fos.13_5
Endothelial_Tip_Dcn_Mgp.14_1        COVAR   15002    -0.009639    -0.027267    0.0040413      0.99146 Endothelial_Tip_Dcn_Mgp.14_1
Endothelial_Tip_Dcn_Ifitm1.1...     COVAR   15002   -0.0076499    -0.021477    0.0038938      0.97526 Endothelial_Tip_Dcn_Ifitm1.14_2
Endothelial_Tip_Dcn_Alcam.14...     COVAR   15002   -0.0080445    -0.023892    0.0027376      0.99835 Endothelial_Tip_Dcn_Alcam.14_3
Neuron_Slc17a6.2_1                  COVAR   15002     0.019622     0.054787    0.0063704    0.0010364 Neuron_Slc17a6.2_1
Neuron_Gad1Gad2_Nfib-Satb1.3...     COVAR   15002    0.0095098     0.026622    0.0063337      0.06663 Neuron_Gad1Gad2_Nfib-Satb1.3_1
Neuron_Slc17a6_Cacna2d1.3_10        COVAR   15002     0.024952     0.065698    0.0079713   0.00087532 Neuron_Slc17a6_Cacna2d1.3_10
Neuron_Slc17a6_Shox2.3_11           COVAR   15002     0.012203     0.033539    0.0065313      0.03087 Neuron_Slc17a6_Shox2.3_11
Neuron_Slc17a6_Nkx6-1.3_12          COVAR   15002     0.019685      0.05372    0.0072666    0.0033793 Neuron_Slc17a6_Nkx6-1.3_12
Neuron_Gad1Gad2_Sema3e.3_13         COVAR   15002     0.025413     0.068399    0.0075223   0.00036553 Neuron_Gad1Gad2_Sema3e.3_13
Neuron_Gad1Gad2_Ttn.3_14            COVAR   15002     0.017518     0.047853    0.0074999    0.0097568 Neuron_Gad1Gad2_Ttn.3_14
Neuron_Slc17a6_C1ql2.3_15           COVAR   15002     0.018573      0.04974    0.0073511     0.005766 Neuron_Slc17a6_C1ql2.3_15
Neuron_Gad1Gad2_Gad2-Kcnc3.3...     COVAR   15002     0.012793     0.035269    0.0060162     0.016743 Neuron_Gad1Gad2_Gad2-Kcnc3.3_16
Neuron_Gad1Gad2_Sema3e-Kcng4...     COVAR   15002     0.010979     0.030899    0.0051888     0.017188 Neuron_Gad1Gad2_Sema3e-Kcng4.3_17
Neuron_Gad1Gad2_Pax5.3_18           COVAR   15002     0.020592     0.055041    0.0073814    0.0026416 Neuron_Gad1Gad2_Pax5.3_18
Neuron_Gad1Gad2_Tmem132c.3_19       COVAR   15002     0.016899      0.04761    0.0057369    0.0016135 Neuron_Gad1Gad2_Tmem132c.3_19
Neuron_Gad1Gad2_Otx2-Chrna3....     COVAR   15002    0.0063338     0.018587    0.0054515      0.12266 Neuron_Gad1Gad2_Otx2-Chrna3.3_2
Neuron_Gad1Gad2_Gad2.3_3            COVAR   15002     0.029538     0.078552    0.0083554   0.00020438 Neuron_Gad1Gad2_Gad2.3_3
Neuron_Gad1Gad2_Ndnf.3_4            COVAR   15002     0.013408     0.039585    0.0051184     0.004406 Neuron_Gad1Gad2_Ndnf.3_4
Neuron_Gad1Gad2_Rln3.3_5            COVAR   15002    0.0038517     0.011684     0.004358      0.18841 Neuron_Gad1Gad2_Rln3.3_5
Neuron_Slc17a6_Tcf4.3_6             COVAR   15002     0.014276     0.039433    0.0066224     0.015559 Neuron_Slc17a6_Tcf4.3_6
Neuron_Slc17a6-Gad2-Th_Crhbp...     COVAR   15002      0.02019     0.056361    0.0065713    0.0010638 Neuron_Slc17a6-Gad2-Th_Crhbp.3_7
Neuron_Gad1Gad2_Gad2-Fos.3_8        COVAR   15002    0.0075048     0.022007    0.0049935     0.066441 Neuron_Gad1Gad2_Gad2-Fos.3_8
Neuron_Slc17a6_Nts.3_9              COVAR   15002      0.01439     0.040327    0.0061091    0.0092571 Neuron_Slc17a6_Nts.3_9
Neuron_Th-Slc17a6-Lpl.4_1           COVAR   15002    0.0096633     0.026879    0.0063933     0.065346 Neuron_Th-Slc17a6-Lpl.4_1
Neuron_Th_Cbln1.4_2                 COVAR   15002     0.015027     0.043781    0.0051081    0.0016345 Neuron_Th_Cbln1.4_2
Neuron_Th_Cyp26b1.4_3               COVAR   15002     0.011423     0.032026    0.0063439     0.035895 Neuron_Th_Cyp26b1.4_3
