Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	15002	0.02878	0.078219	0.007324	4.2761e-05	0.002052528	0.024159965
DropViz_TH_level2	Neuron_Slc17a6_Rora_Atp2b4.2_1	15002	0.025269	0.067763	0.0077376	0.0005473	0.0262704	0.3092245
DropViz_TH_level2	Neuron_Slc17a6_Rora_Nptxr.2_2	15002	0.024828	0.066186	0.008107	0.0010993	0.0527664	0.6211045
DropViz_TH_level2	Neuron_Slc17a6_Rora_Fgf10.2_6	15002	0.022391	0.059754	0.0075602	0.0015327	0.0735696	0.8659755
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	15002	0.022619	0.060407	0.0078245	0.0019239	0.0923472	1
DropViz_TH_level2	Neuron_Slc17a6-Gad1Gad2_Asb4.3_7	15002	0.019297	0.053202	0.0069645	0.0027994	0.1343712	1
DropViz_TH_level2	Neuron_Slc17a6_Rora_Calca.2_3	15002	0.021752	0.058609	0.0078536	0.0028094	0.1348512	1
DropViz_TH_level2	Neuron_Slc17a6_Rora_Nrp2.2_4	15002	0.022206	0.059981	0.0080652	0.0029536	0.1417728	1
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cbln2.2_8	15002	0.02062	0.055231	0.0078041	0.0041235	0.197928	1
DropViz_TH_level2	Neuron_Gad1Gad2_Col25a1.3_8	15002	0.02008	0.052505	0.008158	0.0069251	0.3324048	1
DropViz_TH_level2	Neuron_Slc17a7_Tac2_Wif1.1_3	15002	0.015515	0.043621	0.0063038	0.0069301	0.3326448	1
DropViz_TH_level2	Neuron_Slc17a6_Nrgn.3_9	15002	0.016519	0.043873	0.0069846	0.0090206	0.4329888	1
DropViz_TH_level2	Neuron_Slc17a6_Ebf1.3_10	15002	0.016882	0.045544	0.0071748	0.0093205	0.447384	1
DropViz_TH_level2	Neuron_Slc17a7_Tac2_Syt15.1_2	15002	0.013585	0.038612	0.0060416	0.012281	0.589488	1
DropViz_TH_level2	Neuron_Slc17a6_Rora_Pvalb.2_11	15002	0.017329	0.046663	0.0077406	0.012593	0.604464	1
DropViz_TH_level2	Neuron_Slc17a6_Rora_Lrrtm2.2_9	15002	0.014403	0.038506	0.006561	0.014081	0.675888	1
DropViz_TH_level2	Neuron_Gad1Gad2_Ttn.3_11	15002	0.012564	0.03546	0.0057414	0.014331	0.687888	1
DropViz_TH_level2	Neuron_Slc17a6_Rora_C1ql2.2_5	15002	0.014194	0.038679	0.0069204	0.020138	0.966624	1
DropViz_TH_level2	Neuron_Gad1Gad2_Six3-Adcy1.3_1	15002	0.014686	0.038516	0.0072515	0.021431	1	1
DropViz_TH_level2	Neuron_Gad1Gad2_Six3-Sst.3_2	15002	0.014225	0.039324	0.0074044	0.027368	1	1
DropViz_TH_level2	Neuron_Gad1Gad2_Pou6f2-Pax6.3_3	15002	0.015283	0.040838	0.0081299	0.030073	1	1
DropViz_TH_level2	Neuron_Slc17a6_Rora_Lypd6.2_7	15002	0.012708	0.034029	0.0072462	0.039745	1	1
