Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	Marginal.P	PS
DropViz_FC_level2	Neuron_Slc17a7_Nptxr-Calb1.6_1	1	15002	0.025338	0.06888	0.011427	0.013304	3.3439e-05	0.419151905077514
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Kit.3_12	1	15002	0.022956	0.063499	0.01195	0.027373	6.4004e-05	0.372616780564329
DropViz_FC_level2	Neuron_Slc17a7_Nptxr-Ndst4.6_2	2	15002	0.023182	0.063925	0.010807	0.015981	5.1472e-05	0.418893740981053
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Kit.3_12	2	15002	0.024109	0.066689	0.011778	0.020337	6.4004e-05	0.403384992626415
DropViz_FC_level2	Neuron_Slc17a7-Slc17a6_Nptxr-Rorb.6_3	3	15002	0.028207	0.076825	0.011997	0.009364	2.0123e-05	0.431943328478987
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Kit.3_12	3	15002	0.021902	0.060583	0.011987	0.033849	6.4004e-05	0.350626317989598
DropViz_FC_level2	Neuron_Slc17a7_Nptxr-Calb1.6_1	4	15002	0.023195	0.063052	0.014389	0.053494	3.3439e-05	0.28413022598429
DropViz_FC_level2	Neuron_Slc17a7_Nptxr-Ndst4.6_2	4	15002	0.018437	0.05084	0.013807	0.090894	5.1472e-05	0.242854619863085
DropViz_FC_level2	Neuron_Slc17a7-Slc17a6_Nptxr-Rorb.6_3	5	15002	0.025262	0.068803	0.017278	0.071868	2.0123e-05	0.243481606812586
DropViz_FC_level2	Neuron_Slc17a7_Nptxr-Calb1.6_1	5	15002	0.017894	0.048644	0.016508	0.13919	3.3439e-05	0.191340578228852
DropViz_FC_level2	Neuron_Slc17a7-Slc17a6_Nptxr-Rorb.6_3	6	15002	0.027129	0.07389	0.012924	0.017912	2.0123e-05	0.371963719142617
DropViz_FC_level2	Neuron_Slc17a7_Nptxr-Ndst4.6_2	6	15002	0.019208	0.052968	0.011849	0.052505	5.1472e-05	0.298430812351865
DropViz_GP_level2	Neuron_Gad1Gad2_Vipr2.3_10	7	15002	0.014534	0.043437	0.0049569	0.0016862	3.3109e-06	0.506033507578292
DropViz_GP_level2	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	7	15002	0.020342	0.055484	0.0083523	0.0074422	1.3379e-05	0.436701615366722
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Rorb-Pcdh20.2_10	8	15002	NA	NA	NA	NA	1.1417e-05	NA
DropViz_PC_level2	Neuron_Sc17a7_Rorb-Gpr83.2_11	8	15002	NA	NA	NA	NA	1.8e-05	NA
DropViz_PC_level2	Neuron_Sc17a7_Fermt1.2_12	9	15002	0.029972	0.082554	0.011632	0.0049929	6.788e-06	0.445342910128362
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Rorb-Pcdh20.2_10	9	15002	0.030375	0.083861	0.012781	0.0087444	1.1417e-05	0.416447473977822
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Rorb-Pcdh20.2_10	10	15002	0.032014	0.088387	0.014586	0.014095	1.1417e-05	0.374497601226619
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Calb1-Rorb-Il1rapl2.2_13	10	15002	0.024447	0.067306	0.015639	0.059018	3.9888e-05	0.279375186093574
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	11	15002	NA	NA	NA	NA	2.44e-06	NA
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Rorb-Pcdh20.2_10	11	15002	NA	NA	NA	NA	1.1417e-05	NA
DropViz_PC_level2	Neuron_Sc17a7_Fermt1.2_12	12	15002	0.030343	0.083576	0.011821	0.0051379	6.788e-06	0.442937306741519
