Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	CDM.BETA	CDM.BETA_STD	CDM.SE	CDM.P	CDM.ds	Marginal.P	PS	PS.avg
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	1	15002	0.019671	0.053463	0.0079972	0.0069569	0.028812	0.078306	0.0073259	4.2165e-05	DropViz_STR_level2	4.2761e-05	0.493156712990701	1.00139524263695
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Nefm.11_1	1	15002	0.025414	0.070578	0.0089289	0.0022147	0.034234	0.095071	0.0081788	1.4301e-05	DropViz_TH_level2	2.4658e-05	0.547964060272761	1.05134315915682
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	2	15002	0.019089	0.051881	0.0080695	0.0090071	0.026424	0.071816	0.0078363	0.00037409	DropViz_PC_level2	4.2761e-05	0.596848774512271	0.784404082644934
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	2	15002	0.047009	0.12982	0.01244	7.9098e-05	0.054087	0.14937	0.012077	3.785e-06	DropViz_TH_level2	2.44e-06	0.756526067941304	0.966027204527376
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	3	15002	0.026025	0.070731	0.0078229	0.0004404	0.026462	0.071917	0.007825	0.00036125	DropViz_HC_level2	4.2761e-05	0.975004459097613	0.787875909005146
DropViz_HC_level2	Neuron_Slc17a7_C1ql2-Penk.4_2	3	15002	0.034137	0.094833	0.009699	0.00021675	0.034648	0.096255	0.0097012	0.00017803	DropViz_TH_level2	8.4138e-05	0.97720609171274	0.920122605365982
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	4	15002	0.021825	0.059315	0.0076784	0.0022424	0.02971	0.080746	0.0074008	2.9947e-05	DropViz_GP_level2	4.2761e-05	0.585652926538363	1.03540769621105
DropViz_GP_level2	Neuron_Gad1Gad2_Vipr2.3_10	4	15002	0.017921	0.053559	0.0046798	6.4489e-05	0.021488	0.064219	0.0045095	9.5334e-07	DropViz_TH_level2	3.3109e-06	0.69601176546369	1.09866659246662
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	5	15002	0.018868	0.05128	0.0081662	0.010436	0.027122	0.073712	0.0077072	0.00021723	DropViz_FC_level2	4.2761e-05	0.540928896605099	0.838434497456363
DropViz_FC_level2	Neuron_Slc17a7-Slc17a6_Nptxr-Rorb.6_3	5	15002	0.034853	0.094927	0.011426	0.0011446	0.0436	0.11875	0.010782	2.6431e-05	DropViz_TH_level2	2.0123e-05	0.642511848922307	0.974784259073622
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	6	15002	0.020299	0.055169	0.0081811	0.0065524	0.02616	0.071098	0.0077546	0.00037213	DropViz_CB_level2	4.2761e-05	0.636746919993782	0.784926271026075
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Cadm1.3_3	6	15002	0.011352	0.03396	0.005056	0.012384	0.015355	0.045935	0.0047927	0.00067957	DropViz_TH_level2	1.9479e-05	0.602045471835563	0.672499868119347
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Nefm.11_1	7	NA	NA	NA	NA	NA	0.029984	0.083268	0.0083589	0.00016778	DropViz_PC_level2	2.4658e-05	NA	0.819276318577535
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	7	NA	NA	NA	NA	NA	0.052105	0.14389	0.01186	5.6189e-06	DropViz_STR_level2	2.44e-06	NA	0.935455792324165
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Nefm.11_1	8	15002	0.02206	0.061262	0.0088482	0.0063367	0.030167	0.083776	0.008266	0.00013185	DropViz_HC_level2	2.4658e-05	0.566541817690092	0.84198879656371
DropViz_HC_level2	Neuron_Slc17a7_C1ql2-Penk.4_2	8	15002	0.024959	0.069337	0.0097307	0.0051647	0.033625	0.093412	0.0090904	0.00010865	DropViz_STR_level2	8.4138e-05	0.576935432084327	0.972751574656307
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Nefm.11_1	9	15002	0.021559	0.059872	0.0089627	0.008083	0.033126	0.091993	0.0081381	2.3592e-05	DropViz_GP_level2	2.4658e-05	0.45219819448711	1.0041651287184
DropViz_GP_level2	Neuron_Gad1Gad2_Vipr2.3_10	9	15002	0.01501	0.044858	0.0048799	0.0010515	0.019935	0.059577	0.0044303	3.4316e-06	DropViz_STR_level2	3.3109e-06	0.545006661578272	0.997162328054092
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Nefm.11_1	10	15002	0.019476	0.054086	0.0095983	0.021233	0.030954	0.085962	0.0082357	8.5809e-05	DropViz_FC_level2	2.4658e-05	0.411410832735445	0.882471779826698
DropViz_FC_level2	Neuron_Slc17a7-Slc17a6_Nptxr-Rorb.6_3	10	15002	0.02837	0.077268	0.012189	0.0099772	0.041077	0.11188	0.010458	4.3075e-05	DropViz_STR_level2	2.0123e-05	0.458335908995493	0.929618625927869
