# MEAN_SAMPLE_SIZE = 45380
# TOTAL_GENES = 18665
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      22     -0.13572   -0.0046569      0.19163      0.76059 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      41     -0.20344   -0.0095248      0.14206      0.92394 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7     -0.39211   -0.0075922      0.36677      0.85747 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13       0.3588     0.009466      0.23878     0.066478 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16     -0.18285   -0.0053514      0.18636      0.83674 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13     -0.31138   -0.0082151      0.24275       0.9002 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41     -0.11004   -0.0051518      0.13473      0.79296 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18     -0.26218   -0.0081382      0.20874      0.89543 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      32    -0.032679    -0.001352      0.15355      0.58427 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28    -0.025477  -0.00098604      0.15995      0.56328 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20      0.15303    0.0050068      0.18436      0.20325 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26    -0.013048  -0.00048665      0.17795      0.52922 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      42     0.093275    0.0044197       0.1118      0.20207 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     518    0.0011346   0.00018638      0.03838      0.48821 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     900    0.0035476   0.00076002     0.028755      0.45091 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     154     0.017028    0.0015404      0.07372      0.40866 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     242    -0.054741   -0.0061928     0.064915      0.80046 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      93    -0.014489   -0.0010202     0.089451      0.56434 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     118      0.04723    0.0037435      0.08668      0.29292 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     261      0.05601     0.006577     0.051484      0.13833 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     804     0.037953    0.0077057     0.029561     0.099597 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     713     0.053408     0.010237     0.035941     0.068653 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     337    -0.026434   -0.0035199     0.044248      0.72488 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     159     0.050544    0.0046452      0.06368      0.21369 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET     108    -0.043838   -0.0033251     0.081374      0.70496 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      80     -0.18671    -0.012198     0.092736      0.97795 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      71     -0.16943     -0.01043      0.10465      0.94727 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     237    -0.047847   -0.0053574      0.05773      0.79639 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     186    -0.014904   -0.0014804     0.063818      0.59233 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10     -0.90169    -0.020866      0.31263      0.99804 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     231    -0.024517   -0.0027106     0.059827      0.65902 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     291    -0.017753   -0.0021994     0.052612       0.6321 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      33    -0.053368   -0.0022421       0.1633      0.62809 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      28     -0.14307   -0.0055374      0.15618      0.82018 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      38    -0.037238   -0.0016786      0.14614      0.60056 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                   SET      60     0.021354    0.0012088      0.11824      0.42834 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                   SET      26     -0.05471   -0.0020406      0.16295      0.63147 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1         SET     177     -0.12727    -0.012335     0.065825      0.97341 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     131      0.11326    0.0094553     0.082141     0.083983 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84      0.18841     0.012611     0.097666     0.026866 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     230   -0.0022134  -0.00024419     0.056901      0.51551 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24    -0.098454   -0.0035282       0.1837        0.704 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5     -0.74642    -0.012215      0.46262      0.94667 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33     0.031005    0.0013026      0.15964        0.423 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16     0.041135    0.0012039      0.23531      0.43062 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     180     -0.10168   -0.0099377     0.064158       0.9435 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     113    -0.012275  -0.00095224     0.084894      0.55748 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104    -0.078403   -0.0058363     0.085795      0.81959 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18      -0.2061   -0.0063975      0.20888       0.8381 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65    0.0050048   0.00029484     0.099527      0.47995 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      39      -0.1815   -0.0082881        0.143      0.89782 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      10      0.10002    0.0023146      0.31623      0.37589 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12     -0.48812    -0.012373      0.23819      0.97977 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59     -0.12793   -0.0071815      0.11384      0.86943 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21     -0.17769   -0.0059569      0.18768      0.82811 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      42     0.044395    0.0021036       0.1406       0.3761 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      17    -0.031795  -0.00095914      0.22235      0.55685 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     161     -0.06711   -0.0062061     0.066901      0.84209 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      43     -0.15989   -0.0076658      0.12348       0.9023 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      44      0.26979     0.013084      0.14776     0.033946 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      37     -0.34111    -0.015173      0.15352      0.98685 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      62     -0.09212   -0.0053006      0.11448       0.7895 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16    -0.011579  -0.00033887      0.22919      0.52015 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55     -0.25471    -0.013807      0.12553      0.97877 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      30     -0.16472   -0.0065985      0.17946      0.82064 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      34     0.012441   0.00053051      0.13467       0.4632 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      55     -0.28808    -0.015615      0.12998      0.98666 AMIT_SERUM_RESPONSE_60_MCF10A
