# MEAN_SAMPLE_SIZE = 24746
# TOTAL_GENES = 17129
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17129    -0.054354     -0.10833     0.011178            1 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17129    -0.052769     -0.10235     0.011598            1 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17129    -0.029943    -0.057735     0.010434      0.99794 Adrenal_Gland
Artery_Aorta                        COVAR   17129    -0.049126     -0.10013     0.010683            1 Artery_Aorta
Artery_Coronary                     COVAR   17129    -0.061124     -0.12149     0.012365            1 Artery_Coronary
Artery_Tibial                       COVAR   17129    -0.040952    -0.084223     0.010465      0.99995 Artery_Tibial
Bladder                             COVAR   17129    -0.054804     -0.10663     0.013626      0.99997 Bladder
Brain_Amygdala                      COVAR   17129     0.037447     0.063717    0.0081613   2.2508e-06 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17129     0.039593     0.069842     0.007513   6.9146e-08 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17129     0.038459      0.06634    0.0081775   1.2925e-06 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17129     0.026084     0.052282     0.006343   1.9697e-05 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17129     0.026581     0.052704     0.006532   2.3682e-05 Brain_Cerebellum
Brain_Cortex                        COVAR   17129     0.039341     0.071643    0.0074157   5.7077e-08 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17129     0.038658     0.071116    0.0071584   3.3729e-08 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17129     0.037193       0.0629    0.0083009   3.7487e-06 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17129     0.038462     0.066088     0.008448   2.6659e-06 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17129     0.038809     0.067239    0.0078901   4.4011e-07 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17129     0.035691     0.060666    0.0082376   7.4095e-06 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17129     0.031867     0.057198    0.0089812   0.00019449 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17129     0.029811     0.051254    0.0089579   0.00043848 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17129    -0.069245     -0.13293     0.013157            1 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17129    -0.014388    -0.030797      0.00683      0.98242 Cells_Cultured_fibroblasts
