# MEAN_SAMPLE_SIZE = 18934
# TOTAL_GENES = 16741
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Medium_spiny_neuron                 COVAR   16741   0.00034676   0.00073334    0.0041503      0.46671 Medium_spiny_neuron
Eccentric_medium_spiny_neuron       COVAR   16741   0.00036082    0.0010728    0.0030203      0.45245 Eccentric_medium_spiny_neuron
Deep_layer_near_projecting          COVAR   16741    0.0052723     0.011651    0.0086114      0.27019 Deep_layer_near_projecting
Deep_layer_intratelencephalic       COVAR   16741      0.02311      0.05175    0.0095178    0.0075942 Deep_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   16741     0.019573     0.043592    0.0094192     0.018866 Deep_layer_corticothalamic_and_6b
Miscellaneous                       COVAR   16741     0.012962     0.020838     0.011765      0.13531 Miscellaneous
Upper_layer_intratelencephal...     COVAR   16741     0.030406      0.06549    0.0098374   0.00099947 Upper_layer_intratelencephalic
Splatter                            COVAR   16741    -0.002774      -0.0057    0.0081859      0.63264 Splatter
LAMP5_LHX6_and_Chandelier           COVAR   16741     0.014076     0.028617     0.010076     0.081217 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   16741     0.017095     0.032924     0.011253     0.064373 CGE_interneuron
MGE_interneuron                     COVAR   16741       0.0174     0.034311     0.011284     0.061537 MGE_interneuron
Amygdala_excitatory                 COVAR   16741   -0.0024305   -0.0075189    0.0031602      0.77907 Amygdala_excitatory
Committed_oligodendrocyte_pr...     COVAR   16741   -0.0038305   -0.0064039    0.0070117      0.70756 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16741    0.0011733    0.0017397    0.0068668      0.43217 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   16741    0.0024676    0.0039249    0.0083897      0.38434 Oligodendrocyte_precursor
Astrocyte                           COVAR   16741    0.0002337   0.00034176    0.0073503      0.48732 Astrocyte
Choroid_plexus                      COVAR   16741   -0.0021136   -0.0055055    0.0028879      0.76787 Choroid_plexus
Fibroblast                          COVAR   16741    -0.025933    -0.031848     0.008118       0.9993 Fibroblast
Vascular                            COVAR   16741    -0.017171    -0.019061    0.0087471      0.97517 Vascular
Microglia                           COVAR   16741    -0.019213    -0.022105    0.0079845      0.99194 Microglia
