# MEAN_SAMPLE_SIZE = 21213
# TOTAL_GENES = 16891
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Amygdala_excitatory                 COVAR   16891    0.0025414    0.0056724    0.0089532      0.38826 Amygdala_excitatory
Medium_spiny_neuron                 COVAR   16891     0.013449     0.025562    0.0073332     0.033338 Medium_spiny_neuron
Eccentric_medium_spiny_neuron       COVAR   16891     0.001402    0.0029119    0.0082783      0.43276 Eccentric_medium_spiny_neuron
Deep_layer_near_projecting          COVAR   16891   -0.0064589    -0.015127    0.0093931      0.75415 Deep_layer_near_projecting
Deep_layer_corticothalamic_a...     COVAR   16891     0.012116     0.028686     0.010576      0.12598 Deep_layer_corticothalamic_and_6b
Miscellaneous                       COVAR   16891      0.00117    0.0028355     0.009008      0.44833 Miscellaneous
Upper_layer_intratelencephal...     COVAR   16891     0.021117     0.049452     0.010815     0.025449 Upper_layer_intratelencephalic
Deep_layer_intratelencephalic       COVAR   16891     0.014877     0.035016      0.01162      0.10023 Deep_layer_intratelencephalic
LAMP5_LHX6_and_Chandelier           COVAR   16891   0.00092092    0.0020456     0.010373      0.46463 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   16891   8.9747e-06   1.9152e-05      0.01218      0.49971 MGE_interneuron
Splatter                            COVAR   16891   -0.0073496    -0.015977     0.012014      0.72964 Splatter
CGE_interneuron                     COVAR   16891    0.0032389    0.0068785     0.012096      0.39444 CGE_interneuron
Committed_oligodendrocyte_pr...     COVAR   16891    0.0063092      0.01034    0.0075245      0.20088 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16891   0.00092363    0.0013769    0.0071629       0.4487 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   16891    -0.001061   -0.0018135    0.0083757       0.5504 Oligodendrocyte_precursor
Astrocyte                           COVAR   16891   -0.0043413   -0.0070652    0.0071254      0.72883 Astrocyte
Fibroblast                          COVAR   16891    -0.014961    -0.020946    0.0069592      0.98421 Fibroblast
Vascular                            COVAR   16891   -0.0059482   -0.0074934    0.0073697      0.79019 Vascular
Microglia                           COVAR   16891    -0.017869    -0.023087    0.0073285      0.99261 Microglia
