# MEAN_SAMPLE_SIZE = 19744
# TOTAL_GENES = 16794
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Miscellaneous                       COVAR   16794    0.0083285     0.017058    0.0098454       0.1988 Miscellaneous
Microglia                           COVAR   16794    -0.018411    -0.021367    0.0081601      0.98797 Microglia
Vascular                            COVAR   16794    -0.015042    -0.016953    0.0081662      0.96725 Vascular
Fibroblast                          COVAR   16794    -0.021401    -0.025356    0.0080884      0.99592 Fibroblast
Astrocyte                           COVAR   16794   -0.0017427   -0.0024951    0.0077709      0.58872 Astrocyte
Splatter                            COVAR   16794   -0.0055878    -0.011645    0.0091637      0.72899 Splatter
Committed_oligodendrocyte_pr...     COVAR   16794    0.0026028    0.0037079    0.0084902      0.37959 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   16794    0.0039367    0.0061755    0.0088492      0.32821 Oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16794    0.0006596   0.00090558    0.0078055      0.46633 Oligodendrocyte
LAMP5_LHX6_and_Chandelier           COVAR   16794     0.013035     0.026819     0.010355      0.10407 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   16794     0.013118     0.025586     0.012168       0.1405 CGE_interneuron
MGE_interneuron                     COVAR   16794     0.011013     0.021673     0.012057      0.18052 MGE_interneuron
Eccentric_medium_spiny_neuron       COVAR   16794   -0.0042962    -0.013131    0.0030938      0.91752 Eccentric_medium_spiny_neuron
Deep_layer_intratelencephalic       COVAR   16794     0.019691      0.04521     0.010758     0.033613 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   16794     0.027685     0.061003     0.010977    0.0058384 Upper_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   16794     0.016961     0.038799     0.010245      0.04892 Deep_layer_corticothalamic_and_6b
Deep_layer_near_projecting          COVAR   16794   0.00091285      0.00208    0.0090485      0.45982 Deep_layer_near_projecting
Amygdala_excitatory                 COVAR   16794    0.0021521    0.0067639    0.0030105      0.23736 Amygdala_excitatory
