# MEAN_SAMPLE_SIZE = 20230
# TOTAL_GENES = 16826
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Splatter                            COVAR   16826    0.0033662    0.0068578      0.01024      0.37118 Splatter
Deep_layer_intratelencephalic       COVAR   16826     0.016546     0.039178     0.010608     0.059417 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   16826     0.026241     0.060281     0.010978    0.0084204 Upper_layer_intratelencephalic
Miscellaneous                       COVAR   16826   0.00067913    0.0015584     0.009354      0.47106 Miscellaneous
Deep_layer_corticothalamic_a...     COVAR   16826     0.011695     0.027194     0.010465       0.1319 Deep_layer_corticothalamic_and_6b
Deep_layer_near_projecting          COVAR   16826    0.0010867    0.0025163    0.0093546      0.45376 Deep_layer_near_projecting
Amygdala_excitatory                 COVAR   16826   -0.0010625   -0.0033187    0.0031229      0.63316 Amygdala_excitatory
CGE_interneuron                     COVAR   16826    0.0099025     0.019817     0.012351      0.21135 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16826    0.0056822     0.011811     0.011015      0.30298 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   16826    0.0098507     0.020377     0.012122      0.20822 MGE_interneuron
Oligodendrocyte                     COVAR   16826    0.0025219    0.0038389    0.0071241      0.36167 Oligodendrocyte
Committed_oligodendrocyte_pr...     COVAR   16826    0.0086458     0.015125    0.0070875      0.11127 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   16826    0.0049556    0.0079187    0.0085954      0.28213 Oligodendrocyte_precursor
Astrocyte                           COVAR   16826    0.0011379    0.0015603    0.0081274      0.44433 Astrocyte
Fibroblast                          COVAR   16826    -0.018629     -0.02473    0.0068672      0.99666 Fibroblast
Vascular                            COVAR   16826    -0.012442      -0.0161    0.0075398      0.95053 Vascular
Microglia                           COVAR   16826     -0.02036    -0.023934    0.0080961      0.99404 Microglia
