# MEAN_SAMPLE_SIZE = 17841
# TOTAL_GENES = 16670
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Splatter                            COVAR   16670   -0.0049969   -0.0082557     0.010735       0.6792 Splatter
CGE_interneuron                     COVAR   16670     0.015093     0.026058     0.013775      0.13661 CGE_interneuron
Miscellaneous                       COVAR   16670     0.003367    0.0073684    0.0092482      0.35791 Miscellaneous
LAMP5_LHX6_and_Chandelier           COVAR   16670     0.015207      0.02591     0.012029      0.10309 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   16670     0.017069     0.029601     0.014103      0.11308 MGE_interneuron
Deep_layer_corticothalamic_a...     COVAR   16670     0.019432     0.038619     0.011931     0.051696 Deep_layer_corticothalamic_and_6b
Deep_layer_near_projecting          COVAR   16670   -0.0015649    -0.003179     0.010174      0.56112 Deep_layer_near_projecting
Deep_layer_intratelencephalic       COVAR   16670     0.024779     0.051477     0.012263     0.021669 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   16670     0.032093     0.064866       0.0119    0.0035038 Upper_layer_intratelencephalic
Microglia                           COVAR   16670    -0.015416     -0.02033    0.0074102      0.98125 Microglia
Astrocyte                           COVAR   16670   -0.0025855    -0.003106     0.009405       0.6083 Astrocyte
Fibroblast                          COVAR   16670    -0.032422    -0.039952    0.0084156      0.99994 Fibroblast
Vascular                            COVAR   16670   -0.0069013   -0.0071482     0.008949      0.77969 Vascular
Committed_oligodendrocyte_pr...     COVAR   16670   0.00093906    0.0011049    0.0094323      0.46035 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16670    0.0036479    0.0040298    0.0096659      0.35294 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   16670     0.003712    0.0054269    0.0099902      0.35511 Oligodendrocyte_precursor
