# MEAN_SAMPLE_SIZE = 19133
# TOTAL_GENES = 16754
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Deep_layer_intratelencephalic       COVAR   16754     0.020358     0.046369    0.0096989     0.017917 Deep_layer_intratelencephalic
Eccentric_medium_spiny_neuron       COVAR   16754    0.0048232     0.014679    0.0032298     0.067688 Eccentric_medium_spiny_neuron
Deep_layer_near_projecting          COVAR   16754    0.0055704     0.012515    0.0087082       0.2612 Deep_layer_near_projecting
Deep_layer_corticothalamic_a...     COVAR   16754     0.016621     0.036962    0.0098016     0.044974 Deep_layer_corticothalamic_and_6b
Upper_layer_intratelencephal...     COVAR   16754     0.026433     0.059289    0.0096789    0.0031603 Upper_layer_intratelencephalic
Miscellaneous                       COVAR   16754    0.0052921     0.011346    0.0089981      0.27823 Miscellaneous
Splatter                            COVAR   16754     -0.01614    -0.033167    0.0087504      0.96744 Splatter
MGE_interneuron                     COVAR   16754     0.014313     0.028693     0.011389      0.10444 MGE_interneuron
CGE_interneuron                     COVAR   16754     0.015317     0.030774     0.011467     0.090819 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16754      0.01452     0.029046     0.010507     0.083504 LAMP5_LHX6_and_Chandelier
Choroid_plexus                      COVAR   16754   -0.0039421    -0.012413    0.0027836      0.92163 Choroid_plexus
Oligodendrocyte                     COVAR   16754    0.0014972    0.0021057    0.0078176      0.42406 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   16754    0.0053612    0.0084557    0.0090997      0.27788 Oligodendrocyte_precursor
Committed_oligodendrocyte_pr...     COVAR   16754    0.0014345    0.0024671    0.0059401      0.40458 Committed_oligodendrocyte_precursor
Astrocyte                           COVAR   16754  -0.00036607  -0.00054606     0.007855      0.51859 Astrocyte
Vascular                            COVAR   16754   -0.0062387   -0.0073133    0.0081076      0.77919 Vascular
Fibroblast                          COVAR   16754    -0.020818    -0.035406    0.0052576      0.99996 Fibroblast
Microglia                           COVAR   16754    -0.018884    -0.022034    0.0083109      0.98845 Microglia
