# MEAN_SAMPLE_SIZE = 20775
# TOTAL_GENES = 16862
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Splatter                            COVAR   16862   -0.0056041    -0.012206     0.013952      0.65603 Splatter
CGE_interneuron                     COVAR   16862    0.0085674      0.01786     0.012897      0.25326 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16862    0.0027131    0.0058879     0.011057      0.40308 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   16862    0.0031913    0.0069158     0.012361      0.39813 MGE_interneuron
Miscellaneous                       COVAR   16862    0.0023524    0.0057949    0.0090069      0.39698 Miscellaneous
Amygdala_excitatory                 COVAR   16862    0.0089527     0.022195    0.0096466      0.17669 Amygdala_excitatory
Deep_layer_intratelencephalic       COVAR   16862      0.02092     0.049235     0.012215     0.043397 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   16862     0.028185     0.066876     0.011375    0.0066124 Upper_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   16862     0.014382     0.034121     0.011189      0.09934 Deep_layer_corticothalamic_and_6b
Deep_layer_near_projecting          COVAR   16862   -0.0073787    -0.017413    0.0094258      0.78313 Deep_layer_near_projecting
Eccentric_medium_spiny_neuron       COVAR   16862      0.01757     0.040582    0.0098361      0.03704 Eccentric_medium_spiny_neuron
Medium_spiny_neuron                 COVAR   16862      0.01421     0.033482    0.0096226     0.069891 Medium_spiny_neuron
Committed_oligodendrocyte_pr...     COVAR   16862  -0.00081022   -0.0012728    0.0082419      0.53915 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16862    0.0011722    0.0016217     0.007607      0.43877 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   16862    0.0018329    0.0030109    0.0086919       0.4165 Oligodendrocyte_precursor
Astrocyte                           COVAR   16862   -0.0026843   -0.0043414    0.0074452      0.64078 Astrocyte
Fibroblast                          COVAR   16862    -0.027229     -0.03833    0.0075634      0.99984 Fibroblast
Vascular                            COVAR   16862     -0.01293    -0.017305    0.0080022      0.94693 Vascular
Microglia                           COVAR   16862    -0.020509    -0.024531     0.008028      0.99468 Microglia
