# MEAN_SAMPLE_SIZE = 16020
# TOTAL_GENES = 16553
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Upper_rhombic_lip                   COVAR   16553   -0.0018971   -0.0052905    0.0030242      0.73476 Upper_rhombic_lip
Splatter                            COVAR   16553   -0.0007531   -0.0012665     0.011746      0.52556 Splatter
MGE_interneuron                     COVAR   16553     0.016454     0.025813     0.014129      0.12211 MGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16553     0.013574      0.02222     0.012225      0.13344 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   16553    0.0092808     0.014239     0.014154      0.25601 CGE_interneuron
Hippocampal_CA4                     COVAR   16553     0.010692     0.020141    0.0082356     0.097113 Hippocampal_CA4
Hippocampal_CA1_3                   COVAR   16553    0.0051754     0.010096    0.0082381      0.26493 Hippocampal_CA1_3
Deep_layer_intratelencephalic       COVAR   16553     0.021293        0.043     0.012067     0.038823 Deep_layer_intratelencephalic
Miscellaneous                       COVAR   16553     0.011429     0.023692     0.010238      0.13215 Miscellaneous
Upper_layer_intratelencephal...     COVAR   16553     0.023022     0.045428     0.012068     0.028219 Upper_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   16553     0.010324     0.019932     0.011922      0.19326 Deep_layer_corticothalamic_and_6b
Deep_layer_near_projecting          COVAR   16553   -0.0057483    -0.011059     0.010246      0.71261 Deep_layer_near_projecting
Committed_oligodendrocyte_pr...     COVAR   16553   -0.0015381   -0.0020764    0.0068084      0.58936 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16553    0.0012313    0.0013258     0.009343      0.44757 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   16553    0.0039759    0.0046537      0.01109      0.35998 Oligodendrocyte_precursor
Astrocyte                           COVAR   16553   0.00065301    0.0006227     0.010765      0.47582 Astrocyte
Fibroblast                          COVAR   16553     -0.01518     -0.01549    0.0083321      0.96575 Fibroblast
Vascular                            COVAR   16553   -0.0070532   -0.0070608    0.0084759      0.79733 Vascular
Microglia                           COVAR   16553    -0.016031    -0.018255    0.0079597      0.97798 Microglia
