# MEAN_SAMPLE_SIZE = 19133
# TOTAL_GENES = 16754
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Splatter                            COVAR   16754   -0.0022911   -0.0048822      0.00945      0.59578 Splatter
Amygdala_excitatory                 COVAR   16754   -0.0022808   -0.0070965    0.0031624      0.76461 Amygdala_excitatory
CGE_interneuron                     COVAR   16754    0.0066555     0.013527     0.011542       0.2821 CGE_interneuron
MGE_interneuron                     COVAR   16754    0.0050913      0.01056     0.011622      0.33067 MGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16754    0.0034659    0.0073079     0.010559      0.37136 LAMP5_LHX6_and_Chandelier
Deep_layer_near_projecting          COVAR   16754   -0.0038904   -0.0089366    0.0091912      0.66395 Deep_layer_near_projecting
Deep_layer_corticothalamic_a...     COVAR   16754     0.010093     0.023254     0.010387      0.16561 Deep_layer_corticothalamic_and_6b
Deep_layer_intratelencephalic       COVAR   16754     0.013872     0.031992     0.010773     0.098947 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   16754     0.021794     0.049228     0.010722      0.02105 Upper_layer_intratelencephalic
Miscellaneous                       COVAR   16754   -0.0010758   -0.0022439    0.0096885      0.54421 Miscellaneous
Medium_spiny_neuron                 COVAR   16754    0.0070414     0.021606    0.0032409     0.014911 Medium_spiny_neuron
Eccentric_medium_spiny_neuron       COVAR   16754    0.0023154    0.0055388    0.0048167      0.31536 Eccentric_medium_spiny_neuron
Hippocampal_dentate_gyrus           COVAR   16754    0.0016074    0.0049269    0.0032683      0.31142 Hippocampal_dentate_gyrus
Committed_oligodendrocyte_pr...     COVAR   16754   -0.0032111   -0.0064494    0.0041331      0.78139 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   16754    0.0011498    0.0018675    0.0083296       0.4451 Oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16754    0.0012185    0.0017618    0.0073356      0.43404 Oligodendrocyte
Astrocyte                           COVAR   16754  -0.00072731   -0.0010297    0.0078221      0.53704 Astrocyte
Fibroblast                          COVAR   16754    -0.024863    -0.034268    0.0072905      0.99967 Fibroblast
Vascular                            COVAR   16754    -0.013213    -0.017523    0.0073555      0.96377 Vascular
Microglia                           COVAR   16754     -0.02023    -0.024328    0.0078968      0.99479 Microglia
