# MEAN_SAMPLE_SIZE = 20669
# TOTAL_GENES = 16855
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Amygdala_excitatory                 COVAR   16855     0.019382     0.047314    0.0098639     0.024722 Amygdala_excitatory
Upper_layer_intratelencephal...     COVAR   16855     0.022409     0.053325    0.0099903     0.012453 Upper_layer_intratelencephalic
Deep_layer_intratelencephalic       COVAR   16855     0.012897     0.030782     0.010957      0.11959 Deep_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   16855     0.016787      0.03943     0.010232     0.050452 Deep_layer_corticothalamic_and_6b
Deep_layer_near_projecting          COVAR   16855   -0.0040488   -0.0096739    0.0085587      0.68191 Deep_layer_near_projecting
Eccentric_medium_spiny_neuron       COVAR   16855     0.015935     0.034358    0.0083785     0.028599 Eccentric_medium_spiny_neuron
Miscellaneous                       COVAR   16855     0.017807     0.040721     0.010587     0.046295 Miscellaneous
Upper_rhombic_lip                   COVAR   16855   -0.0042453   -0.0079131    0.0043568      0.83506 Upper_rhombic_lip
Splatter                            COVAR   16855   -0.0016071   -0.0035232     0.012329      0.55186 Splatter
CGE_interneuron                     COVAR   16855     0.012482     0.025541     0.012452      0.15807 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16855    0.0085985     0.018677     0.010654      0.20982 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   16855    0.0067457     0.014898      0.01182      0.28411 MGE_interneuron
Oligodendrocyte                     COVAR   16855    0.0019827    0.0027649    0.0076937      0.39832 Oligodendrocyte
Committed_oligodendrocyte_pr...     COVAR   16855   -0.0085192    -0.012161    0.0085518      0.84041 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   16855    0.0018821    0.0029833    0.0088357      0.41566 Oligodendrocyte_precursor
Astrocyte                           COVAR   16855   -0.0017494   -0.0029434    0.0070218      0.59837 Astrocyte
Fibroblast                          COVAR   16855    -0.027276     -0.03527    0.0080211      0.99966 Fibroblast
Vascular                            COVAR   16855    -0.015432    -0.019401    0.0075127      0.98001 Vascular
Microglia                           COVAR   16855    -0.018185    -0.021306    0.0081347       0.9873 Microglia
