# MEAN_SAMPLE_SIZE = 17656
# TOTAL_GENES = 16658
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Miscellaneous                       COVAR   16658  -0.00043521  -0.00076062      0.01203      0.51443 Miscellaneous
Deep_layer_intratelencephalic       COVAR   16658     0.021747     0.047709      0.01024     0.016853 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   16658     0.027933      0.05984     0.010449    0.0037593 Upper_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   16658     0.018148     0.039336     0.010137     0.036714 Deep_layer_corticothalamic_and_6b
Deep_layer_near_projecting          COVAR   16658    0.0037838     0.008089    0.0092267      0.34087 Deep_layer_near_projecting
Cerebellar_inhibitory               COVAR   16658   -0.0021798   -0.0059139    0.0030586      0.76197 Cerebellar_inhibitory
Splatter                            COVAR   16658    -0.007732    -0.016354    0.0081838      0.82761 Splatter
CGE_interneuron                     COVAR   16658     0.018079      0.03506     0.012213     0.069401 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16658    0.0099901     0.020209     0.011063      0.18326 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   16658     0.018436     0.037085     0.011994     0.062144 MGE_interneuron
Committed_oligodendrocyte_pr...     COVAR   16658    0.0052068    0.0088588    0.0067097      0.21888 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16658    0.0025794    0.0039739    0.0071995      0.36007 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   16658    0.0043229    0.0075275    0.0085029      0.30559 Oligodendrocyte_precursor
Vascular                            COVAR   16658     -0.01341    -0.017724    0.0079739      0.95368 Vascular
Fibroblast                          COVAR   16658    -0.023244    -0.031443    0.0079321       0.9983 Fibroblast
Microglia                           COVAR   16658    -0.019452    -0.024616    0.0076685       0.9944 Microglia
Astrocyte                           COVAR   16658   -0.0017523   -0.0026621    0.0076587      0.59048 Astrocyte
