# MEAN_SAMPLE_SIZE = 20139
# TOTAL_GENES = 16820
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligodendrocyte                     COVAR   16820    0.0038768    0.0062377    0.0067338      0.28241 Oligodendrocyte
Committed_oligodendrocyte_pr...     COVAR   16820   0.00073676    0.0011222    0.0081166      0.46384 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   16820    0.0036322    0.0060403    0.0083344      0.33149 Oligodendrocyte_precursor
Astrocyte                           COVAR   16820   -0.0018328   -0.0029925     0.007147       0.6012 Astrocyte
Fibroblast                          COVAR   16820     -0.02494    -0.035287    0.0072126      0.99973 Fibroblast
Vascular                            COVAR   16820    -0.016049    -0.022308    0.0070432      0.98865 Vascular
Microglia                           COVAR   16820    -0.016517    -0.020272    0.0077548       0.9834 Microglia
Miscellaneous                       COVAR   16820    0.0051345     0.012352     0.009028      0.28477 Miscellaneous
Splatter                            COVAR   16820   -0.0017596   -0.0036941      0.01195      0.55853 Splatter
CGE_interneuron                     COVAR   16820      0.01052     0.022182     0.011555      0.18132 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16820    0.0096467     0.021007     0.010186      0.17182 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   16820    0.0066554     0.014326     0.011546      0.28217 MGE_interneuron
Eccentric_medium_spiny_neuron       COVAR   16820   -0.0069158    -0.016033    0.0064528      0.85808 Eccentric_medium_spiny_neuron
Medium_spiny_neuron                 COVAR   16820   0.00034501    0.0010524    0.0031192      0.45596 Medium_spiny_neuron
Deep_layer_near_projecting          COVAR   16820   -0.0026743   -0.0062193    0.0095364      0.61043 Deep_layer_near_projecting
Deep_layer_corticothalamic_a...     COVAR   16820     0.019582     0.045183     0.011086     0.038673 Deep_layer_corticothalamic_and_6b
Upper_layer_intratelencephal...     COVAR   16820     0.031923     0.075603      0.01033    0.0010018 Upper_layer_intratelencephalic
Deep_layer_intratelencephalic       COVAR   16820     0.022096     0.051852     0.011058     0.022862 Deep_layer_intratelencephalic
Amygdala_excitatory                 COVAR   16820     0.010481     0.025469    0.0091325      0.12557 Amygdala_excitatory
