# MEAN_SAMPLE_SIZE = 18366
# TOTAL_GENES = 16704
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Miscellaneous                       COVAR   16704     0.011289     0.022861     0.010982        0.152 Miscellaneous
Deep_layer_near_projecting          COVAR   16704  -7.5921e-05   -0.0001692    0.0092699      0.50327 Deep_layer_near_projecting
Deep_layer_corticothalamic_a...     COVAR   16704     0.015974     0.036572    0.0097781     0.051176 Deep_layer_corticothalamic_and_6b
Deep_layer_intratelencephalic       COVAR   16704     0.022026     0.049816     0.010607     0.018924 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   16704     0.030258     0.065914     0.010684    0.0023154 Upper_layer_intratelencephalic
Lower_rhombic_lip                   COVAR   16704   -0.0060199   -0.0062716    0.0075894      0.78616 Lower_rhombic_lip
Upper_rhombic_lip                   COVAR   16704    -0.011118    -0.016789    0.0069011      0.94641 Upper_rhombic_lip
Splatter                            COVAR   16704      0.00483    0.0095886     0.009392      0.30354 Splatter
CGE_interneuron                     COVAR   16704     0.018863     0.036314     0.012665     0.068209 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16704      0.01252      0.02582     0.010545      0.11756 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   16704     0.015772     0.030346     0.012777      0.10853 MGE_interneuron
Oligodendrocyte_precursor           COVAR   16704    0.0052251    0.0080981    0.0092938      0.28699 Oligodendrocyte_precursor
Committed_oligodendrocyte_pr...     COVAR   16704    5.278e-05   7.7716e-05    0.0079339      0.49735 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16704    0.0037969     0.005088     0.008035      0.31827 Oligodendrocyte
Fibroblast                          COVAR   16704     -0.02535    -0.030713    0.0079146      0.99932 Fibroblast
Vascular                            COVAR   16704    -0.017814    -0.021646    0.0078674      0.98821 Vascular
Astrocyte                           COVAR   16704  -0.00089863   -0.0012919    0.0078687      0.54546 Astrocyte
Microglia                           COVAR   16704    -0.019234     -0.02114    0.0085935      0.98739 Microglia
