# MEAN_SAMPLE_SIZE = 19957
# TOTAL_GENES = 16808
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Miscellaneous                       COVAR   16808   -0.0052555    -0.012765    0.0093058      0.71388 Miscellaneous
Microglia                           COVAR   16808    -0.023461    -0.026494     0.008234      0.99781 Microglia
Vascular                            COVAR   16808    -0.014841    -0.020794    0.0064801      0.98899 Vascular
Fibroblast                          COVAR   16808   -0.0062663   -0.0090881    0.0055524      0.87045 Fibroblast
Astrocyte                           COVAR   16808   -0.0034495   -0.0051918     0.007617      0.67468 Astrocyte
Amygdala_excitatory                 COVAR   16808     0.011432     0.025578     0.011873      0.16782 Amygdala_excitatory
Committed_oligodendrocyte_pr...     COVAR   16808   0.00023916   0.00037558    0.0079371      0.48798 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   16808  -0.00010362  -0.00016111    0.0087733      0.50471 Oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16808    0.0030356    0.0038553    0.0081254      0.35436 Oligodendrocyte
Midbrain_derived_inhibitory         COVAR   16808    0.0037315    0.0096618    0.0031343      0.11693 Midbrain_derived_inhibitory
CGE_interneuron                     COVAR   16808   -0.0018699   -0.0038888     0.011704      0.56347 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16808   -0.0019391   -0.0041661     0.010026      0.57667 LAMP5_LHX6_and_Chandelier
Splatter                            COVAR   16808   -0.0075797    -0.013267     0.015245      0.69047 Splatter
MGE_interneuron                     COVAR   16808    -0.003964   -0.0084717     0.011319      0.63691 MGE_interneuron
Eccentric_medium_spiny_neuron       COVAR   16808    0.0095874     0.018962     0.011113      0.19416 Eccentric_medium_spiny_neuron
Medium_spiny_neuron                 COVAR   16808    0.0066446     0.013614    0.0091322      0.23343 Medium_spiny_neuron
Deep_layer_near_projecting          COVAR   16808    -0.012223    -0.028117    0.0095982      0.89856 Deep_layer_near_projecting
Deep_layer_intratelencephalic       COVAR   16808    0.0081502      0.01943     0.010724      0.22364 Deep_layer_intratelencephalic
Hippocampal_CA1_3                   COVAR   16808    0.0027999    0.0087791    0.0032725      0.19612 Hippocampal_CA1_3
Upper_layer_intratelencephal...     COVAR   16808     0.017137     0.040464     0.010333     0.048617 Upper_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   16808  -0.00093856   -0.0021662     0.011317      0.53305 Deep_layer_corticothalamic_and_6b
