# MEAN_SAMPLE_SIZE = 18150
# TOTAL_GENES = 16690
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Miscellaneous                       COVAR   16690     0.012886     0.025534     0.011506      0.13139 Miscellaneous
Microglia                           COVAR   16690    -0.018676    -0.023497    0.0076236      0.99285 Microglia
Vascular                            COVAR   16690    -0.022535    -0.025443    0.0085278      0.99588 Vascular
Fibroblast                          COVAR   16690    -0.018436    -0.030101    0.0057102      0.99938 Fibroblast
Astrocyte                           COVAR   16690   -0.0032896   -0.0053046    0.0072282      0.67548 Astrocyte
Committed_oligodendrocyte_pr...     COVAR   16690    0.0036369    0.0053879    0.0081285      0.32729 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   16690    0.0018101     0.002876    0.0089526      0.41989 Oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16690    0.0026278    0.0034297    0.0081616      0.37374 Oligodendrocyte
Splatter                            COVAR   16690   -0.0036829   -0.0073258    0.0092543      0.65467 Splatter
MGE_interneuron                     COVAR   16690    0.0096268     0.019056     0.012091      0.21296 MGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16690      0.01077     0.021819     0.010867      0.16084 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   16690     0.012449     0.024132     0.012435      0.15839 CGE_interneuron
Eccentric_medium_spiny_neuron       COVAR   16690    0.0038886     0.010198    0.0040901      0.17088 Eccentric_medium_spiny_neuron
Deep_layer_near_projecting          COVAR   16690    -0.001378   -0.0030689    0.0091557      0.55982 Deep_layer_near_projecting
Deep_layer_intratelencephalic       COVAR   16690     0.019498     0.043801     0.010611     0.033069 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   16690     0.027855     0.061492     0.010502    0.0040007 Upper_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   16690      0.01389     0.031058     0.010395     0.090738 Deep_layer_corticothalamic_and_6b
Hippocampal_CA1_3                   COVAR   16690   0.00011658   0.00035205    0.0030048      0.48453 Hippocampal_CA1_3
