# MEAN_SAMPLE_SIZE = 18135
# TOTAL_GENES = 16689
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Upper_layer_intratelencephal...     COVAR   16689     0.028061      0.05937     0.011087    0.0056928 Upper_layer_intratelencephalic
Deep_layer_intratelencephalic       COVAR   16689     0.015181     0.035638    0.0099456     0.063465 Deep_layer_intratelencephalic
Miscellaneous                       COVAR   16689    0.0055669     0.013182    0.0088292      0.26418 Miscellaneous
Deep_layer_corticothalamic_a...     COVAR   16689     0.012029     0.028526     0.009441      0.10132 Deep_layer_corticothalamic_and_6b
Deep_layer_near_projecting          COVAR   16689   -0.0025219   -0.0057723    0.0088741      0.61187 Deep_layer_near_projecting
MGE_interneuron                     COVAR   16689     0.011566      0.02009     0.013355      0.19323 MGE_interneuron
Splatter                            COVAR   16689     0.014469     0.023193     0.010695     0.088044 Splatter
LAMP5_LHX6_and_Chandelier           COVAR   16689     0.016147     0.025787      0.01205     0.090127 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   16689     0.016222     0.024801     0.013916      0.12188 CGE_interneuron
Microglia                           COVAR   16689     -0.01657     -0.02325    0.0070491      0.99062 Microglia
Astrocyte                           COVAR   16689   -0.0049451   -0.0076394    0.0078192      0.73644 Astrocyte
Committed_oligodendrocyte_pr...     COVAR   16689    0.0055469    0.0074796    0.0079822      0.24356 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   16689    0.0013706    0.0024255    0.0085805      0.43655 Oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16689   0.00059081   0.00091881    0.0072895       0.4677 Oligodendrocyte
Fibroblast                          COVAR   16689    -0.018722    -0.029078    0.0061377      0.99886 Fibroblast
Vascular                            COVAR   16689    -0.013145    -0.014616    0.0081248      0.94714 Vascular
