# MEAN_SAMPLE_SIZE = 17934
# TOTAL_GENES = 16676
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Splatter                            COVAR   16676   -0.0088411    -0.020389    0.0094281       0.8258 Splatter
Upper_layer_intratelencephal...     COVAR   16676     0.017521      0.04302    0.0095402     0.033152 Upper_layer_intratelencephalic
Deep_layer_intratelencephalic       COVAR   16676     0.010757     0.026699    0.0095111      0.12904 Deep_layer_intratelencephalic
Miscellaneous                       COVAR   16676     0.021931     0.035652     0.012708     0.042201 Miscellaneous
Deep_layer_corticothalamic_a...     COVAR   16676     0.011199     0.027244    0.0096465      0.12285 Deep_layer_corticothalamic_and_6b
Deep_layer_near_projecting          COVAR   16676   -0.0061821    -0.015427    0.0081851      0.77496 Deep_layer_near_projecting
Eccentric_medium_spiny_neuron       COVAR   16676   -0.0005043   -0.0012922    0.0054267      0.53702 Eccentric_medium_spiny_neuron
MGE_interneuron                     COVAR   16676   -0.0036755   -0.0083742     0.010985      0.63103 MGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16676  -0.00065256   -0.0016008    0.0086654      0.53001 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   16676   -0.0031877   -0.0073995     0.010925      0.61477 CGE_interneuron
Hippocampal_CA1_3                   COVAR   16676    0.0033857    0.0085851    0.0032302       0.1473 Hippocampal_CA1_3
Committed_oligodendrocyte_pr...     COVAR   16676    0.0087952     0.012206    0.0075684      0.12261 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   16676  -0.00054507   -0.0010708    0.0076706      0.52832 Oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16676    0.0037019    0.0060296    0.0070419      0.29955 Oligodendrocyte
Astrocyte                           COVAR   16676    -0.003495   -0.0062513    0.0067845      0.69677 Astrocyte
Vascular                            COVAR   16676   -0.0064831    -0.011213    0.0052244      0.89267 Vascular
Fibroblast                          COVAR   16676    -0.012329     -0.01945    0.0065624      0.96985 Fibroblast
Microglia                           COVAR   16676    -0.016196    -0.022689    0.0069101      0.99045 Microglia
