# MEAN_SAMPLE_SIZE = 17594
# TOTAL_GENES = 16654
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Committed_oligodendrocyte_pr...     COVAR   16654    0.0029151     0.004661    0.0084233      0.36464 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16654    0.0040833     0.006212    0.0078214      0.30081 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   16654    0.0074237     0.011788    0.0097546      0.22332 Oligodendrocyte_precursor
Splatter                            COVAR   16654    0.0031992    0.0061222    0.0050712      0.26407 Splatter
Upper_rhombic_lip                   COVAR   16654    0.0028828    0.0042602    0.0086633      0.36966 Upper_rhombic_lip
Cerebellar_inhibitory               COVAR   16654     0.010445     0.020878    0.0067003     0.059528 Cerebellar_inhibitory
Miscellaneous                       COVAR   16654   -0.0022535   -0.0025941    0.0093201      0.59553 Miscellaneous
Astrocyte                           COVAR   16654    0.0098008     0.013194    0.0094697      0.15035 Astrocyte
Bergmann_glia                       COVAR   16654   -0.0061271   -0.0094623    0.0090331       0.7512 Bergmann_glia
Ependymal                           COVAR   16654    0.0024969    0.0070058    0.0029436      0.19815 Ependymal
Vascular                            COVAR   16654    -0.023868    -0.027792    0.0099121      0.99197 Vascular
Fibroblast                          COVAR   16654    -0.043082    -0.052042     0.010416      0.99998 Fibroblast
Microglia                           COVAR   16654    -0.021369    -0.025201    0.0086883      0.99304 Microglia
