# MEAN_SAMPLE_SIZE = 18196
# TOTAL_GENES = 16693
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Microglia                           COVAR   16693    -0.016459    -0.023144    0.0071219      0.98958 Microglia
Miscellaneous                       COVAR   16693   -0.0092778    -0.010872    0.0081428      0.87272 Miscellaneous
Vascular                            COVAR   16693    -0.024347    -0.032519    0.0084919      0.99793 Vascular
Fibroblast                          COVAR   16693    -0.033161     -0.04591    0.0080608      0.99998 Fibroblast
Choroid_plexus                      COVAR   16693    0.0030013    0.0073663    0.0035885      0.20148 Choroid_plexus
Ependymal                           COVAR   16693  -0.00042726  -0.00073116    0.0059695      0.52853 Ependymal
Astrocyte                           COVAR   16693    0.0056841    0.0074613    0.0088175      0.25959 Astrocyte
Bergmann_glia                       COVAR   16693   -0.0040585    -0.007509    0.0066025      0.73062 Bergmann_glia
Committed_oligodendrocyte_pr...     COVAR   16693   -0.0027463   -0.0048315    0.0082021      0.63112 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   16693    0.0010216    0.0017449    0.0087935      0.45376 Oligodendrocyte_precursor
Cerebellar_inhibitory               COVAR   16693   -0.0054797    -0.011773    0.0078667      0.75696 Cerebellar_inhibitory
Upper_rhombic_lip                   COVAR   16693   -0.0022153     -0.00328    0.0090833      0.59634 Upper_rhombic_lip
Splatter                            COVAR   16693    0.0010309     0.002458    0.0070076      0.44152 Splatter
Lower_rhombic_lip                   COVAR   16693   -0.0064877    -0.015566    0.0060622      0.85772 Lower_rhombic_lip
MGE_interneuron                     COVAR   16693    0.0085883     0.021499    0.0043663     0.024605 MGE_interneuron
Midbrain_derived_inhibitory         COVAR   16693    0.0051133     0.011629    0.0067886      0.22566 Midbrain_derived_inhibitory
Medium_spiny_neuron                 COVAR   16693    0.0062899     0.017909      0.00295     0.016504 Medium_spiny_neuron
Oligodendrocyte                     COVAR   16693     0.002417    0.0041867    0.0067056      0.35926 Oligodendrocyte
