# MEAN_SAMPLE_SIZE = 11588
# TOTAL_GENES = 16275
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Upper_rhombic_lip                   COVAR   16275     0.002196    0.0033139      0.00872      0.40059 Upper_rhombic_lip
Splatter                            COVAR   16275   0.00068742    0.0021373    0.0029281       0.4072 Splatter
Deep_layer_intratelencephalic       COVAR   16275    0.0037694     0.011698    0.0028539     0.093296 Deep_layer_intratelencephalic
Cerebellar_inhibitory               COVAR   16275     0.010799     0.022799    0.0067328     0.054378 Cerebellar_inhibitory
Miscellaneous                       COVAR   16275   -0.0083474     -0.01117    0.0072562        0.875 Miscellaneous
Astrocyte                           COVAR   16275    0.0089859     0.015735    0.0072034      0.10612 Astrocyte
Bergmann_glia                       COVAR   16275   -0.0027779   -0.0048925    0.0077302      0.64033 Bergmann_glia
Oligodendrocyte_precursor           COVAR   16275     0.010186     0.017913    0.0088844       0.1258 Oligodendrocyte_precursor
Committed_oligodendrocyte_pr...     COVAR   16275  -0.00063732   -0.0014573    0.0040122       0.5631 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16275    0.0040761    0.0067089    0.0073143      0.28867 Oligodendrocyte
Vascular                            COVAR   16275    -0.016154    -0.020903    0.0086699      0.96877 Vascular
Fibroblast                          COVAR   16275    -0.034393    -0.049515     0.008684      0.99996 Fibroblast
Microglia                           COVAR   16275    -0.016093    -0.023664    0.0071447      0.98785 Microglia
