# MEAN_SAMPLE_SIZE = 21408
# TOTAL_GENES = 16904
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Splatter                            COVAR   16904     0.013119     0.028155     0.014456      0.18208 Splatter
Amygdala_excitatory                 COVAR   16904     0.019256     0.042705      0.01309     0.070641 Amygdala_excitatory
Upper_layer_intratelencephal...     COVAR   16904     0.023534     0.050731     0.010579     0.013064 Upper_layer_intratelencephalic
Deep_layer_intratelencephalic       COVAR   16904     0.023742     0.055552     0.009989    0.0087367 Deep_layer_intratelencephalic
Miscellaneous                       COVAR   16904   -0.0049478   -0.0079947     0.011687      0.66398 Miscellaneous
LAMP5_LHX6_and_Chandelier           COVAR   16904     0.011697      0.02445      0.01079      0.13919 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   16904     0.012276     0.024286     0.012061      0.15439 CGE_interneuron
MGE_interneuron                     COVAR   16904    0.0076736     0.016356      0.01169      0.25578 MGE_interneuron
Deep_layer_near_projecting          COVAR   16904   -0.0036871    -0.008614    0.0081134      0.67524 Deep_layer_near_projecting
Deep_layer_corticothalamic_a...     COVAR   16904     0.012246     0.028398    0.0095676      0.10029 Deep_layer_corticothalamic_and_6b
Thalamic_excitatory                 COVAR   16904    0.0025805    0.0079509    0.0031292      0.20479 Thalamic_excitatory
Midbrain_derived_inhibitory         COVAR   16904    0.0056568     0.011048    0.0073963       0.2222 Midbrain_derived_inhibitory
Medium_spiny_neuron                 COVAR   16904     0.019226     0.044936     0.010147     0.029073 Medium_spiny_neuron
Eccentric_medium_spiny_neuron       COVAR   16904     0.024536     0.053911     0.011252     0.014613 Eccentric_medium_spiny_neuron
Upper_rhombic_lip                   COVAR   16904   -0.0021927   -0.0034737    0.0066694      0.62883 Upper_rhombic_lip
Committed_oligodendrocyte_pr...     COVAR   16904    0.0066549     0.012028    0.0085608      0.21848 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16904  -0.00012277  -0.00022795    0.0061887      0.50791 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   16904   -0.0011952   -0.0026013    0.0075169      0.56317 Oligodendrocyte_precursor
Ependymal                           COVAR   16904    -0.005272     -0.01002    0.0055217      0.83015 Ependymal
Astrocyte                           COVAR   16904   -0.0065719    -0.013582    0.0063407         0.85 Astrocyte
Fibroblast                          COVAR   16904    -0.031054    -0.044462    0.0076639      0.99997 Fibroblast
Vascular                            COVAR   16904    -0.018996    -0.030504    0.0068551       0.9972 Vascular
Microglia                           COVAR   16904    -0.014633    -0.025188    0.0057929      0.99423 Microglia
