# MEAN_SAMPLE_SIZE = 20503
# TOTAL_GENES = 16844
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Upper_rhombic_lip                   COVAR   16844     0.002454    0.0041204    0.0054603      0.32656 Upper_rhombic_lip
Amygdala_excitatory                 COVAR   16844     0.017023     0.038843    0.0098436     0.041885 Amygdala_excitatory
Cerebellar_inhibitory               COVAR   16844   -0.0023297   -0.0063842    0.0030811       0.7752 Cerebellar_inhibitory
Eccentric_medium_spiny_neuron       COVAR   16844     0.017522     0.035766    0.0096038     0.034053 Eccentric_medium_spiny_neuron
Splatter                            COVAR   16844   -0.0048699   -0.0096919     0.013069      0.64529 Splatter
Medium_spiny_neuron                 COVAR   16844    0.0089167     0.019484    0.0085453      0.14838 Medium_spiny_neuron
Thalamic_excitatory                 COVAR   16844   -0.0014653   -0.0043872    0.0029965      0.68758 Thalamic_excitatory
MGE_interneuron                     COVAR   16844   0.00054512    0.0011766     0.010156       0.4786 MGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16844    0.0020701    0.0044139    0.0091989      0.41098 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   16844    0.0073751     0.014222     0.011301      0.25701 CGE_interneuron
Midbrain_derived_inhibitory         COVAR   16844    0.0015656    0.0035879    0.0052209      0.38214 Midbrain_derived_inhibitory
Lower_rhombic_lip                   COVAR   16844     0.004007    0.0082146    0.0043422      0.17806 Lower_rhombic_lip
Miscellaneous                       COVAR   16844   -0.0064819    -0.011254     0.012672       0.6955 Miscellaneous
Deep_layer_intratelencephalic       COVAR   16844    0.0088959     0.020774     0.009254      0.16821 Deep_layer_intratelencephalic
Hippocampal_CA1_3                   COVAR   16844   -0.0039449    -0.010677    0.0049392      0.78776 Hippocampal_CA1_3
Upper_layer_intratelencephal...     COVAR   16844     0.021126     0.048884    0.0093454       0.0119 Upper_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   16844     0.010513     0.024146    0.0094078      0.13191 Deep_layer_corticothalamic_and_6b
Hippocampal_CA4                     COVAR   16844   -0.0019877   -0.0047836    0.0052653       0.6471 Hippocampal_CA4
Deep_layer_near_projecting          COVAR   16844   -0.0038921   -0.0090301    0.0084301      0.67785 Deep_layer_near_projecting
Choroid_plexus                      COVAR   16844    -0.006233    -0.013874    0.0048807       0.8992 Choroid_plexus
Committed_oligodendrocyte_pr...     COVAR   16844   0.00054707   0.00082177     0.010267      0.47875 Committed_oligodendrocyte_precursor
Ependymal                           COVAR   16844   -0.0017014   -0.0028113    0.0062558      0.60717 Ependymal
Oligodendrocyte                     COVAR   16844    0.0025833    0.0035729    0.0075621      0.36632 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   16844    0.0051521    0.0088578    0.0080448      0.26095 Oligodendrocyte_precursor
Astrocyte                           COVAR   16844  -0.00013234  -0.00018503    0.0086002      0.50614 Astrocyte
Bergmann_glia                       COVAR   16844    0.0055403     0.012673    0.0033336     0.048267 Bergmann_glia
Fibroblast                          COVAR   16844    -0.028715    -0.041141    0.0078523      0.99987 Fibroblast
Vascular                            COVAR   16844    -0.021841    -0.028841    0.0080887      0.99653 Vascular
Microglia                           COVAR   16844    -0.015757    -0.019617    0.0077012      0.97962 Microglia
