# MEAN_SAMPLE_SIZE = 20775
# TOTAL_GENES = 16862
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Splatter                            COVAR   16862   -0.0046369   -0.0096666      0.01316      0.63771 Splatter
Miscellaneous                       COVAR   16862     -0.01351    -0.019012     0.012111      0.86769 Miscellaneous
Deep_layer_near_projecting          COVAR   16862    0.0023376    0.0051859    0.0091829      0.39953 Deep_layer_near_projecting
Deep_layer_corticothalamic_a...     COVAR   16862     0.017668     0.040775     0.010055     0.039465 Deep_layer_corticothalamic_and_6b
Medium_spiny_neuron                 COVAR   16862     0.016136     0.036346    0.0080886     0.023036 Medium_spiny_neuron
Eccentric_medium_spiny_neuron       COVAR   16862     0.026689     0.055974     0.010881    0.0070937 Eccentric_medium_spiny_neuron
Amygdala_excitatory                 COVAR   16862   -0.0049888    -0.010831    0.0064561      0.78015 Amygdala_excitatory
Deep_layer_intratelencephalic       COVAR   16862      0.02613     0.061345    0.0097365    0.0036445 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   16862     0.029383     0.066775     0.010143     0.001887 Upper_layer_intratelencephalic
MGE_interneuron                     COVAR   16862     0.011496     0.024151     0.011639      0.16165 MGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16862    0.0087503     0.018524     0.010542      0.20325 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   16862     0.013192     0.026646      0.01193      0.13441 CGE_interneuron
Committed_oligodendrocyte_pr...     COVAR   16862  -0.00060786   -0.0010789    0.0073961      0.53275 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16862   0.00035744   0.00061182    0.0063459      0.47754 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   16862  -2.8476e-05  -5.4552e-05    0.0078265      0.50145 Oligodendrocyte_precursor
Astrocyte                           COVAR   16862   -0.0013667   -0.0022547    0.0069494      0.57795 Astrocyte
Vascular                            COVAR   16862    -0.015444    -0.022696    0.0069304      0.98707 Vascular
Fibroblast                          COVAR   16862    -0.031179    -0.046003    0.0073052      0.99999 Fibroblast
Microglia                           COVAR   16862    -0.016711    -0.024289    0.0066579      0.99396 Microglia
