# MEAN_SAMPLE_SIZE = 22620
# TOTAL_GENES = 16985
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Miscellaneous                       COVAR   16985    0.0052497     0.012491    0.0098555      0.29714 Miscellaneous
Microglia                           COVAR   16985    -0.021407    -0.025177    0.0083105        0.995 Microglia
Vascular                            COVAR   16985    -0.013138    -0.015652    0.0081502      0.94651 Vascular
Fibroblast                          COVAR   16985      -0.0286    -0.036082    0.0084401      0.99965 Fibroblast
Astrocyte                           COVAR   16985   -0.0043458   -0.0068536    0.0075693      0.71706 Astrocyte
Committed_oligodendrocyte_pr...     COVAR   16985    0.0041381    0.0055897    0.0093798      0.32955 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   16985    0.0011436    0.0014097    0.0086545      0.44744 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   16985  -0.00098233   -0.0015775    0.0089444      0.54373 Oligodendrocyte_precursor
Deep_layer_corticothalamic_a...     COVAR   16985    0.0010235    0.0023538     0.010227      0.46014 Deep_layer_corticothalamic_and_6b
Amygdala_excitatory                 COVAR   16985    0.0093765     0.022703    0.0098768      0.17123 Amygdala_excitatory
Hippocampal_CA1_3                   COVAR   16985    0.0019857    0.0040952    0.0079574      0.40147 Hippocampal_CA1_3
Splatter                            COVAR   16985    -0.019017    -0.039753     0.012716      0.93259 Splatter
Upper_rhombic_lip                   COVAR   16985    0.0012351    0.0024848    0.0048344      0.39918 Upper_rhombic_lip
CGE_interneuron                     COVAR   16985   -0.0052891    -0.010645      0.01262      0.66243 CGE_interneuron
MGE_interneuron                     COVAR   16985   -0.0051408    -0.011128     0.011473      0.67295 MGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   16985   -0.0018387   -0.0038638     0.010876      0.56713 LAMP5_LHX6_and_Chandelier
Eccentric_medium_spiny_neuron       COVAR   16985   2.2744e-05   5.3532e-05    0.0056451      0.49839 Eccentric_medium_spiny_neuron
Medium_spiny_neuron                 COVAR   16985    0.0066428     0.019493    0.0028969     0.010929 Medium_spiny_neuron
Upper_layer_intratelencephal...     COVAR   16985    0.0024049    0.0053011     0.010646      0.41064 Upper_layer_intratelencephalic
Deep_layer_intratelencephalic       COVAR   16985  -0.00058196   -0.0014161     0.009736      0.52383 Deep_layer_intratelencephalic
