Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Upper_layer_intratelencephalic	16836	0.019616	0.043366	0.011034	0.037737	0.792477	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Deep_layer_intratelencephalic	16836	0.016679	0.038939	0.011208	0.068376	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Medium_spiny_neuron	16836	0.011466	0.026555	0.0099177	0.12382	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Amygdala_excitatory	16836	0.010785	0.024298	0.011909	0.18258	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Thalamic_excitatory	16836	0.0026861	0.0083099	0.0030681	0.19067	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Miscellaneous	16836	0.0088788	0.01866	0.012787	0.24373	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Deep_layer_corticothalamic_and_6b	16836	0.0051074	0.011635	0.010644	0.31567	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Committed_oligodendrocyte_precursor	16836	0.0045448	0.0059276	0.009813	0.32164	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Eccentric_medium_spiny_neuron	16836	0.0038094	0.0088906	0.01024	0.35495	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Oligodendrocyte	16836	0.0024385	0.0038143	0.0071432	0.36641	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	LAMP5_LHX6_and_Chandelier	16836	0.0022095	0.0045918	0.010806	0.41899	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Oligodendrocyte_precursor	16836	0.00060183	0.0010078	0.008558	0.47197	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	CGE_interneuron	16836	1.1666e-06	2.3133e-06	0.012096	0.49996	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Splatter	16836	-0.00017679	-0.00037125	0.014667	0.50481	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Astrocyte	16836	-0.0013267	-0.0021522	0.0074063	0.57108	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Hippocampal_CA1_3	16836	-0.00092151	-0.0029063	0.0032774	0.61071	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	MGE_interneuron	16836	-0.003653	-0.007592	0.01206	0.61901	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Deep_layer_near_projecting	16836	-0.0097047	-0.02093	0.0096086	0.84375	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Vascular	16836	-0.018897	-0.024228	0.0083498	0.98818	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Microglia	16836	-0.019588	-0.023732	0.0081165	0.99209	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Fibroblast	16836	-0.024001	-0.029116	0.0087597	0.99692	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Upper_layer_intratelencephalic	16808	0.017137	0.040464	0.010333	0.048617	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Midbrain_derived_inhibitory	16808	0.0037315	0.0096618	0.0031343	0.11693	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Amygdala_excitatory	16808	0.011432	0.025578	0.011873	0.16782	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Eccentric_medium_spiny_neuron	16808	0.0095874	0.018962	0.011113	0.19416	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Hippocampal_CA1_3	16808	0.0027999	0.0087791	0.0032725	0.19612	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Deep_layer_intratelencephalic	16808	0.0081502	0.01943	0.010724	0.22364	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Medium_spiny_neuron	16808	0.0066446	0.013614	0.0091322	0.23343	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Oligodendrocyte	16808	0.0030356	0.0038553	0.0081254	0.35436	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Committed_oligodendrocyte_precursor	16808	0.00023916	0.00037558	0.0079371	0.48798	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Oligodendrocyte_precursor	16808	-0.00010362	-0.00016111	0.0087733	0.50471	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Deep_layer_corticothalamic_and_6b	16808	-0.00093856	-0.0021662	0.011317	0.53305	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	CGE_interneuron	16808	-0.0018699	-0.0038888	0.011704	0.56347	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	LAMP5_LHX6_and_Chandelier	16808	-0.0019391	-0.0041661	0.010026	0.57667	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	MGE_interneuron	16808	-0.003964	-0.0084717	0.011319	0.63691	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Astrocyte	16808	-0.0034495	-0.0051918	0.007617	0.67468	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Splatter	16808	-0.0075797	-0.013267	0.015245	0.69047	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Miscellaneous	16808	-0.0052555	-0.012765	0.0093058	0.71388	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Fibroblast	16808	-0.0062663	-0.0090881	0.0055524	0.87045	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Deep_layer_near_projecting	16808	-0.012223	-0.028117	0.0095982	0.89856	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Vascular	16808	-0.014841	-0.020794	0.0064801	0.98899	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Microglia	16808	-0.023461	-0.026494	0.008234	0.99781	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	16825	0.018999	0.040208	0.007957	0.0084814	0.1865908	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Medium_spiny_neuron	16825	0.01548	0.033294	0.0077164	0.02243	0.49346	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Upper_layer_intratelencephalic	16825	0.014672	0.031014	0.0081535	0.035978	0.791516	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Hippocampal_dentate_gyrus	16825	0.013465	0.026688	0.0096473	0.081414	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	CGE_interneuron	16825	0.013738	0.023811	0.013418	0.15297	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	LAMP5_LHX6_and_Chandelier	16825	0.0097628	0.019068	0.010224	0.16982	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Hippocampal_CA1_3	16825	0.0068134	0.014648	0.0085891	0.21382	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Committed_oligodendrocyte_precursor	16825	0.005896	0.0084257	0.0095603	0.26871	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	MGE_interneuron	16825	0.0046437	0.0089412	0.011204	0.33927	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Oligodendrocyte	16825	0.0010704	0.0016419	0.0068913	0.43828	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Miscellaneous	16825	0.0010787	0.0011029	0.0088282	0.45137	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Oligodendrocyte_precursor	16825	0.0002968	0.00050213	0.0083936	0.4859	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Deep_layer_corticothalamic_and_6b	16825	1.5285e-05	3.1822e-05	0.0067607	0.4991	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Hippocampal_CA4	16825	-0.0010934	-0.0024442	0.0084925	0.55122	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Astrocyte	16825	-0.0015465	-0.0023825	0.0074571	0.58215	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Deep_layer_intratelencephalic	16825	-0.0014247	-0.0034016	0.005505	0.60211	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Upper_rhombic_lip	16825	-0.0022281	-0.0032467	0.0069383	0.62594	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Ependymal	16825	-0.0031173	-0.0048625	0.0062196	0.69188	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Splatter	16825	-0.010703	-0.018809	0.012329	0.80734	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Microglia	16825	-0.016317	-0.020079	0.0077773	0.98204	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Vascular	16825	-0.020242	-0.026698	0.0078	0.99527	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Fibroblast	16825	-0.032725	-0.043488	0.0079188	0.99998	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Upper_layer_intratelencephalic	16844	0.026129	0.050828	0.01195	0.014392	0.28784	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Amygdala_excitatory	16844	0.013889	0.034837	0.007247	0.02766	0.5532	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Miscellaneous	16844	0.022718	0.04034	0.013685	0.048464	0.96928	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Deep_layer_intratelencephalic	16844	0.019017	0.040703	0.011735	0.052563	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Hippocampal_dentate_gyrus	16844	0.018099	0.025226	0.011286	0.054404	1	1
