# MEAN_SAMPLE_SIZE = 68990
# TOTAL_GENES = 15085
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligodendrocyte_Trf_Serpinb1...     COVAR   15085  -0.00080667     -0.00217    0.0065183      0.54924 Oligodendrocyte_Trf_Serpinb1a.1_1
Oligodendrocyte_Trf_Klk6.1_2        COVAR   15085    0.0011331    0.0030542     0.006175       0.4272 Oligodendrocyte_Trf_Klk6.1_2
Oligodendrocyte_Trf_Ndrg2.1_3       COVAR   15085    0.0036682    0.0098547    0.0068031      0.29488 Oligodendrocyte_Trf_Ndrg2.1_3
Oligodendrocyte_Trf_Il33.1_4        COVAR   15085   0.00075973    0.0020386    0.0066036       0.4542 Oligodendrocyte_Trf_Il33.1_4
Oligodendrocyte_Trf_Ctps.1_5        COVAR   15085    0.0039565     0.010852    0.0057485      0.24565 Oligodendrocyte_Trf_Ctps.1_5
Endothelial_Stalk_Flt1_Car4....     COVAR   15085   -0.0083726    -0.023524    0.0047656      0.96052 Endothelial_Stalk_Flt1_Car4.2_1
Endothelial_Stalk_Flt1_Vwf.2...     COVAR   15085   -0.0041655    -0.012108    0.0041219      0.84388 Endothelial_Stalk_Flt1_Vwf.2_2
Endothelial_Stalk_Flt1_Tgfb2...     COVAR   15085   -0.0057855    -0.016394    0.0046862      0.89149 Endothelial_Stalk_Flt1_Tgfb2.2_3
Endothelial_Stalk_Flt1_Gkn3....     COVAR   15085    -0.010612    -0.029944    0.0046369      0.98894 Endothelial_Stalk_Flt1_Gkn3.2_4
Mural_Rgs5Acta2_Kcnj8.3_1           COVAR   15085    -0.015757    -0.048043    0.0035212            1 Mural_Rgs5Acta2_Kcnj8.3_1
Endothelial_Tip_Dcn.3_2             COVAR   15085   -0.0094603    -0.028741    0.0033127      0.99785 Endothelial_Tip_Dcn.3_2
Mural_Rgs5Acta2_Pdgfa.3_3           COVAR   15085     -0.00679    -0.021072    0.0031413      0.98466 Mural_Rgs5Acta2_Pdgfa.3_3
Mural_Rgs5Acta2_Ccnd1.3_4           COVAR   15085     -0.01918     -0.05569     0.004128            1 Mural_Rgs5Acta2_Ccnd1.3_4
Mural_Rgs5Acta2_Cnn1.3_5            COVAR   15085    -0.015401    -0.045346    0.0038056      0.99997 Mural_Rgs5Acta2_Cnn1.3_5
