# MEAN_SAMPLE_SIZE = 68990
# TOTAL_GENES = 15085
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Gad1Gad2_Cplx3.1_1           COVAR   15085     0.015495     0.042583    0.0084407     0.033205 Neuron_Gad1Gad2_Cplx3.1_1
Neuron_Gad1Gad2-Slc17a8_Synp...     COVAR   15085     0.010646     0.029492    0.0075569     0.079453 Neuron_Gad1Gad2-Slc17a8_Synpr-Sncg-Yjefn3.1_10
Neuron_Gad1Gad2_Synpr-Sncg.1...     COVAR   15085     0.014451     0.040298    0.0073687     0.024943 Neuron_Gad1Gad2_Synpr-Sncg.1_11
Neuron_Gad1Gad2_Cplx3-Reln.1...     COVAR   15085     0.011855     0.032741     0.008646     0.085168 Neuron_Gad1Gad2_Cplx3-Reln.1_2
Neuron_Gad1Gad2_Synpr-Nnat.1...     COVAR   15085    0.0025609    0.0074319    0.0059418      0.33324 Neuron_Gad1Gad2_Synpr-Nnat.1_3
Neuron_Gad1Gad2_Synpr-Crispl...     COVAR   15085     0.012365     0.034604    0.0072084     0.043144 Neuron_Gad1Gad2_Synpr-Crispld2.1_4
Neuron_Gad1Gad2-Chat_Synpr-S...     COVAR   15085     0.014424     0.039688    0.0081502      0.03839 Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.1_5
Neuron_Gad1Gad2_Synpr-Pcdh11...     COVAR   15085     0.028893     0.079565    0.0083094    0.0002541 Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6
Neuron_Gad1Gad2_Synpr-Dpy19l...     COVAR   15085      0.01257     0.035796    0.0066691      0.02974 Neuron_Gad1Gad2_Synpr-Dpy19l1.1_7
Neuron_Gad1Gad2_Cplx3-Dpy19l...     COVAR   15085    0.0049915     0.014734    0.0053611      0.17592 Neuron_Gad1Gad2_Cplx3-Dpy19l1.1_8
Neuron_Gad1Gad2_Cplx3-Crim1....     COVAR   15085     0.013324     0.038064    0.0067457     0.024134 Neuron_Gad1Gad2_Cplx3-Crim1.1_9
Polydendrocyte_Tnr_Cspg5.10_1       COVAR   15085    -0.011838     -0.03235    0.0062676      0.97053 Polydendrocyte_Tnr_Cspg5.10_1
Polydendrocyte_Tnr_Dlx1.10_2        COVAR   15085    -0.010878    -0.031137    0.0043424      0.99387 Polydendrocyte_Tnr_Dlx1.10_2
Polydendrocyte_Tnr_Pdgfa.10_3       COVAR   15085   -0.0033966     -0.00945    0.0050605      0.74895 Polydendrocyte_Tnr_Pdgfa.10_3
Polydendrocyte_Tnr_Opalin.10...     COVAR   15085   -0.0053239    -0.015115    0.0041539      0.90001 Polydendrocyte_Tnr_Opalin.10_4
Polydendrocyte_Tnr_Bmp4-_Ptg...     COVAR   15085   -0.0071537    -0.019919    0.0052333      0.91417 Polydendrocyte_Tnr_Bmp4-_Ptgds.10_5
Polydendrocyte_Tnr_Bmp4-Gpr1...     COVAR   15085    -0.011084    -0.031451    0.0052695      0.98228 Polydendrocyte_Tnr_Bmp4-Gpr17.10_6
Microglia_C1qb_Tmem119.11_1         COVAR   15085   -0.0016584   -0.0043679    0.0055025      0.61844 Microglia_C1qb_Tmem119.11_1
Neuron_Slc17a6_Reln.11_2            COVAR   15085   -0.0068752    -0.021926    0.0032499       0.9828 Neuron_Slc17a6_Reln.11_2
Macrophage_C1qb_Mrc1.11_3           COVAR   15085   -0.0046869    -0.013123    0.0040388      0.87706 Macrophage_C1qb_Mrc1.11_3
Microglia_C1qb_Tmem119-Fos.1...     COVAR   15085   -0.0015118   -0.0047816    0.0026389      0.71664 Microglia_C1qb_Tmem119-Fos.11_4
Endothelial_Stalk_Flt1_Gkn3....     COVAR   15085    -0.013972    -0.037229     0.004942      0.99765 Endothelial_Stalk_Flt1_Gkn3.12_1
Endothelial_Stalk_Flt1_Mgp.1...     COVAR   15085    -0.010638    -0.030269    0.0038573      0.99709 Endothelial_Stalk_Flt1_Mgp.12_2
Endothelial_Stalk_Flt1_Car4....     COVAR   15085    -0.012275    -0.032862    0.0049745      0.99319 Endothelial_Stalk_Flt1_Car4.12_3
