Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	Marginal.P	PS
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Nefm.3_1	1	15085	0.022204	0.059989	0.013506	0.050104	9.2703e-06	0.258325418105705
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Pdyn.3_2	1	15085	0.0091558	0.025267	0.012696	0.23542	2.924e-05	0.138542900125714
DropViz_GP_level2	Neuron_Gad1Gad2_Adora2a.3_3	2	15085	0.015684	0.042557	0.014791	0.1445	9.248e-06	0.166893153340818
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Nefm.3_1	2	15085	0.016158	0.043653	0.015269	0.14499	9.2703e-06	0.166635719987705
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Nefm.3_1	3	15085	0.021532	0.058173	0.011024	0.025406	9.2703e-06	0.316926968097151
DropViz_GP_level2	Neuron_Gad1Gad2_Cadm2.3_4	3	15085	0.0095951	0.026365	0.0090249	0.14386	3.8122e-05	0.190561987190976
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Nefm.3_1	4	15085	0.02054	0.055493	0.012211	0.046293	9.2703e-06	0.265151905878395
DropViz_GP_level2	Neuron_Gad1Gad2_Adora2a-Pde1c.3_6	4	15085	0.011739	0.032229	0.011716	0.1582	2.4218e-05	0.17348732880724
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Nefm.3_1	5	15085	0.022409	0.060543	0.0093475	0.0082639	9.2703e-06	0.413839411933408
DropViz_GP_level2	Neuron_Gad1Gad2_Sphkap-Tmem255a.3_7	5	15085	0.013039	0.035668	0.0097891	0.091435	7.5422e-05	0.252004132930659
DropViz_GP_level2	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	6	15085	0.033688	0.091884	0.012132	0.0027495	1.7605e-07	0.379124709170356
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Nefm.3_1	6	15085	0.003803	0.010275	0.011956	0.37521	9.2703e-06	0.0845884221889837
DropViz_GP_level2	Neuron_Gad1Gad2_Adora2a.3_3	7	15085	0.020653	0.056039	0.011856	0.040762	9.248e-06	0.27607423868067
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Pdyn.3_2	7	15085	0.010591	0.029227	0.011505	0.17864	2.924e-05	0.164979610976007
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Pdyn.3_2	8	15085	0.016428	0.045336	0.0093145	0.038901	2.924e-05	0.310990779925183
