Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	CDM.BETA	CDM.BETA_STD	CDM.SE	CDM.P	CDM.ds	Marginal.P	PS	PS.avg
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	1	15085	0.031761	0.089364	0.0074455	1.0024e-05	0.037801	0.10636	0.0071566	6.4866e-08	DropViz_SN_level2	3.9633e-08	0.695460607501654	0.971094053422615
DropViz_SN_level2	Neuron_Slc17a6.2_1	1	15085	0.018877	0.052699	0.0064404	0.0016918	0.02648	0.073926	0.0061926	9.5707e-06	DropViz_STR_level2	1.5379e-05	0.552225521187891	1.04279686609542
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	2	15085	0.03045	0.085675	0.0078194	4.9496e-05	0.036711	0.10329	0.0071668	1.5283e-07	DropViz_PC_level2	3.9633e-08	0.631684517996016	0.92081110842708
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Sla.1_4	2	15085	0.02392	0.066291	0.011954	0.022705	0.042547	0.11792	0.010961	5.2064e-05	DropViz_STR_level2	3.8901e-05	0.383773292227614	0.971298040910015
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	3	15085	0.031257	0.087946	0.0073913	1.1816e-05	0.03627	0.10205	0.0071137	1.7327e-07	DropViz_HC_level2	3.9633e-08	0.728786853619418	0.913446182502141
DropViz_HC_level2	Neuron_Slc17a7_C1ql2-Penk.4_2	3	15085	0.022802	0.063342	0.0091474	0.0063437	0.033328	0.092582	0.0088076	7.7479e-05	DropViz_STR_level2	5.9552e-05	0.534603681373058	0.972950330969233
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	4	15085	0.025935	0.072971	0.0086728	0.0013956	0.038012	0.10695	0.0070517	3.5694e-08	DropViz_GP_level2	3.9633e-08	0.38338711582142	1.00614186405494
DropViz_GP_level2	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	4	15085	0.021489	0.05861	0.0089858	0.0083985	0.037137	0.10129	0.0073071	1.8888e-07	DropViz_STR_level2	1.7605e-07	0.308723332537805	0.995477006451315
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	5	15085	0.03221	0.090627	0.0080423	3.1159e-05	0.036685	0.10322	0.0076353	7.8303e-07	DropViz_CB_level2	3.9633e-08	0.738004085832902	0.824948470305009
DropViz_CB_level2	Neuron_Slc17a7_Gabra6.1_1	5	15085	0.01182	0.033291	0.0066757	0.038325	0.020223	0.056958	0.0063408	0.00071455	DropViz_STR_level2	3.6591e-05	0.450264629913773	0.70909009998764
DropViz_SN_level2	Neuron_Slc17a6.2_1	6	15085	0.019623	0.054783	0.0064744	0.0012212	0.021314	0.059501	0.0064474	0.0004748	DropViz_PC_level2	1.5379e-05	0.876552607943277	0.69051311857628
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Sla.1_4	6	15085	0.033728	0.093473	0.012114	0.0026856	0.03717	0.10301	0.012064	0.0010329	DropViz_SN_level2	3.8901e-05	0.861021048174491	0.677078267073074
DropViz_SN_level2	Neuron_Slc17a6.2_1	7	15085	0.021194	0.059167	0.0063142	0.00039568	0.021574	0.060229	0.0063141	0.00031768	DropViz_HC_level2	1.5379e-05	0.972740437697945	0.726772879440352
DropViz_HC_level2	Neuron_Slc17a7_C1ql2-Penk.4_2	7	15085	0.026379	0.073277	0.0095398	0.0028487	0.027077	0.075217	0.009541	0.0022734	DropViz_SN_level2	5.9552e-05	0.962936494138272	0.625623502810147
DropViz_SN_level2	Neuron_Slc17a6.2_1	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5379e-05	NA	NA
DropViz_GP_level2	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7605e-07	NA	NA
DropViz_SN_level2	Neuron_Slc17a6.2_1	9	15085	0.021031	0.058711	0.006543	0.00065547	0.025306	0.070648	0.0063518	3.4039e-05	DropViz_CB_level2	1.5379e-05	0.712495668224101	0.928310089090224
DropViz_CB_level2	Neuron_Slc17a7_Gabra6.1_1	9	15085	0.017545	0.049416	0.0064664	0.0033354	0.022551	0.063515	0.0062782	0.00016466	DropViz_SN_level2	3.6591e-05	0.654660964308035	0.852767875059055
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Sla.1_4	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8901e-05	NA	NA
DropViz_HC_level2	Neuron_Slc17a7_C1ql2-Penk.4_2	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.9552e-05	NA	NA
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Sla.1_4	11	15085	0.026734	0.07409	0.012778	0.018217	0.044051	0.12208	0.011746	8.864e-05	DropViz_GP_level2	3.8901e-05	0.429260663077315	0.918896644041902
DropViz_GP_level2	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	11	15085	0.029057	0.079253	0.0084592	0.00029716	0.03604	0.098299	0.0077739	1.792e-06	DropViz_PC_level2	1.7605e-07	0.613749278031705	0.850807273592733
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Sla.1_4	12	NA	NA	NA	NA	NA	0.036891	0.10224	0.012208	0.001258	DropViz_CB_level2	3.8901e-05	NA	0.657662937836013
DropViz_CB_level2	Neuron_Slc17a7_Gabra6.1_1	12	NA	NA	NA	NA	NA	0.017034	0.047975	0.0067806	0.0060059	DropViz_PC_level2	3.6591e-05	NA	0.500700767355913
DropViz_HC_level2	Neuron_Slc17a7_C1ql2-Penk.4_2	13	15085	0.020877	0.057994	0.0097848	0.016445	0.032063	0.089068	0.0092791	0.00027553	DropViz_GP_level2	5.9552e-05	0.501137854061837	0.842542906376746
DropViz_GP_level2	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	13	15085	0.028796	0.078541	0.0080228	0.00016635	0.034248	0.093411	0.0076059	3.3796e-06	DropViz_HC_level2	1.7605e-07	0.690711781559589	0.810014787829008
DropViz_HC_level2	Neuron_Slc17a7_C1ql2-Penk.4_2	14	15085	0.025218	0.070052	0.0093259	0.0034292	0.028321	0.078673	0.0091364	0.00097011	DropViz_CB_level2	5.9552e-05	0.818008876903959	0.713160970541143
DropViz_CB_level2	Neuron_Slc17a7_Gabra6.1_1	14	15085	0.01155	0.032532	0.006971	0.048778	0.015336	0.043195	0.0068305	0.012382	DropViz_HC_level2	3.6591e-05	0.687798701063792	0.429878317455664
DropViz_GP_level2	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	15	15085	0.03137	0.085562	0.0084702	0.00010667	0.036357	0.099165	0.0080019	2.7876e-06	DropViz_CB_level2	1.7605e-07	0.715053554128233	0.822397129964526
DropViz_CB_level2	Neuron_Slc17a7_Gabra6.1_1	15	15085	0.012081	0.034025	0.0067324	0.036383	0.020262	0.057068	0.0063625	0.0007263	DropViz_GP_level2	3.6591e-05	0.45847553264701	0.707493521631439
