# MEAN_SAMPLE_SIZE = 68990
# TOTAL_GENES = 15085
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Chat-Gad1Gad2-Slc17a8...2     COVAR   15085    0.0033084    0.0090556    0.0067312      0.31154 Neuron_Chat-Gad1Gad2-Slc17a8_Ngfr.1_1
Neuron_Chat-Gad1Gad2-Slc17a8...1     COVAR   15085  -0.00085013   -0.0024024    0.0058883       0.5574 Neuron_Chat-Gad1Gad2-Slc17a8_Nefm.1_2
Oligodendrocyte_Trf_Mbp.10_1         COVAR   15085   -0.0034828   -0.0091944    0.0062956      0.70994 Oligodendrocyte_Trf_Mbp.10_1
Oligodendrocyte_Trf_Klk6.10_2        COVAR   15085   -0.0013668   -0.0036466    0.0056621      0.59537 Oligodendrocyte_Trf_Klk6.10_2
Oligodendrocyte_Trf_Ttyh1.10...      COVAR   15085   -0.0032676   -0.0087199    0.0057941       0.7136 Oligodendrocyte_Trf_Ttyh1.10_3
Oligodendrocyte_Trf_Ctps.10_4        COVAR   15085   -0.0026489   -0.0072412    0.0049573      0.70345 Oligodendrocyte_Trf_Ctps.10_4
Oligodendrocyte_Trf_Il33.10_5        COVAR   15085   -0.0052387    -0.013924    0.0060634      0.80619 Oligodendrocyte_Trf_Il33.10_5
Oligodendrocyte_Trf_Kif5b.10...      COVAR   15085  -0.00078487    -0.002073     0.006102      0.55117 Oligodendrocyte_Trf_Kif5b.10_6
Microglia_C1qb_Tmem119.11_1          COVAR   15085   -0.0021609   -0.0060494    0.0040066      0.70517 Microglia_C1qb_Tmem119.11_1
Macrophage_C1qb_Mrc1.11_2            COVAR   15085    -0.003377   -0.0095343    0.0038143      0.81201 Macrophage_C1qb_Mrc1.11_2
Neuron_Gad1Gad2_Tac1.2_1             COVAR   15085     0.010292     0.029382    0.0057058     0.035647 Neuron_Gad1Gad2_Tac1.2_1
Neuron_Gad1Gad2_Cadm2.2_10           COVAR   15085     0.009325     0.026905    0.0042739      0.01457 Neuron_Gad1Gad2_Cadm2.2_10
Neuron_Slc17a7_Neurod2-Rorb....      COVAR   15085     0.017311     0.048528     0.005734      0.00127 Neuron_Slc17a7_Neurod2-Rorb.2_11
Neuron_Slc17a7_Neurod2-C1ql3...      COVAR   15085    0.0087517     0.024914    0.0050157     0.040515 Neuron_Slc17a7_Neurod2-C1ql3.2_12
Neuron_Gad1Gad2_Grem.2_13            COVAR   15085     0.016037     0.043776    0.0073326     0.014377 Neuron_Gad1Gad2_Grem.2_13
Neuron_Gad1Gad2_Scn4b.2_14           COVAR   15085     0.010882     0.029049     0.006715     0.052563 Neuron_Gad1Gad2_Scn4b.2_14
Neuron_Gad1Gad2_Fibcd1.2_15          COVAR   15085     0.023324     0.062024    0.0077803    0.0013619 Neuron_Gad1Gad2_Fibcd1.2_15
Neuron_Gad1Gad2_Trdn.2_16            COVAR   15085     0.016551     0.044862    0.0068632    0.0079488 Neuron_Gad1Gad2_Trdn.2_16
Neuron_Gad1Gad2_Elfn1-Grik3....      COVAR   15085      0.01552     0.042582    0.0068741     0.011989 Neuron_Gad1Gad2_Elfn1-Grik3.2_17
Neuron_Gad1Gad2_Pappa.2_18           COVAR   15085     0.004123     0.011416    0.0065894      0.26576 Neuron_Gad1Gad2_Pappa.2_18
Neuron_Gad1Gad2_Cyp26b1.2_19         COVAR   15085    0.0017506    0.0047755    0.0078601      0.41188 Neuron_Gad1Gad2_Cyp26b1.2_19
Neuron_Slc17a6_Cck.2_2               COVAR   15085     0.015199     0.041657    0.0064917    0.0096137 Neuron_Slc17a6_Cck.2_2
Neuron_Gad1Gad2_Six3-Pvalb.2...      COVAR   15085     0.011571     0.032246    0.0063671     0.034595 Neuron_Gad1Gad2_Six3-Pvalb.2_20
Neuron_Gad1Gad2_Vip.2_21             COVAR   15085     0.014332     0.040412    0.0060927     0.009335 Neuron_Gad1Gad2_Vip.2_21
Neuron_Gad1Gad2_Lamp5-Cplx3....      COVAR   15085    0.0095448     0.029816    0.0036381    0.0043559 Neuron_Gad1Gad2_Lamp5-Cplx3.2_22
Neuron_Gad1Gad2_Trh.2_23             COVAR   15085    0.0051942     0.015232    0.0049089      0.14501 Neuron_Gad1Gad2_Trh.2_23
Neuron_Gad1Gad2_Igfbp4_Rgs4....      COVAR   15085    0.0080213     0.022468    0.0062128     0.098346 Neuron_Gad1Gad2_Igfbp4_Rgs4.2_24
Neuron_Gad1Gad2_Igfbp4_Adora...      COVAR   15085     0.010623     0.030337    0.0058448     0.034576 Neuron_Gad1Gad2_Igfbp4_Adora1.2_25
Neuron_Gad1Gad2_Tac2.2_3             COVAR   15085     0.025795     0.068944    0.0076519   0.00037546 Neuron_Gad1Gad2_Tac2.2_3
Neuron_Gad1Gad2_Hpcal4.2_4           COVAR   15085     0.027367     0.073276      0.00752   0.00013724 Neuron_Gad1Gad2_Hpcal4.2_4
Neuron_Gad1Gad2_Sst.2_5              COVAR   15085     0.017645     0.048484    0.0070564    0.0062059 Neuron_Gad1Gad2_Sst.2_5
Neuron_Gad1Gad2_Satb1.2_6            COVAR   15085     0.018524      0.05075    0.0070242    0.0041854 Neuron_Gad1Gad2_Satb1.2_6
Neuron_Gad1Gad2-Slc17a6_Cbln...      COVAR   15085     0.015077     0.041517    0.0067746     0.013031 Neuron_Gad1Gad2-Slc17a6_Cbln1.2_7
Neuron_Slc17a6_Tcf7l2.2_8            COVAR   15085     0.018596     0.050508    0.0070556    0.0042045 Neuron_Slc17a6_Tcf7l2.2_8
Neuron_Slc17a6_Rspo3.2_9             COVAR   15085     0.014051     0.038406    0.0070746      0.02352 Neuron_Slc17a6_Rspo3.2_9
Neuron_Gad1Gad2_Drd1-Nefm.3_1        COVAR   15085     0.030482     0.082355    0.0071166   9.2703e-06 Neuron_Gad1Gad2_Drd1-Nefm.3_1
Neuron_Gad1Gad2_Vipr2.3_10           COVAR   15085     0.012885     0.038492    0.0043097    0.0013984 Neuron_Gad1Gad2_Vipr2.3_10
Neuron_Gad1Gad2_Drd1-Pdyn.3_2        COVAR   15085     0.026896     0.074222    0.0066903    2.924e-05 Neuron_Gad1Gad2_Drd1-Pdyn.3_2
Neuron_Gad1Gad2_Adora2a.3_3          COVAR   15085     0.029532     0.080132     0.006894    9.248e-06 Neuron_Gad1Gad2_Adora2a.3_3
Neuron_Gad1Gad2_Cadm2.3_4            COVAR   15085     0.023057     0.063356    0.0058269   3.8122e-05 Neuron_Gad1Gad2_Cadm2.3_4
Neuron_Gad1Gad2_Drd1-Pde1c.3...      COVAR   15085     0.024812     0.068389    0.0067551   0.00012027 Neuron_Gad1Gad2_Drd1-Pde1c.3_5
Neuron_Gad1Gad2_Adora2a-Pde1...      COVAR   15085     0.027754     0.076198    0.0068286   2.4218e-05 Neuron_Gad1Gad2_Adora2a-Pde1c.3_6
Neuron_Gad1Gad2_Sphkap-Tmem2...      COVAR   15085     0.028255      0.07729    0.0074538   7.5422e-05 Neuron_Gad1Gad2_Sphkap-Tmem255a.3_7
Neuron_Gad1Gad2_Sphkap-Cpne4...      COVAR   15085     0.020356     0.057109    0.0060802   0.00040805 Neuron_Gad1Gad2_Sphkap-Cpne4.3_8
Neuron_Gad1Gad2-Th_Adora2a-T...      COVAR   15085     0.036789      0.10034    0.0072198   1.7605e-07 Neuron_Gad1Gad2-Th_Adora2a-Th.3_9
Polydendrocyte_Tnr_Pdgfa-Pik...      COVAR   15085   -0.0052662    -0.014711    0.0053712      0.83656 Polydendrocyte_Tnr_Pdgfa-Pik3r3.4_1
Polydendrocyte_Tnr_Pdgfa-Tme...      COVAR   15085   -0.0026183   -0.0072977    0.0049259      0.70247 Polydendrocyte_Tnr_Pdgfa-Tmem2.4_2
Polydendrocyte_Tnr_Opalin.4_3        COVAR   15085   -0.0055184     -0.01557    0.0043096       0.8998 Polydendrocyte_Tnr_Opalin.4_3
Polydendrocyte_Tnr_Bmp4.4_4          COVAR   15085  -0.00096827   -0.0027012    0.0057849      0.56646 Polydendrocyte_Tnr_Bmp4.4_4
Polydendrocyte_Tnr_Cspg5.4_5         COVAR   15085   -0.0042543    -0.011682    0.0063733      0.74778 Polydendrocyte_Tnr_Cspg5.4_5
Mitotic_MkI67.4_6                    COVAR   15085   0.00090439    0.0029455    0.0028054      0.37359 Mitotic_MkI67.4_6
Polydendrocyte_Tnr_Cyth3.4_7         COVAR   15085   0.00011036   0.00033408    0.0025825      0.48296 Polydendrocyte_Tnr_Cyth3.4_7
Astrocyte_Gja1_Gfap.5_1              COVAR   15085    -0.010755    -0.028064    0.0058828      0.96623 Astrocyte_Gja1_Gfap.5_1
Astrocyte_Gja1_Crym.5_2              COVAR   15085    -0.011685    -0.030793    0.0055403      0.98252 Astrocyte_Gja1_Crym.5_2
Ependymal_Ccdc153.6_1                COVAR   15085   -0.0059276    -0.017376    0.0033064      0.96349 Ependymal_Ccdc153.6_1
Endothelial_Stalk_Flt1_Apold...      COVAR   15085    -0.013007    -0.036221    0.0044258      0.99835 Endothelial_Stalk_Flt1_Apold1.7_1
Endothelial_Stalk_Flt1_Cdkn1...      COVAR   15085    -0.013219     -0.03615    0.0046492      0.99776 Endothelial_Stalk_Flt1_Cdkn1c.7_2
Endothelial_Stalk_Flt1_Mgp.7...      COVAR   15085    -0.015395    -0.043141    0.0042025      0.99988 Endothelial_Stalk_Flt1_Mgp.7_3
Endothelial_Stalk_Flt1_Lcn2....      COVAR   15085   -0.0090303    -0.025271    0.0043196      0.98171 Endothelial_Stalk_Flt1_Lcn2.7_4
Endothelial_Stalk_Flt1_Car4....      COVAR   15085    -0.011206    -0.030805    0.0047031       0.9914 Endothelial_Stalk_Flt1_Car4.7_5
Endothelial_Stalk_Flt1_Angpt...      COVAR   15085    -0.013416    -0.036952    0.0046155      0.99817 Endothelial_Stalk_Flt1_Angpt2.7_6
Mural_Rgs5Acta2_Acta2.8_1            COVAR   15085    -0.019133    -0.051902    0.0045533      0.99999 Mural_Rgs5Acta2_Acta2.8_1
Mural_Rgs5Acta2_Kcnj8.8_2            COVAR   15085    -0.016654    -0.048924    0.0038701      0.99999 Mural_Rgs5Acta2_Kcnj8.8_2
Mural_Rgs5Acta2_Lmcd1.8_3            COVAR   15085    -0.013633    -0.041918    0.0031435      0.99999 Mural_Rgs5Acta2_Lmcd1.8_3
Mural_Rgs5Acta2_Rgs5.8_4             COVAR   15085    -0.023192     -0.06339    0.0046496            1 Mural_Rgs5Acta2_Rgs5.8_4
