# MEAN_SAMPLE_SIZE = 68990
# TOTAL_GENES = 15085
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Gad1Gad2_Pvalb_C1ql1....      COVAR   15085    0.0097828     0.027835    0.0070515      0.08268 Neuron_Gad1Gad2_Pvalb_C1ql1.1_1
Neuron_Gad1Gad2_Sst_Pcdh11x....      COVAR   15085    0.0091931     0.026534    0.0065445     0.080065 Neuron_Gad1Gad2_Sst_Pcdh11x.1_10
Gad1Gad2_Cplx3_Rxfp1.1_11            COVAR   15085     0.013843     0.039463    0.0078176     0.038309 Gad1Gad2_Cplx3_Rxfp1.1_11
Gad1Gad2_Cplx3_Tox.1_12              COVAR   15085    0.0062545     0.018073    0.0069844      0.18527 Gad1Gad2_Cplx3_Tox.1_12
Gad1Gad2_Id2_Tac1.1_13               COVAR   15085     0.011939     0.034315    0.0068896     0.041567 Gad1Gad2_Id2_Tac1.1_13
Gad1Gad2_Id2_Bcl11b.1_14             COVAR   15085     0.010426     0.029339    0.0085229      0.11061 Gad1Gad2_Id2_Bcl11b.1_14
Gad1Gad2_Id2_Prlr.1_15               COVAR   15085    0.0094122     0.026632    0.0081727      0.12474 Gad1Gad2_Id2_Prlr.1_15
Gad1Gad2_Htr3a_Nnat.1_16             COVAR   15085    -0.003403    -0.010035    0.0060198      0.71406 Gad1Gad2_Htr3a_Nnat.1_16
Gad1Gad2Chat_Htr3a_Chat.1_17         COVAR   15085    0.0065444     0.018431    0.0081508      0.21102 Gad1Gad2Chat_Htr3a_Chat.1_17
Gad1Gad2_Htr3a_Phlda1.1_18           COVAR   15085     0.012174     0.034915    0.0069812     0.040605 Gad1Gad2_Htr3a_Phlda1.1_18
Gad1Gad2_Htr3a_Efba5.1_19            COVAR   15085    0.0097033     0.028332    0.0061314     0.056774 Gad1Gad2_Htr3a_Efba5.1_19
Neuron_Gad1Gad2_Id2_Sfrp2.1_2        COVAR   15085    0.0079955     0.023668    0.0057445     0.081995 Neuron_Gad1Gad2_Id2_Sfrp2.1_2
Gad1Gad2_Htr3a_Cpne5.1_20            COVAR   15085   -0.0055547     -0.01574    0.0076875      0.76502 Gad1Gad2_Htr3a_Cpne5.1_20
Gad1Gad2_Htr3a_Ecel1.1_21            COVAR   15085   -0.0020062   -0.0057418    0.0070475      0.61205 Gad1Gad2_Htr3a_Ecel1.1_21
Gad1Gad2_Htr3a_Ibsp.1_22             COVAR   15085   -0.0078296    -0.022462    0.0070339      0.86716 Gad1Gad2_Htr3a_Ibsp.1_22
Gad1Gad2_Htr3a_Krt73.1_23            COVAR   15085    0.0021528    0.0060476    0.0083881      0.39872 Gad1Gad2_Htr3a_Krt73.1_23
Gad1Gad2Slc17a8_Htr3a_Ktcd12...      COVAR   15085    0.0027333    0.0077078    0.0081451       0.3686 Gad1Gad2Slc17a8_Htr3a_Ktcd12.1_24
Gad1Gad2_Htr3a_Chrm2.1_25            COVAR   15085    0.0021726    0.0063349    0.0061721      0.36242 Gad1Gad2_Htr3a_Chrm2.1_25
Gad1Gad2_Htr3a_Htr1b.1_26            COVAR   15085    0.0024105    0.0068576    0.0076676      0.37662 Gad1Gad2_Htr3a_Htr1b.1_26
Gad1Gad2_Htr3a_Sema3c.1_27           COVAR   15085    0.0033605    0.0098272    0.0062608      0.29572 Gad1Gad2_Htr3a_Sema3c.1_27
Neuron_Gad1Gad2_Sst_Atp2b4.1...      COVAR   15085    0.0064755     0.019513    0.0046367     0.081283 Neuron_Gad1Gad2_Sst_Atp2b4.1_3
Neuron_Gad1Gad2Slc17a8_Sst_N...      COVAR   15085     0.015794     0.044183    0.0077219     0.020422 Neuron_Gad1Gad2Slc17a8_Sst_Ncam2.1_4
Neuron_Gad1Gad2_Sst_Spon1.1_5        COVAR   15085     0.016835     0.047387    0.0069348    0.0076068 Neuron_Gad1Gad2_Sst_Spon1.1_5
Neuron_Gad1Gad2_Pvalb_Tac1.1...      COVAR   15085     0.022331     0.062024    0.0076886    0.0018428 Neuron_Gad1Gad2_Pvalb_Tac1.1_6
Neuron_Gad1Gad2_Pvalb_Gfra1....      COVAR   15085     0.011546     0.032581    0.0066459      0.04118 Neuron_Gad1Gad2_Pvalb_Gfra1.1_7
Neuron_Gad1Gad2_Sst_Rbp4.1_8         COVAR   15085    0.0071275     0.020192    0.0072358      0.16231 Neuron_Gad1Gad2_Sst_Rbp4.1_8
Neuron_Gad1Gad2_Sst_Grm1.1_9         COVAR   15085     0.011566     0.032643    0.0071216     0.052197 Neuron_Gad1Gad2_Sst_Grm1.1_9
Microglia_C1qb_Tmem119.10_1          COVAR   15085   -0.0018966    -0.005111    0.0044645      0.66451 Microglia_C1qb_Tmem119.10_1
Macrophage_C1qb_Mrc1.10_2            COVAR   15085  -0.00093178   -0.0027412    0.0033114      0.61079 Macrophage_C1qb_Mrc1.10_2
Ependymal_Ccdc153.11_1               COVAR   15085   -0.0040313    -0.010608    0.0041667      0.83335 Ependymal_Ccdc153.11_1
Choroid_Plexus_Ttr.12_1              COVAR   15085   -0.0067273    -0.018099    0.0039954      0.95388 Choroid_Plexus_Ttr.12_1
Neurogenesis_Sox4_Efhd2.13_1         COVAR   15085   -0.0099721    -0.029123     0.004026      0.99337 Neurogenesis_Sox4_Efhd2.13_1
Neurogenesis_Sox4_Hist1h2al....      COVAR   15085   -0.0096657    -0.027828    0.0041906      0.98945 Neurogenesis_Sox4_Hist1h2al.13_2
Neurogenesis_Sox4_Cdc20.13_3         COVAR   15085   -0.0043694    -0.012973    0.0036067      0.88713 Neurogenesis_Sox4_Cdc20.13_3
Neurogenesis_Sox4_Gad2.13_4          COVAR   15085   -0.0063309    -0.020101    0.0030902      0.97974 Neurogenesis_Sox4_Gad2.13_4
Neurogenesis_Sox4_Gabra5.13_5        COVAR   15085    0.0025783    0.0073841    0.0058685      0.33021 Neurogenesis_Sox4_Gabra5.13_5
Neurogenesis_Sox4_Ppp2r2b.13...      COVAR   15085   -0.0039972    -0.011824    0.0044426      0.81586 Neurogenesis_Sox4_Ppp2r2b.13_6
Neuron_Slc17a6_Lhx1.14_1             COVAR   15085    -0.015864    -0.044277     0.006745      0.99066 Neuron_Slc17a6_Lhx1.14_1
Endothelial_Stalk_Flt1_Cdkn2...      COVAR   15085    -0.010495    -0.028354    0.0043645       0.9919 Endothelial_Stalk_Flt1_Cdkn2b.15_1
Endothelial_Stalk_Flt1_Lcn2....      COVAR   15085    -0.006873     -0.01944    0.0037716      0.96579 Endothelial_Stalk_Flt1_Lcn2.15_2
Mural_Rgs5Acta2_Cnn1.16_1            COVAR   15085    -0.015501    -0.041789     0.004395      0.99979 Mural_Rgs5Acta2_Cnn1.16_1
Mural_Rgs5Acta2_Ccnd1.16_2           COVAR   15085    -0.015285    -0.042493    0.0041134       0.9999 Mural_Rgs5Acta2_Ccnd1.16_2
Mural_Rgs5Acta2_Kcnj8.16_3           COVAR   15085    -0.013227    -0.038578     0.003716      0.99981 Mural_Rgs5Acta2_Kcnj8.16_3
Mural_Rgs5Acta2_Col3a1.16_4          COVAR   15085   -0.0068095    -0.021236    0.0028737      0.99109 Mural_Rgs5Acta2_Col3a1.16_4
Endothelial_Tip_Dcn_Rbp4.17_1        COVAR   15085    -0.015718    -0.043008    0.0041078      0.99993 Endothelial_Tip_Dcn_Rbp4.17_1
Endothelial_Tip_Dcn_Agt.17_2         COVAR   15085    -0.004479    -0.013328    0.0029844      0.93328 Endothelial_Tip_Dcn_Agt.17_2
Endothelial_Tip_Dcn_Mgp.17_3         COVAR   15085   -0.0096073    -0.027705     0.003619      0.99603 Endothelial_Tip_Dcn_Mgp.17_3
Endothelial_Tip_Dcn_Il33.17_4        COVAR   15085   -0.0069422    -0.020375    0.0033966      0.97951 Endothelial_Tip_Dcn_Il33.17_4
Neuron_Slc17a7_Cbln4.2_1             COVAR   15085     0.010515     0.029863    0.0080056     0.094529 Neuron_Slc17a7_Cbln4.2_1
Neuron_Slc17a6_Htr1a.2_2             COVAR   15085    0.0031041    0.0088376    0.0075852      0.34119 Neuron_Slc17a6_Htr1a.2_2
Neuron_Slc17a6_Nts.2_3               COVAR   15085    0.0073665       0.0212    0.0069809      0.14567 Neuron_Slc17a6_Nts.2_3
Neuron_Slc17a6_Nnat.2_4              COVAR   15085    0.0054486     0.015639     0.007517      0.23428 Neuron_Slc17a6_Nnat.2_4
