# MEAN_SAMPLE_SIZE = 68990
# TOTAL_GENES = 15085
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Slc17a7_Syt6-Cplx3.1_1        COVAR   15085     0.012255     0.034374    0.0086542      0.07838 Neuron_Slc17a7_Syt6-Cplx3.1_1
Neuron_Slc17a7-Slc17a8_Syt6-...      COVAR   15085    0.0025162    0.0074865    0.0053312      0.31847 Neuron_Slc17a7-Slc17a8_Syt6-Lancl3.1_2
Neuron_Slc17a7_Syt6-Tshz2-Nr...      COVAR   15085     0.030537     0.085094    0.0098849    0.0010052 Neuron_Slc17a7_Syt6-Tshz2-Nrep.1_3
Neuron_Slc17a7_Syt6-Sla.1_4          COVAR   15085     0.041958      0.11628     0.010616   3.8901e-05 Neuron_Slc17a7_Syt6-Sla.1_4
Neuron_Slc17a7_Syt6-Nnat.1_5         COVAR   15085     0.017269     0.049089    0.0079684      0.01512 Neuron_Slc17a7_Syt6-Nnat.1_5
Neuron_Slc17a7_Syt6-Slc24a2....      COVAR   15085     0.012576     0.036394    0.0057847     0.014861 Neuron_Slc17a7_Syt6-Slc24a2.1_6
Neuron_Slc17a7_Syt6-Tox.1_7          COVAR   15085     0.036739      0.10269     0.010108   0.00013958 Neuron_Slc17a7_Syt6-Tox.1_7
Neuron_Slc17a7_Syt6-Nefm.1_8         COVAR   15085     0.038695      0.10724     0.010459   0.00010837 Neuron_Slc17a7_Syt6-Nefm.1_8
Neuron_Slc17a7_Syt6-Fos.1_9          COVAR   15085      0.03024     0.084512    0.0097564   0.00097117 Neuron_Slc17a7_Syt6-Fos.1_9
Polydendrocyte_Tnr_Cspg5.10_1        COVAR   15085   -0.0027655   -0.0076457    0.0059017      0.68031 Polydendrocyte_Tnr_Cspg5.10_1
Polydendrocyte_Tnr_Dlx1.10_2         COVAR   15085    -0.006269     -0.01887    0.0036572      0.95674 Polydendrocyte_Tnr_Dlx1.10_2
