Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	15085	0.026089	0.069647	0.0075976	0.00029836	0.006319872	0.00443614210526316
DropViz_TH_level2	Neuron_Slc17a6_Rora_Calca.2_3	15085	0.02588	0.069708	0.0076081	0.00033586	0.006319872	0.00457361489361702
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	15085	0.02371	0.064445	0.007097	0.0004187	0.006319872	0.00473131
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cbln2.2_8	15085	0.024632	0.065958	0.0075839	0.00058257	0.006319872	0.00621041603773585
DropViz_TH_level2	Neuron_Slc17a6_Rora_Lrrtm2.2_9	15085	0.020544	0.054903	0.006394	0.00065832	0.006319872	0.00676274181818182
DropViz_TH_level2	Neuron_Slc17a6_Rora_Atp2b4.2_1	15085	0.02295	0.061529	0.0075029	0.0011132	0.0089056	0.00911533333333333
DropViz_TH_level2	Neuron_Slc17a6_Rora_Fgf10.2_6	15085	0.022072	0.058885	0.007363	0.0013625	0.00901226666666667	0.0105453767123288
DropViz_TH_level2	Neuron_Slc17a6_Rora_Nrp2.2_4	15085	0.022872	0.061763	0.0078009	0.0016867	0.00901226666666667	0.0120852784810127
DropViz_TH_level2	Neuron_Slc17a6_Rora_Pvalb.2_11	15085	0.022015	0.059256	0.0075099	0.0016898	0.00901226666666667	0.0120852784810127
DropViz_TH_level2	Neuron_Slc17a6_Rora_Nptxr.2_2	15085	0.021836	0.058197	0.0078384	0.0026736	0.01283328	0.0173630344827586
DropViz_TH_level2	Neuron_Slc17a6_Nrgn.3_9	15085	0.017598	0.046732	0.0067792	0.004722	0.0206050909090909	0.0244764220183486
DropViz_TH_level2	Neuron_Slc17a6_Ebf1.3_10	15085	0.01679	0.045301	0.0069296	0.0077048	0.0299276307692308	0.0334862461538462
DropViz_TH_level2	Neuron_Slc17a6-Gad1Gad2_Asb4.3_7	15085	0.016224	0.044729	0.0067474	0.0081054	0.0299276307692308	0.0341757537313433
DropViz_TH_level2	Neuron_Slc17a6_Pitx2.3_4	15085	0.014717	0.041061	0.0066768	0.013765	0.0471942857142857	0.0529062925170068
DropViz_TH_level2	Neuron_Slc17a6_Rora_C1ql2.2_5	15085	0.013881	0.037819	0.0066538	0.018488	0.057027	0.064880248447205
DropViz_TH_level2	Neuron_Gad1Gad2_Col25a1.3_8	15085	0.016401	0.042886	0.0079049	0.019009	0.057027	0.0650914242424242
DropViz_TH_level2	Neuron_Slc17a6_Rora_Lypd6.2_7	15085	0.014067	0.037663	0.0070245	0.022623	0.0638767058823529	0.0743139244186047
DropViz_TH_level2	Neuron_Gad1Gad2_Six3-Sst.3_2	15085	0.012573	0.034757	0.0070916	0.038125	0.101666666666667	0.110665051020408
DropViz_TH_level2	Neuron_Gad1Gad2_Ttn.3_11	15085	0.0086186	0.024322	0.0055395	0.059884	0.1504008	0.159596509433962
DropViz_TH_level2	Neuron_Gad1Gad2_Chrnb3.3_5	15085	0.010058	0.028435	0.0065618	0.062667	0.1504008	0.164683046511628
DropViz_TH_level2	Neuron_Slc17a7_Tac2_Wif1.1_3	15085	0.008445	0.023751	0.0061692	0.085527	0.195490285714286	0.207393798283262
DropViz_TH_level2	Neuron_Gad1Gad2_Six3-Adcy1.3_1	15085	0.0088881	0.023309	0.0069947	0.10193	0.222392727272727	0.238964522821577
DropViz_TH_level2	Neuron_Slc17a7_Tac2_Syt15.1_2	15085	0.0064663	0.018382	0.0059006	0.13657	0.2774	0.3014142578125
DropViz_TH_level2	Neuron_Gad1Gad2_Pou6f2-Pax6.3_3	15085	0.008544	0.022824	0.0078657	0.1387	0.2774	0.304924124513619
DropViz_TH_level2	Neuron_Slc17a7_Tac2_Chat.1_1	15085	0.0046741	0.013476	0.0056121	0.20247	0.3887424	0.415983818181818
DropViz_TH_level2	Neuron_Slc17a7_Tac2_Htr2c.1_4	15085	0.0010327	0.0032318	0.003826	0.39361	0.726664615384615	0.697146238244514
DropViz_TH_level2	Macrophage_C1qb_Mrc1.7_1	15085	-6.6282e-05	-0.00019088	0.0037021	0.50714	0.901582222222222	0.848569822485207
DropViz_TH_level2	Oligodendrocyte_Trf_Klk6.8_1	15085	-0.0014763	-0.0039393	0.0054814	0.60616	0.99993	0.962023595505618
DropViz_TH_level2	Oligodendrocyte_Trf_Ndrg2.9_1	15085	-0.0018915	-0.0048303	0.0049743	0.64812	0.99993	1
DropViz_TH_level2	Oligodendrocyte_Trf_Ctps.8_3	15085	-0.0023646	-0.0063008	0.0058047	0.65812	0.99993	1
DropViz_TH_level2	Oligodendrocyte_Trf_Il33.8_2	15085	-0.0026862	-0.0070554	0.0063077	0.66489	0.99993	1
DropViz_TH_level2	Polydendrocyte_Tnr_Pdgfa.12_1	15085	-0.0023887	-0.0067814	0.004783	0.69125	0.99993	1
DropViz_TH_level2	Oligodendrocyte_Trf_Ndrg2.8_4	15085	-0.0041318	-0.01092	0.0059742	0.7554	0.99993	1
DropViz_TH_level2	Ependymal_Ccdc153.10_1	15085	-0.004259	-0.011252	0.0042966	0.83921	0.99993	1
DropViz_TH_level2	Polydendrocyte_Tnr_Cspg5.12_4	15085	-0.0046944	-0.014079	0.004238	0.86599	0.99993	1
DropViz_TH_level2	Polydendrocyte_Tnr_Bmp4.12_3	15085	-0.0062581	-0.017578	0.0054419	0.87491	0.99993	1
DropViz_TH_level2	Microglia_C1qb_Tmem119.7_2	15085	-0.0063403	-0.017816	0.004473	0.92182	0.99993	1
DropViz_TH_level2	Astrocyte_Gja1_Vegfa.11_2	15085	-0.0095151	-0.023759	0.0059539	0.94498	0.99993	1
DropViz_TH_level2	Endothelial_Stalk_Flt1_Vwf.4_4	15085	-0.0077186	-0.021474	0.0043515	0.96194	0.99993	1
DropViz_TH_level2	Endothelial_Stalk_Flt1_Car4.4_3	15085	-0.010698	-0.029019	0.0047878	0.98726	0.99993	1
DropViz_TH_level2	Polydendrocyte_Tnr_Ctps.12_2	15085	-0.010866	-0.030171	0.004847	0.98751	0.99993	1
DropViz_TH_level2	Endothelial_Stalk_Flt1_Pi16.4_2	15085	-0.0068452	-0.021533	0.0028085	0.9926	0.99993	1
DropViz_TH_level2	Endothelial_Tip_Dcn.6_1	15085	-0.010745	-0.029995	0.0041704	0.99501	0.99993	1
DropViz_TH_level2	Endothelial_Tip_Dcn_Nenf.6_2	15085	-0.010472	-0.029775	0.0038048	0.99704	0.99993	1
DropViz_TH_level2	Endothelial_Stalk_Flt1_Gkn3.4_1	15085	-0.012913	-0.035096	0.0046735	0.99713	0.99993	1
DropViz_TH_level2	Astrocyte_Gja1_Myoc.11_1	15085	-0.012138	-0.034816	0.0040835	0.99852	0.99993	1
DropViz_TH_level2	Mural_Rgs5Acta2_Cnn1.5_1	15085	-0.0176	-0.047092	0.0046585	0.99992	0.99993	1
DropViz_TH_level2	Mural_Rgs5Acta2_Car4.5_2	15085	-0.018835	-0.050243	0.0049395	0.99993	0.99993	1
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	15085	0.037856	0.10651	0.0070473	3.9633e-08	2.060916e-06	2.2392645e-05
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Nefm.10_4	15085	0.037733	0.10499	0.007807	6.7884e-07	1.764984e-05	0.0001278482
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Nefm.11_1	15085	0.036129	0.10033	0.0078719	2.2397e-06	3.88214666666667e-05	0.000316357625
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Lypd1.10_2	15085	0.036466	0.10157	0.008059	3.0466e-06	3.96058e-05	0.0003442658
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Nnat.11_2	15085	0.036603	0.10167	0.0083003	5.212e-06	5.42048e-05	0.000490796666666667
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Fos.11_3	15085	0.032717	0.091868	0.0075172	6.7832e-06	5.87877333333333e-05	0.00052377195
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Otof-Sorcs1.13_2	15085	0.029548	0.083092	0.0068765	8.7167e-06	6.47526285714286e-05	0.00052377195
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Fos.10_1	15085	0.030562	0.085628	0.0075598	2.6553e-05	0.0001725945	0.00115403423076923
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Otof.13_4	15085	0.025142	0.071125	0.0066938	8.6688e-05	0.000500864	0.002448936
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Otof-Lmo2.13_3	15085	0.02402	0.068282	0.0067664	0.00019336	0.001005472	0.00321318823529412
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Tpbg.13_1	15085	0.025073	0.070592	0.0074364	0.00037469	0.00164866	0.00457361489361702
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Pde1a.10_3	15085	0.026643	0.074612	0.0079121	0.00038046	0.00164866	0.00457361489361702
DropViz_STR_level2	Neuron_Gad1Gad2_Pvalb-Rgs12.14_3	15085	0.01216	0.034696	0.0058426	0.018716	0.074864	0.0650914242424242
DropViz_STR_level2	Neuron_Gad1Gad2-Th_Trh.14_4	15085	0.0094303	0.026907	0.0058038	0.052108	0.1857128	0.142470072463768
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Nfib.13_10	15085	0.0076556	0.023111	0.0047512	0.053571	0.1857128	0.1441315
DropViz_STR_level2	Neuron_Gad1Gad2_Pvalb_Pvalb-Megf11.14_1	15085	0.0099866	0.027762	0.0067575	0.069733	0.22663225	0.179904771689498
DropViz_STR_level2	Neuron_Gad1Gad2_Resp18.13_9	15085	0.0089652	0.025398	0.0066317	0.088221	0.269852470588235	0.211207055084746
DropViz_STR_level2	Neuron_Slc17a7_Dkk3.13_8	15085	0.0044917	0.01398	0.0038823	0.12365	0.357211111111111	0.279449
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Th.13_5	15085	0.006617	0.019389	0.0059272	0.13214	0.361646315789474	0.293933464566929
DropViz_STR_level2	Neuron_Gad1Gad2_Chodl.15_1	15085	0.0070077	0.019168	0.0069527	0.15676	0.407576	0.338051145038168
DropViz_STR_level2	Neuron_Slc17a6_Oprk1.13_6	15085	0.0030218	0.0097621	0.0032076	0.17308	0.428579047619048	0.364888805970149
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	15085	0.0055559	0.015486	0.0062514	0.18707	0.442165454545455	0.387159523809524
DropViz_STR_level2	Macrophage_C1qb_Mrc1.6_1	15085	0.0021057	0.0064233	0.003014	0.24239	0.548012173913043	0.475515689655172
DropViz_STR_level2	Neuron_Gad1Gad2_Sgol2a.13_11	15085	0.0017177	0.0053514	0.0027326	0.26481	0.573755	0.508903571428571
DropViz_STR_level2	Neuron_Gad1Gad2_Pnoc.14_2	15085	0.002212	0.0068285	0.0040283	0.29147	0.6062576	0.554479966329966
DropViz_STR_level2	Microglia_C1qb_Tmem119.6_2	15085	0.00097749	0.0026247	0.0048996	0.42093	0.84186	0.731770615384615
DropViz_STR_level2	Oligodendrocyte_Trf_Il33.3_2	15085	-0.0012117	-0.0032012	0.0062826	0.57647	0.99998	0.930587285714286
