Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	Marginal.P	PS
DropViz_CB_level2	Neuron_Slc17a7_Gabra6.1_1	1	15085	0.020975	0.059077	0.0064476	0.00057185	3.6591e-05	0.730897325611267
DropViz_CB_level2	Neuron_Gad1Gad2_Pcp2.2_1	1	15085	0.0082093	0.023365	0.0050458	0.051884	0.0026215	0.497769269469284
DropViz_CB_level2	Neuron_Slc17a7_Gabra6.1_1	2	15085	0.021607	0.060857	0.0070101	0.001029	3.6591e-05	0.673391178972897
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Rab3b.3_2	2	15085	0.004499	0.013082	0.0057595	0.21736	0.0044588	0.281957396501741
DropViz_CB_level2	Neuron_Slc17a7_Gabra6.1_1	3	15085	0.021927	0.061757	0.0067293	0.00056152	3.6591e-05	0.732681766431224
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Cadm1.3_3	3	15085	0.0040482	0.012105	0.0048182	0.20041	0.0079267	0.33227573608087
DropViz_CB_level2	Neuron_Slc17a7_Gabra6.1_1	4	15085	0.020059	0.056496	0.0063726	0.00082459	3.6591e-05	0.695069210228239
DropViz_CB_level2	Neuron_Slc17a6_Nrgn.4_3	4	15085	0.00888	0.027529	0.0037456	0.0088817	0.00035907	0.595532822370981
DropViz_CB_level2	Neuron_Gad1Gad2_Pcp2.2_1	5	15085	0.009983	0.028414	0.0052154	0.027812	0.0026215	0.602672023919759
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Rab3b.3_2	5	15085	0.0090125	0.026206	0.0054754	0.049894	0.0044588	0.553837690230617
DropViz_CB_level2	Neuron_Gad1Gad2_Pcp2.2_1	6	15085	0.010634	0.030266	0.0051141	0.018803	0.0026215	0.668528447860915
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Cadm1.3_3	6	15085	0.0071706	0.021442	0.004679	0.062709	0.0079267	0.572452656764275
DropViz_CB_level2	Neuron_Slc17a6_Nrgn.4_3	7	15085	0.01042	0.032304	0.0036951	0.002404	0.00035907	0.760290775397564
DropViz_CB_level2	Neuron_Gad1Gad2_Pcp2.2_1	7	15085	0.010206	0.029048	0.0049199	0.019029	0.0026215	0.666518407072183
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Rab3b.3_2	8	15085	0.0091205	0.02652	0.0066432	0.084902	0.0044588	0.455627989200858
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Cadm1.3_3	8	15085	0.0053833	0.016098	0.0057895	0.17624	0.0079267	0.358842779997469
DropViz_CB_level2	Neuron_Slc17a6_Nrgn.4_3	9	15085	0.010287	0.03189	0.0037666	0.0031599	0.00035907	0.72582196561941
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Rab3b.3_2	9	15085	0.0088962	0.025868	0.005265	0.045555	0.0044588	0.570645829652114
DropViz_CB_level2	Neuron_Slc17a6_Nrgn.4_3	10	15085	0.010569	0.032766	0.0037478	0.0024034	0.00035907	0.760322244811559
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Cadm1.3_3	10	15085	0.006967	0.020833	0.0045655	0.063514	0.0079267	0.569815896593261
DropViz_ENT_level2	Neuron_Gad1Gad2_Six3-Pvalb.4_2	11	15085	0.0089109	0.025505	0.0059611	0.06749	0.0038255	0.484323360730642
DropViz_ENT_level2	Neuron_Gad1Gad2-Slc17a6_Cbln1.4_3	11	15085	0.007948	0.022939	0.0055635	0.076571	0.0042624	0.470790246117654
DropViz_ENT_level2	Neuron_Gad1Gad2_Six3-Pvalb.4_2	12	15085	0.0094664	0.027095	0.0065813	0.075174	0.0038255	0.464951332843456
DropViz_ENT_level2	Neuron_Gad1Gad2_Dlk1.4_4	12	15085	0.0069793	0.019011	0.0074046	0.17296	0.0074301	0.357939131794734
