Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	CDM.BETA	CDM.BETA_STD	CDM.SE	CDM.P	CDM.ds	Marginal.P	PS	PS.avg
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	1	15085	0.011576	0.030902	0.0093503	0.10787	0.030813	0.082259	0.0080558	6.5664e-05	DropViz_STR_level2	0.00029836	0.231215636189823	1.18648649328805
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	1	15085	0.033215	0.093456	0.0082085	2.6139e-05	0.038382	0.10799	0.0070684	2.8618e-08	DropViz_TH_level2	3.9633e-08	0.607515827620008	1.01910547905201
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	2	15085	0.012091	0.032864	0.0075438	0.054502	0.023798	0.064684	0.0070987	0.00040159	DropViz_STR_level2	0.0004187	0.372057356652669	1.0053639877081
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	2	15085	0.034284	0.096462	0.0075164	2.5649e-06	0.038382	0.10799	0.0070684	2.8618e-08	DropViz_TH_level2	3.9633e-08	0.741172239997817	1.01910547905201
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00029836	NA	NA
DropViz_SN_level2	Neuron_Slc17a6.2_1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5379e-05	NA	NA
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00029836	NA	NA
DropViz_SN_level2	Neuron_Gad1Gad2_Gad2.3_3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00010035	NA	NA
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00029836	NA	NA
DropViz_SN_level2	Neuron_Th_Cbln1.4_2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00017627	NA	NA
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004187	NA	NA
DropViz_SN_level2	Neuron_Slc17a6.2_1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5379e-05	NA	NA
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004187	NA	NA
DropViz_SN_level2	Neuron_Gad1Gad2_Gad2.3_3	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00010035	NA	NA
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004187	NA	NA
DropViz_SN_level2	Neuron_Th_Cbln1.4_2	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00017627	NA	NA
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	9	15085	0.016078	0.042922	0.0081702	0.02455	0.024275	0.064804	0.0077015	0.00081247	DropViz_PC_level2	0.00029836	0.520986448898445	0.876585894587273
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Sla.1_4	9	15085	0.037805	0.10477	0.012608	0.0013585	0.046106	0.12778	0.011882	5.2406e-05	DropViz_TH_level2	3.8901e-05	0.669749016585324	0.970653266316238
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	10	15085	0.015189	0.040547	0.0086108	0.038885	0.024275	0.064804	0.0077015	0.00081247	DropViz_PC_level2	0.00029836	0.456352742068104	0.876585894587273
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Rorb-Pcdh20.2_10	10	15085	0.031595	0.087232	0.013401	0.0091991	0.042175	0.11644	0.011984	0.00021717	DropViz_TH_level2	0.00014405	0.555867702094966	0.953589174993974
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	11	15085	0.017789	0.047488	0.0083964	0.01707	0.024275	0.064804	0.0077015	0.00081247	DropViz_PC_level2	0.00029836	0.572057042998879	0.876585894587273
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	11	15085	0.016478	0.044978	0.008501	0.026301	0.023656	0.064571	0.0077976	0.00121	DropViz_TH_level2	0.0017772	0.541622039958505	1.06070360981375
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	12	15085	0.021707	0.057948	0.0077953	0.0026834	0.024275	0.064804	0.0077015	0.00081247	DropViz_PC_level2	0.00029836	0.832088760270705	0.876585894587273
DropViz_PC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.4_8	12	15085	0.016785	0.046812	0.0079202	0.017041	0.020214	0.056375	0.0078258	0.0049022	DropViz_TH_level2	0.0048746	0.765716163720926	0.998939456416858
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	13	15085	0.01617	0.043951	0.0077355	0.018302	0.021417	0.058211	0.0075813	0.0023679	DropViz_PC_level2	0.0004187	0.661744820618984	0.777253173037233
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Sla.1_4	13	15085	0.041024	0.11369	0.012127	0.00035967	0.046106	0.12778	0.011882	5.2406e-05	DropViz_TH_level2	3.8901e-05	0.80457891607518	0.970653266316238
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	14	15085	0.016772	0.045587	0.0077338	0.015063	0.021417	0.058211	0.0075813	0.0023679	DropViz_PC_level2	0.0004187	0.693960654886526	0.777253173037233
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Rorb-Pcdh20.2_10	14	15085	0.036897	0.10187	0.012227	0.0012763	0.042175	0.11644	0.011984	0.00021717	DropViz_TH_level2	0.00014405	0.790032511881018	0.953589174993974
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	15	15085	0.015146	0.041168	0.0081124	0.030959	0.021417	0.058211	0.0075813	0.0023679	DropViz_PC_level2	0.0004187	0.574798908348806	0.777253173037233
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	15	15085	0.018106	0.049423	0.0083443	0.015015	0.023656	0.064571	0.0077976	0.00121	DropViz_TH_level2	0.0017772	0.625073878661717	1.06070360981375
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	16	15085	0.016598	0.045113	0.0080918	0.020134	0.021417	0.058211	0.0075813	0.0023679	DropViz_PC_level2	0.0004187	0.645965214031248	0.777253173037233
DropViz_PC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.4_8	16	15085	0.014222	0.039664	0.0083523	0.044315	0.020214	0.056375	0.0078258	0.0049022	DropViz_TH_level2	0.0048746	0.586007961251321	0.998939456416858
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	17	15085	0.022243	0.05938	0.0076692	0.0018668	0.02549	0.068047	0.007601	0.00040004	DropViz_HC_level2	0.00029836	0.803115145625296	0.96387136218401
DropViz_HC_level2	Neuron_Slc17a7_C1ql2-Penk.4_2	17	15085	0.029576	0.082159	0.0094547	0.00088117	0.033287	0.092469	0.0093701	0.00019143	DropViz_TH_level2	5.9552e-05	0.821664473697947	0.879976045542576
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	18	15085	0.017458	0.046606	0.0085176	0.020208	0.02549	0.068047	0.007601	0.00040004	DropViz_HC_level2	0.00029836	0.498684002352124	0.96387136218401
DropViz_HC_level2	Neuron_Slc17a7_Pvrl3-Grm5.6_2	18	15085	0.016588	0.045593	0.0079421	0.018378	0.023938	0.065792	0.0070874	0.00036674	DropViz_TH_level2	0.00013564	0.505204527886067	0.888310803902751
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	19	15085	0.020994	0.056045	0.0080232	0.0044442	0.02549	0.068047	0.007601	0.00040004	DropViz_HC_level2	0.00029836	0.692253677714625	0.96387136218401
DropViz_HC_level2	Neuron_Slc17a7_Nxph3-Sema3c.3_10	19	15085	0.018072	0.050785	0.010331	0.040124	0.026731	0.075117	0.0097885	0.0031621	DropViz_TH_level2	0.0010061	0.558632859088218	0.834075772736921
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	20	15085	0.019581	0.052272	0.0081824	0.0083616	0.02549	0.068047	0.007601	0.00040004	DropViz_HC_level2	0.00029836	0.611469643699297	0.96387136218401
DropViz_HC_level2	Neuron_Gad1Gad2_Pvalb_Tac1.1_6	20	15085	0.0162	0.044996	0.0083099	0.02563	0.023567	0.065457	0.00772	0.0011361	DropViz_TH_level2	0.0018428	0.540399491525211	1.07681841995745
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	21	15085	0.019678	0.053485	0.0075713	0.0046801	0.020243	0.05502	0.0075726	0.0037616	DropViz_HC_level2	0.0004187	0.960867174291704	0.717749478522623
