Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj	cond_state	cond_cell_type	step3
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cacng4.2_10	15085	0.026089	0.069647	0.0075976	0.00029836	0.006319872	0.00443614210526316	joint;colinear;partial-joint;joint;partial-joint;partial-joint;colinear;joint;main;partial-joint;partial-joint;main	Neuron_Slc17a6_Rora_Atp2b4.2_1;Neuron_Slc17a6_Rora_Pvalb.2_11;Neuron_Slc17a6_Rora_Nptxr.2_2;Neuron_Slc17a6_Rora_Calca.2_3;Neuron_Slc17a6_Rora_Nrp2.2_4;Neuron_Slc17a6_Rora_Fgf10.2_6;Neuron_Slc17a6_Rora_Cbln2.2_8;Neuron_Slc17a6_Rora_Lrrtm2.2_9;Neuron_Slc17a6_Ebf1.3_10;Neuron_Gad1Gad2_Gata3.3_6;Neuron_Slc17a6-Gad1Gad2_Asb4.3_7;Neuron_Slc17a6_Nrgn.3_9	1
DropViz_TH_level2	Neuron_Slc17a6_Rora_Calca.2_3	15085	0.02588	0.069708	0.0076081	0.00033586	0.006319872	0.00457361489361702	joint-drop	Neuron_Slc17a6_Rora_Cacng4.2_10	0
DropViz_TH_level2	Neuron_Gad1Gad2_Gata3.3_6	15085	0.02371	0.064445	0.007097	0.0004187	0.006319872	0.00473131	partial-joint;main	Neuron_Slc17a6_Rora_Cacng4.2_10;Neuron_Slc17a6-Gad1Gad2_Asb4.3_7	1
DropViz_TH_level2	Neuron_Slc17a6_Rora_Cbln2.2_8	15085	0.024632	0.065958	0.0075839	0.00058257	0.006319872	0.00621041603773585	colinear-drop	Neuron_Slc17a6_Rora_Cacng4.2_10	0
DropViz_TH_level2	Neuron_Slc17a6_Rora_Lrrtm2.2_9	15085	0.020544	0.054903	0.006394	0.00065832	0.006319872	0.00676274181818182	joint-drop	Neuron_Slc17a6_Rora_Cacng4.2_10	0
DropViz_TH_level2	Neuron_Slc17a6_Rora_Atp2b4.2_1	15085	0.02295	0.061529	0.0075029	0.0011132	0.0089056	0.00911533333333333	joint-drop	Neuron_Slc17a6_Rora_Cacng4.2_10	0
DropViz_TH_level2	Neuron_Slc17a6_Rora_Fgf10.2_6	15085	0.022072	0.058885	0.007363	0.0013625	0.00901226666666667	0.0105453767123288	joint-drop	Neuron_Slc17a6_Rora_Cacng4.2_10	0
DropViz_TH_level2	Neuron_Slc17a6_Rora_Nrp2.2_4	15085	0.022872	0.061763	0.0078009	0.0016867	0.00901226666666667	0.0120852784810127	joint-drop	Neuron_Slc17a6_Rora_Cacng4.2_10	0
DropViz_TH_level2	Neuron_Slc17a6_Rora_Pvalb.2_11	15085	0.022015	0.059256	0.0075099	0.0016898	0.00901226666666667	0.0120852784810127	colinear-drop	Neuron_Slc17a6_Rora_Cacng4.2_10	0
DropViz_TH_level2	Neuron_Slc17a6_Rora_Nptxr.2_2	15085	0.021836	0.058197	0.0078384	0.0026736	0.01283328	0.0173630344827586	joint-drop	Neuron_Slc17a6_Rora_Cacng4.2_10	0
