annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	4	0.00701754385964912	0.75275360805188	0.825430052977033
UTR5	71546	0.00285251910856087	0	0	0	0.419492178393982
downstream	284177	0.0113300579027968	7	0.012280701754386	1.08390458899195	0.694083128284888
exonic	254736	0.0101562534263042	0	0	0	0.00548429539526224
intergenic	11684523	0.465858680176655	286	0.501754385964912	1.07705277869814	0.0929962413543454
intronic	9137749	0.364319509570527	120	0.210526315789474	0.577861767649088	2.5824985920647e-15
ncRNA_exonic	259951	0.0103641740249561	2	0.00350877192982456	0.338548148784044	0.141907869931947
ncRNA_intronic	2884355	0.114998431126451	148	0.259649122807018	2.2578492616261	1.51655055118497e-21
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	1	0.00175438596491228	15.548750852396	0.0622934320407571
upstream	266686	0.0106326966005879	2	0.00350877192982456	0.329998311964488	0.10266241167936
