# MEAN_SAMPLE_SIZE = 68133
# TOTAL_GENES = 18909
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      23     -0.27602   -0.0096208      0.19038      0.92643 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      41     -0.17138   -0.0079716      0.14162      0.88687 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7   -0.0012604  -2.4247e-05      0.35335      0.50142 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13      0.25119    0.0065841      0.25931      0.16636 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16     -0.13578    -0.003948      0.18513      0.76834 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13    -0.017685  -0.00046356      0.27312      0.52581 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41    0.0035373   0.00016454      0.13386      0.48946 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18    -0.063063   -0.0019448      0.19013      0.62993 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      32     0.051857    0.0021315      0.14876       0.3637 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28     0.049537    0.0019049      0.16305      0.38064 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20      0.14321     0.004655      0.18139      0.21491 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26     0.035468    0.0013143       0.1783      0.42116 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      42      0.10975    0.0051667      0.10701      0.15254 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     520      0.04278    0.0069963     0.037476      0.12683 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     908   -0.0095012   -0.0020315     0.027701       0.6342 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     158     0.099097    0.0090208     0.071226     0.082077 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     243     0.025749    0.0029002     0.061728      0.33829 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      95     -0.05937   -0.0041977     0.090311      0.74453 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     120     0.086636      0.00688     0.084698      0.15319 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     262     0.054206    0.0063364     0.049981      0.13907 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     811     0.053258     0.010791     0.028734     0.031916 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     717     0.037182     0.007102     0.034935       0.1436 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     339     -0.02825   -0.0037485     0.043876      0.74016 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     161    -0.051423   -0.0047249     0.063363      0.79147 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET     110    -0.068453   -0.0052059     0.079371      0.80577 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      81   -0.0013888  -9.0705e-05     0.090301      0.50614 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      72      -0.1386   -0.0085364       0.1007      0.91563 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     239     0.059601    0.0066584     0.054907      0.13886 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     187    -0.044812   -0.0044344     0.062125      0.76464 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10     -0.52586     -0.01209      0.30709      0.95658 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     231    -0.058762   -0.0064552     0.060191      0.83553 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     294     -0.14182    -0.017547     0.051772      0.99692 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      33    -0.045875   -0.0019148      0.15883      0.61364 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      28   -0.0062899  -0.00024187      0.16017      0.51566 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      38      0.08678    0.0038865      0.14065      0.26862 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                   SET      62     0.078454    0.0044851      0.11069      0.23924 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                   SET      26    -0.061938   -0.0022952      0.16374      0.64738 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1         SET     178     -0.06759    -0.006527     0.062762      0.85923 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     131      0.24123     0.020009     0.078813    0.0011054 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84      0.13365    0.0088886     0.089362      0.06738 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231     0.029619    0.0032537     0.053962      0.29155 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24     -0.28896    -0.010288      0.17103      0.95443 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5     -0.89226    -0.014508      0.45054      0.97616 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33      0.11363    0.0047429      0.15239      0.22795 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16    -0.015796  -0.00045931      0.22686      0.52776 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     181   -0.0035854  -0.00034911      0.06233      0.52294 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     114    0.0024959   0.00019321     0.084372       0.4882 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104   -0.0042265  -0.00031259      0.08452      0.51994 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18    -0.078913   -0.0024336      0.19018      0.66091 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65     0.042479    0.0024864     0.098964      0.33388 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40     -0.14222   -0.0065343      0.13206      0.85923 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      11       0.4434     0.010692      0.28889      0.06242 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12    0.0057212   0.00014408      0.22778      0.48998 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59    0.0048751    0.0002719      0.11153      0.48257 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21    -0.099063   -0.0032996      0.18634      0.70251 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      42    0.0088852    0.0004183      0.13946       0.4746 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      17    -0.048513    -0.001454      0.20252      0.59466 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     161     -0.12227    -0.011235     0.068662      0.96252 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      43     0.012698   0.00060484      0.13291      0.46194 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      44      0.16748    0.0080698      0.14353      0.12163 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      37     -0.19319   -0.0085378      0.14917      0.90236 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      63     -0.24708    -0.014238      0.11276      0.98577 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16     0.005635   0.00016385      0.22067      0.48981 AMIT_SERUM_RESPONSE_20_MCF10A
