Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Medium_spiny_neuron	16968	0.024367	0.056471	0.0096683	0.0058679	0.0796887	0.123403715151515
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Eccentric_medium_spiny_neuron	16968	0.024141	0.056371	0.0099413	0.0075894	0.0796887	0.141081525
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Upper_layer_intratelencephalic	16968	0.02364	0.052264	0.010721	0.013737	0.096159	0.200337902097902
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Amygdala_excitatory	16968	0.019248	0.043386	0.011559	0.047953	0.2503788	0.381768090566038
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Deep_layer_intratelencephalic	16968	0.016969	0.03961	0.010891	0.059614	0.2503788	0.417881154362416
20_Siletti_CerebralCortex.Pir_Human_2022_level2	CGE_interneuron	16968	0.011385	0.022584	0.011723	0.16574	0.554446666666667	0.63453247706422
20_Siletti_CerebralCortex.Pir_Human_2022_level2	LAMP5_LHX6_and_Chandelier	16968	0.0085973	0.017857	0.010479	0.206	0.554446666666667	0.662290834597876
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Deep_layer_corticothalamic_and_6b	16968	0.0081966	0.018674	0.010326	0.21367	0.554446666666667	0.667959369369369
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Miscellaneous	16968	0.0088627	0.018641	0.012413	0.23762	0.554446666666667	0.677056312247645
20_Siletti_CerebralCortex.Pir_Human_2022_level2	MGE_interneuron	16968	0.0051284	0.010663	0.011697	0.33054	0.61208	0.728590073917635
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Committed_oligodendrocyte_precursor	16968	0.004141	0.0054038	0.0095652	0.33254	0.61208	0.729554715789474
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Oligodendrocyte	16968	0.0026899	0.0042103	0.0069693	0.34976	0.61208	0.74143743902439
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Splatter	16968	0.0035214	0.0073993	0.014209	0.40213	0.63504	0.776147988878591
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Oligodendrocyte_precursor	16968	0.0016057	0.0026878	0.0083063	0.42336	0.63504	0.798401739130435
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Deep_layer_near_projecting	16968	-0.00075066	-0.0016184	0.0093361	0.53204	0.744856	0.889578780096308
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Thalamic_excitatory	16968	-0.001899	-0.0058704	0.003012	0.73581	0.962763529411765	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Astrocyte	16968	-0.0054957	-0.0089061	0.0071361	0.77938	0.962763529411765	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Hippocampal_CA1_3	16968	-0.0036768	-0.011595	0.0031908	0.8754	0.99304	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Vascular	16968	-0.018858	-0.024148	0.0081279	0.98983	0.99304	1
