Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	CDM.BETA	CDM.BETA_STD	CDM.SE	CDM.P	CDM.ds	Marginal.P	PS	PS.avg
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	1	16887	0.017977	0.038114	0.0084059	0.016239	0.025945	0.055005	0.0077541	0.00041096	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00037273	0.52845091306532	0.987631939125628
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	1	16887	0.02605	0.062029	0.010622	0.0070972	0.034829	0.082933	0.0097974	0.00018961	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	0.0003336	0.577332843738516	1.07057254992767
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	2	16886	0.01381	0.02928	0.0094606	0.072184	0.025826	0.054754	0.007748	0.0004302	45_Siletti_CerebralNuclei.CEN_Human_2022_level2	0.00037273	0.339110899209782	0.981836331418107
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	2	16886	0.029381	0.0647	0.013278	0.013467	0.040507	0.0892	0.010874	9.7918e-05	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	0.00012434	0.46661636222045	1.02656542666466
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	3	16866	0.013477	0.028581	0.009897	0.086649	0.025724	0.054552	0.0077646	0.00046265	48_Siletti_CerebralNuclei.CMN_Human_2022_level2	0.00037273	0.318535801051431	0.972624959895774
48_Siletti_CerebralNuclei.CMN_Human_2022_level2	Eccentric_medium_spiny_neuron	3	16866	0.032535	0.064773	0.016306	0.023017	0.046305	0.092189	0.012792	0.00014783	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	0.00015981	0.427637010804635	1.00891407908166
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	4	16823	0.017162	0.036417	0.0087754	0.025259	0.025627	0.054379	0.0077512	0.00047392	50_Siletti_CerebralNuclei.BLN.BL_Human_2022_level2	0.00037273	0.480578247357235	0.96957635314348
50_Siletti_CerebralNuclei.BLN.BL_Human_2022_level2	Eccentric_medium_spiny_neuron	4	16823	0.026109	0.053715	0.012694	0.019861	0.037753	0.077668	0.011212	0.00038084	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	0.00038421	0.497768570138076	1.00112024145188
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	5	16764	0.01418	0.030114	0.0094038	0.065793	0.025642	0.054455	0.007792	0.00050053	57_Siletti_CerebralNuclei.BLN.La_Human_2022_level2	0.00037273	0.358065531325955	0.962656608428418
57_Siletti_CerebralNuclei.BLN.La_Human_2022_level2	Eccentric_medium_spiny_neuron	5	16764	0.030561	0.062885	0.014041	0.014762	0.042417	0.087282	0.011633	0.00013349	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	0.00013582	0.472533378156815	1.00194334692986
