Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj	cond_state	cond_cell_type	step3
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	16961	0.026121	0.055323	0.0077442	0.00037273	0.00820006	0.04444029	single	NA	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	16999	0.032628	0.077631	0.0095868	0.0003336	0.006672	0.04444029	single	NA	1
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	17039	0.039902	0.08773	0.010889	0.00012434	0.00285982	0.0299103323076923	single	NA	1
48_Siletti_CerebralNuclei.CMN_Human_2022_level2	Eccentric_medium_spiny_neuron	16986	0.045678	0.090796	0.012689	0.00015981	0.00351582	0.0299103323076923	single	NA	1
50_Siletti_CerebralNuclei.BLN.BL_Human_2022_level2	Eccentric_medium_spiny_neuron	16906	0.037739	0.077568	0.011216	0.00038421	0.00845262	0.04444029	single	NA	1
57_Siletti_CerebralNuclei.BLN.La_Human_2022_level2	Eccentric_medium_spiny_neuron	16829	0.042357	0.087081	0.011631	0.00013582	0.00298804	0.0299103323076923	single	NA	1
44_Siletti_CerebralNuclei.GP.Gpe_Human_2022_level2	Eccentric_medium_spiny_neuron	16941	0.033287	0.0763	0.0083243	3.1981e-05	0.000703582	0.0299103323076923	single	NA	1
46_Siletti_CerebralNuclei.SEP_Human_2022_level2	Eccentric_medium_spiny_neuron	16981	0.034607	0.070716	0.0093568	0.00010877	0.00315433	0.0299103323076923	single	NA	1
52_Siletti_CerebralNuclei.Pu_Human_2022_level2	Eccentric_medium_spiny_neuron	16864	0.032863	0.074136	0.0089862	0.000128	0.002304	0.0299103323076923	single	NA	1
54_Siletti_CerebralNuclei.CaB_Human_2022_level2	Eccentric_medium_spiny_neuron	16841	0.028471	0.065723	0.0078619	0.00014695	0.0026451	0.0299103323076923	single	NA	1
47_Siletti_CerebralNuclei.Cla_Human_2022_level2	Eccentric_medium_spiny_neuron	16994	0.045468	0.095448	0.01053	7.9263e-06	0.0001505997	0.0165025566	single	NA	1
49_Siletti_CerebralNuclei.SI_Human_2022_level2	Eccentric_medium_spiny_neuron	16908	0.03828	0.082045	0.010379	0.00011335	0.00260705	0.0299103323076923	single	NA	1
15_Siletti_CerebralCortex.Ig_Human_2022_level2	Eccentric_medium_spiny_neuron	16951	0.013686	0.035547	0.004032	0.00034499	0.00620982	0.04444029	single	NA	1
100_Siletti_Thalamus.LNC.VLN_Human_2022_level2	Eccentric_medium_spiny_neuron	16765	0.02799	0.048914	0.0084101	0.00043816	0.0087632	0.045612456	single	NA	1
106_Siletti_Thalamus.LNC.LP.VPL_Human_2022_level2	Thalamic_excitatory	16245	0.024882	0.060568	0.0070758	0.00021923	0.00284999	0.0326026328571429	single	NA	1
110_Siletti_Thalamus.LNC.VA_Human_2022_level2	Eccentric_medium_spiny_neuron	16473	0.031879	0.073483	0.0089321	0.00017966	0.00377286	0.0299103323076923	single	NA	1
336_Seeker2023_WhiteMatter_Human_2023_CSC_Young_level2	glutamatergic_neuron	15843	0.038416	0.036129	0.011511	0.00042378	0.0063567	0.045612456	single	NA	1
334_Seeker2023_WhiteMatter_Human_2023_CB_Young_level2	glutamatergic_neuron	15452	0.043451	0.037923	0.012209	0.00018676	0.0028014	0.0299103323076923	single	NA	1
332_Seeker2023_WhiteMatter_Human_2023_BA4_Young_level2	glutamatergic_neuron	15228	0.033554	0.045147	0.0087427	6.2304e-05	0.000577845	0.0299103323076923	joint	GABAergic_neuron	1
332_Seeker2023_WhiteMatter_Human_2023_BA4_Young_level2	GABAergic_neuron	15228	0.040612	0.050486	0.010728	7.7046e-05	0.000577845	0.0299103323076923	joint-drop	glutamatergic_neuron	0
