# MEAN_SAMPLE_SIZE = 68990
# TOTAL_GENES = 15085
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Slc17a7_Gabra6.1_1           COVAR   15085     0.024278     0.068378    0.0061201   3.6591e-05 Neuron_Slc17a7_Gabra6.1_1
Endothelial_Stalk_Flt1_Mgp.1...     COVAR   15085   -0.0079087    -0.023469    0.0040902      0.97341 Endothelial_Stalk_Flt1_Mgp.10_1
Endothelial_Stalk_Flt1_Car4....     COVAR   15085   -0.0065808    -0.019439     0.004156      0.94333 Endothelial_Stalk_Flt1_Car4.10_2
Endothelial_Stalk_Flt1_Lrg1....     COVAR   15085   -0.0060091    -0.017865    0.0041365      0.92684 Endothelial_Stalk_Flt1_Lrg1.10_3
Endothelial_Tip_Dcn_Nnat.11_1       COVAR   15085    -0.010212    -0.029478    0.0037399      0.99684 Endothelial_Tip_Dcn_Nnat.11_1
Endothelial_Tip_Dcn_Apod.11_2       COVAR   15085   -0.0039938    -0.011813    0.0033668      0.88222 Endothelial_Tip_Dcn_Apod.11_2
Mural_Acta2Rgs5_Acta2.11_3          COVAR   15085   -0.0062731    -0.019023    0.0035447       0.9616 Mural_Acta2Rgs5_Acta2.11_3
Mural_Acta2Rgs5_Kcnj8.11_4          COVAR   15085   -0.0080052    -0.025321     0.002935      0.99681 Mural_Acta2Rgs5_Kcnj8.11_4
Mural_Acta2Rgs5_Rgs5.11_5           COVAR   15085    -0.009157    -0.028641    0.0029089      0.99918 Mural_Acta2Rgs5_Rgs5.11_5
Neuron_Gad1Gad2_Pcp2.2_1            COVAR   15085     0.013377     0.038073    0.0047909    0.0026215 Neuron_Gad1Gad2_Pcp2.2_1
Neuron_Gad1Gad2_Pvalb-Nefh.3...     COVAR   15085     0.010658     0.030214    0.0051792      0.01981 Neuron_Gad1Gad2_Pvalb-Nefh.3_1
Neuron_Gad1Gad2_Pvalb-Rab3b....     COVAR   15085     0.013156     0.038253    0.0050298    0.0044588 Neuron_Gad1Gad2_Pvalb-Rab3b.3_2
Neuron_Gad1Gad2_Pvalb-Cadm1....     COVAR   15085     0.010576     0.031624    0.0043836    0.0079267 Neuron_Gad1Gad2_Pvalb-Cadm1.3_3
Neuron_Gad1Gad2_Pvalb-Chrm2....     COVAR   15085    0.0063167     0.018776    0.0043638     0.073886 Neuron_Gad1Gad2_Pvalb-Chrm2.3_4
Neuron_Slc17a6_Sln.4_1              COVAR   15085    0.0073327     0.021559    0.0047611     0.061777 Neuron_Slc17a6_Sln.4_1
Neuron_Gad1Gad2_Lgi2.4_2            COVAR   15085    0.0085056     0.024818    0.0044565     0.028169 Neuron_Gad1Gad2_Lgi2.4_2
Neuron_Slc17a6_Nrgn.4_3             COVAR   15085     0.012172     0.037735    0.0035977   0.00035907 Neuron_Slc17a6_Nrgn.4_3
Microglia_C1qb_Mrc1-Tmem119....     COVAR   15085  -0.00048501   -0.0014961     0.003164      0.56092 Microglia_C1qb_Mrc1-Tmem119.5_1
Oligodendroyte_Trf_Il33.6_1         COVAR   15085     0.007123     0.019663    0.0052511     0.087487 Oligodendroyte_Trf_Il33.6_1
Oligodendrocyte_Trf_Klk6.6_2        COVAR   15085    0.0064109     0.018608    0.0039315     0.051494 Oligodendrocyte_Trf_Klk6.6_2
Polydendrocyte_Tnr_Tnr.6_3          COVAR   15085   -0.0020403   -0.0062869    0.0031847      0.73912 Polydendrocyte_Tnr_Tnr.6_3
Astrocyte_Gja_Slc1a3.7_1            COVAR   15085  -4.7235e-05  -0.00012876    0.0056512      0.50333 Astrocyte_Gja_Slc1a3.7_1
Gja1_Gfap.8_1                       COVAR   15085  -0.00020405  -0.00063429    0.0031663      0.52569 Gja1_Gfap.8_1
Gja1_Htra1.8_2                      COVAR   15085  -0.00012591  -0.00035738    0.0047237      0.51063 Gja1_Htra1.8_2
Choroid_Plexus_Ttr.9_1              COVAR   15085   -0.0051121    -0.014162    0.0040057      0.89905 Choroid_Plexus_Ttr.9_1
