# TOTAL_GENES = 15078
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligodendrocyte_Trf_Serpinb1...     COVAR   15078   -0.0027698   -0.0074513    0.0064607      0.66593 Oligodendrocyte_Trf_Serpinb1a.1_1
Oligodendrocyte_Trf_Klk6.1_2        COVAR   15078   0.00095093    0.0025632    0.0061242       0.4383 Oligodendrocyte_Trf_Klk6.1_2
Oligodendrocyte_Trf_Ndrg2.1_3       COVAR   15078    -0.003971    -0.010669    0.0067623      0.72147 Oligodendrocyte_Trf_Ndrg2.1_3
Oligodendrocyte_Trf_Il33.1_4        COVAR   15078   -0.0021399   -0.0057421    0.0065479      0.62809 Oligodendrocyte_Trf_Il33.1_4
Oligodendrocyte_Trf_Ctps.1_5        COVAR   15078    0.0025504    0.0069957    0.0057192      0.32783 Oligodendrocyte_Trf_Ctps.1_5
Endothelial_Stalk_Flt1_Car4....     COVAR   15078    0.0061358      0.01724    0.0047019     0.095961 Endothelial_Stalk_Flt1_Car4.2_1
Endothelial_Stalk_Flt1_Vwf.2...     COVAR   15078    0.0052427     0.015239    0.0040787     0.099341 Endothelial_Stalk_Flt1_Vwf.2_2
Endothelial_Stalk_Flt1_Tgfb2...     COVAR   15078     0.007945     0.022514    0.0046052     0.042256 Endothelial_Stalk_Flt1_Tgfb2.2_3
Endothelial_Stalk_Flt1_Gkn3....     COVAR   15078    0.0062353     0.017594    0.0045636     0.085931 Endothelial_Stalk_Flt1_Gkn3.2_4
Mural_Rgs5Acta2_Kcnj8.3_1           COVAR   15078   -0.0052968     -0.01615     0.003486      0.93566 Mural_Rgs5Acta2_Kcnj8.3_1
Endothelial_Tip_Dcn.3_2             COVAR   15078   -0.0010318   -0.0031348    0.0032631      0.62408 Endothelial_Tip_Dcn.3_2
Mural_Rgs5Acta2_Pdgfa.3_3           COVAR   15078   -0.0044364    -0.013769    0.0031116      0.92302 Mural_Rgs5Acta2_Pdgfa.3_3
Mural_Rgs5Acta2_Ccnd1.3_4           COVAR   15078    -0.013826    -0.040148    0.0040642      0.99966 Mural_Rgs5Acta2_Ccnd1.3_4
Mural_Rgs5Acta2_Cnn1.3_5            COVAR   15078   -0.0024679   -0.0072671    0.0037773      0.74323 Mural_Rgs5Acta2_Cnn1.3_5
Mural_Rgs5Acta2_Junb.3_6            COVAR   15078    -0.001184   -0.0036128    0.0026643      0.67161 Mural_Rgs5Acta2_Junb.3_6
Neuron_Slc17a7_Zbtb20.4_1           COVAR   15078    0.0018696    0.0058125    0.0033985      0.29112 Neuron_Slc17a7_Zbtb20.4_1
Neuron_Gad1Gad2_Pmch.4_10           COVAR   15078   -0.0027701   -0.0087783     0.002909      0.82951 Neuron_Gad1Gad2_Pmch.4_10
