# TOTAL_GENES = 15078
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Gad1Gad2_Cplx3.1_1           COVAR   15078   -0.0014671   -0.0040313    0.0083425      0.56979 Neuron_Gad1Gad2_Cplx3.1_1
Neuron_Gad1Gad2-Slc17a8_Synp...     COVAR   15078    0.0012673    0.0035105    0.0074848      0.43278 Neuron_Gad1Gad2-Slc17a8_Synpr-Sncg-Yjefn3.1_10
Neuron_Gad1Gad2_Synpr-Sncg.1...     COVAR   15078   -0.0019788   -0.0055179    0.0073194      0.60655 Neuron_Gad1Gad2_Synpr-Sncg.1_11
Neuron_Gad1Gad2_Cplx3-Reln.1...     COVAR   15078   -0.0087829    -0.024255     0.008578      0.84705 Neuron_Gad1Gad2_Cplx3-Reln.1_2
Neuron_Gad1Gad2_Synpr-Nnat.1...     COVAR   15078    0.0037915     0.011003     0.005873      0.25928 Neuron_Gad1Gad2_Synpr-Nnat.1_3
Neuron_Gad1Gad2_Synpr-Crispl...     COVAR   15078    0.0067457     0.018877    0.0071807      0.17376 Neuron_Gad1Gad2_Synpr-Crispld2.1_4
Neuron_Gad1Gad2-Chat_Synpr-S...     COVAR   15078    0.0092657     0.025493    0.0081252      0.12708 Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.1_5
Neuron_Gad1Gad2_Synpr-Pcdh11...     COVAR   15078   0.00033728   0.00092875    0.0082606      0.48372 Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6
Neuron_Gad1Gad2_Synpr-Dpy19l...     COVAR   15078    0.0013429    0.0038244    0.0066155      0.41957 Neuron_Gad1Gad2_Synpr-Dpy19l1.1_7
Neuron_Gad1Gad2_Cplx3-Dpy19l...     COVAR   15078    0.0029894    0.0088238    0.0052897        0.286 Neuron_Gad1Gad2_Cplx3-Dpy19l1.1_8
Neuron_Gad1Gad2_Cplx3-Crim1....     COVAR   15078    -0.010209    -0.029161    0.0066773      0.93684 Neuron_Gad1Gad2_Cplx3-Crim1.1_9
Polydendrocyte_Tnr_Cspg5.10_1       COVAR   15078   -0.0035455   -0.0096876    0.0062205      0.71565 Polydendrocyte_Tnr_Cspg5.10_1
Polydendrocyte_Tnr_Dlx1.10_2        COVAR   15078  -7.7944e-06  -2.2311e-05    0.0042621      0.50073 Polydendrocyte_Tnr_Dlx1.10_2
Polydendrocyte_Tnr_Pdgfa.10_3       COVAR   15078    0.0019466    0.0054159    0.0050459      0.34983 Polydendrocyte_Tnr_Pdgfa.10_3
Polydendrocyte_Tnr_Opalin.10...     COVAR   15078   -0.0013373   -0.0037968    0.0041424      0.62658 Polydendrocyte_Tnr_Opalin.10_4
Polydendrocyte_Tnr_Bmp4-_Ptg...     COVAR   15078    0.0014599    0.0040649    0.0052513      0.39051 Polydendrocyte_Tnr_Bmp4-_Ptgds.10_5
