# TOTAL_GENES = 15078
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Chat-Gad1Gad2-Slc17a8...2     COVAR   15078    0.0067988     0.018608    0.0066332       0.1527 Neuron_Chat-Gad1Gad2-Slc17a8_Ngfr.1_1
Neuron_Chat-Gad1Gad2-Slc17a8...1     COVAR   15078  -0.00083931   -0.0023715    0.0058421      0.55712 Neuron_Chat-Gad1Gad2-Slc17a8_Nefm.1_2
Oligodendrocyte_Trf_Mbp.10_1         COVAR   15078  -0.00074575   -0.0019688    0.0062477      0.54751 Oligodendrocyte_Trf_Mbp.10_1
Oligodendrocyte_Trf_Klk6.10_2        COVAR   15078    0.0020893    0.0055743    0.0056264       0.3552 Oligodendrocyte_Trf_Klk6.10_2
Oligodendrocyte_Trf_Ttyh1.10...      COVAR   15078    0.0020505    0.0054721    0.0057556      0.36083 Oligodendrocyte_Trf_Ttyh1.10_3
Oligodendrocyte_Trf_Ctps.10_4        COVAR   15078   2.1614e-05   5.9086e-05    0.0049251      0.49825 Oligodendrocyte_Trf_Ctps.10_4
Oligodendrocyte_Trf_Il33.10_5        COVAR   15078   -0.0026605   -0.0070716    0.0060155      0.67085 Oligodendrocyte_Trf_Il33.10_5
Oligodendrocyte_Trf_Kif5b.10...      COVAR   15078  -0.00072734    -0.001921    0.0060492      0.54785 Oligodendrocyte_Trf_Kif5b.10_6
Microglia_C1qb_Tmem119.11_1          COVAR   15078   0.00057274    0.0016033    0.0039306      0.44208 Microglia_C1qb_Tmem119.11_1
Macrophage_C1qb_Mrc1.11_2            COVAR   15078    0.0014193    0.0040072     0.003761      0.35295 Macrophage_C1qb_Mrc1.11_2
Neuron_Gad1Gad2_Tac1.2_1             COVAR   15078   -0.0064814    -0.018502    0.0056714      0.87344 Neuron_Gad1Gad2_Tac1.2_1
Neuron_Gad1Gad2_Cadm2.2_10           COVAR   15078    -0.011201    -0.032316    0.0042312      0.99594 Neuron_Gad1Gad2_Cadm2.2_10
Neuron_Slc17a7_Neurod2-Rorb....      COVAR   15078   -0.0049092    -0.013761    0.0056999      0.80545 Neuron_Slc17a7_Neurod2-Rorb.2_11
Neuron_Slc17a7_Neurod2-C1ql3...      COVAR   15078   -0.0031967   -0.0090997    0.0049608      0.74033 Neuron_Slc17a7_Neurod2-C1ql3.2_12
Neuron_Gad1Gad2_Grem.2_13            COVAR   15078    -0.002676   -0.0073039    0.0072607      0.64377 Neuron_Gad1Gad2_Grem.2_13
Neuron_Gad1Gad2_Scn4b.2_14           COVAR   15078   0.00077236    0.0020615    0.0066287      0.45362 Neuron_Gad1Gad2_Scn4b.2_14
Neuron_Gad1Gad2_Fibcd1.2_15          COVAR   15078    0.0014226    0.0037826    0.0077278      0.42697 Neuron_Gad1Gad2_Fibcd1.2_15
Neuron_Gad1Gad2_Trdn.2_16            COVAR   15078    0.0094234     0.025539     0.006785     0.082449 Neuron_Gad1Gad2_Trdn.2_16
Neuron_Gad1Gad2_Elfn1-Grik3....      COVAR   15078   -0.0026904   -0.0073808    0.0068375      0.65301 Neuron_Gad1Gad2_Elfn1-Grik3.2_17
Neuron_Gad1Gad2_Pappa.2_18           COVAR   15078   -0.0093544    -0.025899    0.0065623      0.92298 Neuron_Gad1Gad2_Pappa.2_18
Neuron_Gad1Gad2_Cyp26b1.2_19         COVAR   15078  -0.00032625  -0.00088991    0.0077985      0.51668 Neuron_Gad1Gad2_Cyp26b1.2_19
Neuron_Slc17a6_Cck.2_2               COVAR   15078   -0.0060833    -0.016671    0.0064176       0.8284 Neuron_Slc17a6_Cck.2_2
Neuron_Gad1Gad2_Six3-Pvalb.2...      COVAR   15078     0.002952    0.0082258    0.0063082      0.31991 Neuron_Gad1Gad2_Six3-Pvalb.2_20
Neuron_Gad1Gad2_Vip.2_21             COVAR   15078   -0.0021472   -0.0060541    0.0060371      0.63895 Neuron_Gad1Gad2_Vip.2_21
Neuron_Gad1Gad2_Lamp5-Cplx3....      COVAR   15078   0.00027457   0.00085771    0.0035712      0.46936 Neuron_Gad1Gad2_Lamp5-Cplx3.2_22
Neuron_Gad1Gad2_Trh.2_23             COVAR   15078  -0.00040789   -0.0011961    0.0048706      0.53337 Neuron_Gad1Gad2_Trh.2_23
Neuron_Gad1Gad2_Igfbp4_Rgs4....      COVAR   15078  -0.00094766   -0.0026544    0.0061568      0.56116 Neuron_Gad1Gad2_Igfbp4_Rgs4.2_24
Neuron_Gad1Gad2_Igfbp4_Adora...      COVAR   15078    0.0051171     0.014612    0.0057913      0.18847 Neuron_Gad1Gad2_Igfbp4_Adora1.2_25
Neuron_Gad1Gad2_Tac2.2_3             COVAR   15078   -0.0019914   -0.0053219    0.0075568      0.60393 Neuron_Gad1Gad2_Tac2.2_3
Neuron_Gad1Gad2_Hpcal4.2_4           COVAR   15078   -0.0034663   -0.0092803    0.0074756      0.67856 Neuron_Gad1Gad2_Hpcal4.2_4
Neuron_Gad1Gad2_Sst.2_5              COVAR   15078   -0.0062674     -0.01722    0.0069976      0.81478 Neuron_Gad1Gad2_Sst.2_5
Neuron_Gad1Gad2_Satb1.2_6            COVAR   15078   -0.0074531    -0.020418    0.0069571      0.85797 Neuron_Gad1Gad2_Satb1.2_6
Neuron_Gad1Gad2-Slc17a6_Cbln...      COVAR   15078  -0.00066113   -0.0018203    0.0066936      0.53934 Neuron_Gad1Gad2-Slc17a6_Cbln1.2_7
Neuron_Slc17a6_Tcf7l2.2_8            COVAR   15078    0.0035743    0.0097078    0.0069954       0.3047 Neuron_Slc17a6_Tcf7l2.2_8
Neuron_Slc17a6_Rspo3.2_9             COVAR   15078     0.001781    0.0048679    0.0070245      0.39992 Neuron_Slc17a6_Rspo3.2_9
Neuron_Gad1Gad2_Drd1-Nefm.3_1        COVAR   15078    0.0009873    0.0026672    0.0070744      0.44451 Neuron_Gad1Gad2_Drd1-Nefm.3_1
Neuron_Gad1Gad2_Vipr2.3_10           COVAR   15078   -0.0016704     -0.00499    0.0042664      0.65229 Neuron_Gad1Gad2_Vipr2.3_10
Neuron_Gad1Gad2_Drd1-Pdyn.3_2        COVAR   15078   -0.0010241   -0.0028259    0.0066629      0.56108 Neuron_Gad1Gad2_Drd1-Pdyn.3_2
Neuron_Gad1Gad2_Adora2a.3_3          COVAR   15078   -0.0011998   -0.0032553    0.0068605      0.56942 Neuron_Gad1Gad2_Adora2a.3_3
Neuron_Gad1Gad2_Cadm2.3_4            COVAR   15078    0.0038244     0.010508    0.0057855       0.2543 Neuron_Gad1Gad2_Cadm2.3_4
Neuron_Gad1Gad2_Drd1-Pde1c.3...      COVAR   15078   -0.0038505    -0.010612    0.0067237      0.71656 Neuron_Gad1Gad2_Drd1-Pde1c.3_5
Neuron_Gad1Gad2_Adora2a-Pde1...      COVAR   15078    0.0030211     0.008294    0.0067781      0.32791 Neuron_Gad1Gad2_Adora2a-Pde1c.3_6
Neuron_Gad1Gad2_Sphkap-Tmem2...      COVAR   15078   -0.0011489   -0.0031425    0.0073907      0.56177 Neuron_Gad1Gad2_Sphkap-Tmem255a.3_7
Neuron_Gad1Gad2_Sphkap-Cpne4...      COVAR   15078    -0.016831    -0.047216    0.0060037      0.99747 Neuron_Gad1Gad2_Sphkap-Cpne4.3_8
Neuron_Gad1Gad2-Th_Adora2a-T...      COVAR   15078  -0.00066777   -0.0018212    0.0071762      0.53707 Neuron_Gad1Gad2-Th_Adora2a-Th.3_9
