# TOTAL_GENES = 15078
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Gad1Gad2_Pvalb_C1ql1....      COVAR   15078    0.0064546     0.018364    0.0069713      0.17726 Neuron_Gad1Gad2_Pvalb_C1ql1.1_1
Neuron_Gad1Gad2_Sst_Pcdh11x....      COVAR   15078     0.010496     0.030293    0.0064526     0.051919 Neuron_Gad1Gad2_Sst_Pcdh11x.1_10
Gad1Gad2_Cplx3_Rxfp1.1_11            COVAR   15078  -0.00052731   -0.0015031    0.0077531      0.52711 Gad1Gad2_Cplx3_Rxfp1.1_11
Gad1Gad2_Cplx3_Tox.1_12              COVAR   15078   -0.0035978    -0.010396     0.006928      0.69822 Gad1Gad2_Cplx3_Tox.1_12
Gad1Gad2_Id2_Tac1.1_13               COVAR   15078    0.0034359    0.0098747    0.0067956      0.30657 Gad1Gad2_Id2_Tac1.1_13
Gad1Gad2_Id2_Bcl11b.1_14             COVAR   15078   -0.0051618    -0.014524    0.0084458      0.72945 Gad1Gad2_Id2_Bcl11b.1_14
Gad1Gad2_Id2_Prlr.1_15               COVAR   15078   -0.0071262    -0.020162    0.0080895      0.81081 Gad1Gad2_Id2_Prlr.1_15
Gad1Gad2_Htr3a_Nnat.1_16             COVAR   15078     0.006974     0.020565    0.0059773      0.12167 Gad1Gad2_Htr3a_Nnat.1_16
Gad1Gad2Chat_Htr3a_Chat.1_17         COVAR   15078    0.0043099     0.012137    0.0081168      0.29772 Gad1Gad2Chat_Htr3a_Chat.1_17
Gad1Gad2_Htr3a_Phlda1.1_18           COVAR   15078     0.007961     0.022831    0.0069489      0.12598 Gad1Gad2_Htr3a_Phlda1.1_18
Gad1Gad2_Htr3a_Efba5.1_19            COVAR   15078    0.0042381     0.012374    0.0061172      0.24422 Gad1Gad2_Htr3a_Efba5.1_19
Neuron_Gad1Gad2_Id2_Sfrp2.1_2        COVAR   15078   -0.0031239   -0.0092467    0.0056511      0.70979 Neuron_Gad1Gad2_Id2_Sfrp2.1_2
Gad1Gad2_Htr3a_Cpne5.1_20            COVAR   15078   0.00018117   0.00051336    0.0076334      0.49053 Gad1Gad2_Htr3a_Cpne5.1_20
Gad1Gad2_Htr3a_Ecel1.1_21            COVAR   15078  -0.00034343  -0.00098291    0.0069617      0.51967 Gad1Gad2_Htr3a_Ecel1.1_21
Gad1Gad2_Htr3a_Ibsp.1_22             COVAR   15078    0.0014704    0.0042183     0.006997      0.41678 Gad1Gad2_Htr3a_Ibsp.1_22
Gad1Gad2_Htr3a_Krt73.1_23            COVAR   15078    0.0071381     0.020051    0.0083081      0.19513 Gad1Gad2_Htr3a_Krt73.1_23
Gad1Gad2Slc17a8_Htr3a_Ktcd12...      COVAR   15078    0.0083294     0.023487    0.0080762       0.1512 Gad1Gad2Slc17a8_Htr3a_Ktcd12.1_24
Gad1Gad2_Htr3a_Chrm2.1_25            COVAR   15078     0.015064     0.043922    0.0061212    0.0069342 Gad1Gad2_Htr3a_Chrm2.1_25
Gad1Gad2_Htr3a_Htr1b.1_26            COVAR   15078    0.0019554    0.0055628    0.0075774      0.39818 Gad1Gad2_Htr3a_Htr1b.1_26
Gad1Gad2_Htr3a_Sema3c.1_27           COVAR   15078    0.0016209    0.0047398     0.006227      0.39732 Gad1Gad2_Htr3a_Sema3c.1_27
Neuron_Gad1Gad2_Sst_Atp2b4.1...      COVAR   15078   -0.0021959   -0.0066172    0.0045882      0.68388 Neuron_Gad1Gad2_Sst_Atp2b4.1_3
Neuron_Gad1Gad2Slc17a8_Sst_N...      COVAR   15078    0.0062636     0.017522    0.0076445       0.2063 Neuron_Gad1Gad2Slc17a8_Sst_Ncam2.1_4
Neuron_Gad1Gad2_Sst_Spon1.1_5        COVAR   15078     0.010333     0.029083    0.0068516     0.065784 Neuron_Gad1Gad2_Sst_Spon1.1_5
Neuron_Gad1Gad2_Pvalb_Tac1.1...      COVAR   15078     0.012289     0.034129    0.0076012     0.052987 Neuron_Gad1Gad2_Pvalb_Tac1.1_6
Neuron_Gad1Gad2_Pvalb_Gfra1....      COVAR   15078    0.0068697     0.019384    0.0065656      0.14771 Neuron_Gad1Gad2_Pvalb_Gfra1.1_7
Neuron_Gad1Gad2_Sst_Rbp4.1_8         COVAR   15078   -0.0021831   -0.0061846    0.0071805      0.61945 Neuron_Gad1Gad2_Sst_Rbp4.1_8
Neuron_Gad1Gad2_Sst_Grm1.1_9         COVAR   15078    0.0084483     0.023844    0.0070378        0.115 Neuron_Gad1Gad2_Sst_Grm1.1_9
Microglia_C1qb_Tmem119.10_1          COVAR   15078   -0.0019642   -0.0052929     0.004382      0.67301 Microglia_C1qb_Tmem119.10_1
Macrophage_C1qb_Mrc1.10_2            COVAR   15078   6.9621e-05   0.00020482     0.003256      0.49147 Macrophage_C1qb_Mrc1.10_2
Ependymal_Ccdc153.11_1               COVAR   15078    0.0052549     0.013828    0.0041422       0.1023 Ependymal_Ccdc153.11_1
Choroid_Plexus_Ttr.12_1              COVAR   15078    0.0038538     0.010368    0.0039527      0.16479 Choroid_Plexus_Ttr.12_1
Neurogenesis_Sox4_Efhd2.13_1         COVAR   15078   -0.0048098    -0.014047    0.0039779      0.88668 Neurogenesis_Sox4_Efhd2.13_1
Neurogenesis_Sox4_Hist1h2al....      COVAR   15078    0.0029051     0.008364    0.0041186       0.2403 Neurogenesis_Sox4_Hist1h2al.13_2
Neurogenesis_Sox4_Cdc20.13_3         COVAR   15078    0.0033433    0.0099268    0.0035567      0.17362 Neurogenesis_Sox4_Cdc20.13_3
Neurogenesis_Sox4_Gad2.13_4          COVAR   15078    -0.004028    -0.012791     0.003073      0.90503 Neurogenesis_Sox4_Gad2.13_4
Neurogenesis_Sox4_Gabra5.13_5        COVAR   15078   -0.0047471    -0.013595    0.0057987       0.7935 Neurogenesis_Sox4_Gabra5.13_5
Neurogenesis_Sox4_Ppp2r2b.13...      COVAR   15078   -0.0053834    -0.015924    0.0043975      0.88955 Neurogenesis_Sox4_Ppp2r2b.13_6
Neuron_Slc17a6_Lhx1.14_1             COVAR   15078    -0.011145    -0.031103    0.0066608      0.95285 Neuron_Slc17a6_Lhx1.14_1
