# TOTAL_GENES = 15078
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Slc17a7_Syt6-Cplx3.1_1        COVAR   15078    -0.012327    -0.034572    0.0085141      0.92616 Neuron_Slc17a7_Syt6-Cplx3.1_1
Neuron_Slc17a7-Slc17a8_Syt6-...      COVAR   15078   -0.0029375   -0.0087398    0.0052557      0.71189 Neuron_Slc17a7-Slc17a8_Syt6-Lancl3.1_2
Neuron_Slc17a7_Syt6-Tshz2-Nr...      COVAR   15078   -0.0078567    -0.021891    0.0098495      0.78746 Neuron_Slc17a7_Syt6-Tshz2-Nrep.1_3
Neuron_Slc17a7_Syt6-Sla.1_4          COVAR   15078   -0.0088983    -0.024658     0.010512      0.80134 Neuron_Slc17a7_Syt6-Sla.1_4
Neuron_Slc17a7_Syt6-Nnat.1_5         COVAR   15078    -0.016649    -0.047324    0.0078462      0.98307 Neuron_Slc17a7_Syt6-Nnat.1_5
Neuron_Slc17a7_Syt6-Slc24a2....      COVAR   15078    -0.010855    -0.031411    0.0057767      0.96987 Neuron_Slc17a7_Syt6-Slc24a2.1_6
Neuron_Slc17a7_Syt6-Tox.1_7          COVAR   15078    0.0024704    0.0069041     0.010032      0.40274 Neuron_Slc17a7_Syt6-Tox.1_7
Neuron_Slc17a7_Syt6-Nefm.1_8         COVAR   15078   -0.0011103   -0.0030769     0.010365      0.54265 Neuron_Slc17a7_Syt6-Nefm.1_8
Neuron_Slc17a7_Syt6-Fos.1_9          COVAR   15078    0.0057114     0.015961    0.0096507      0.27699 Neuron_Slc17a7_Syt6-Fos.1_9
Polydendrocyte_Tnr_Cspg5.10_1        COVAR   15078     0.005042     0.013938    0.0058612      0.19484 Polydendrocyte_Tnr_Cspg5.10_1
Polydendrocyte_Tnr_Dlx1.10_2         COVAR   15078   -0.0024868   -0.0074858    0.0035947      0.75546 Polydendrocyte_Tnr_Dlx1.10_2
Polydendrocyte_Tnr_Tmsb4x.10...      COVAR   15078    0.0010822    0.0030576    0.0050336      0.41489 Polydendrocyte_Tnr_Tmsb4x.10_3
Polydendrocyte_Tnr_Lims2-Tms...      COVAR   15078    0.0016929    0.0050461    0.0043183      0.34752 Polydendrocyte_Tnr_Lims2-Tmsb4x.10_4
Microglia_C1qb_Tmem119.11_1          COVAR   15078   -0.0015964   -0.0042788      0.00541      0.61603 Microglia_C1qb_Tmem119.11_1
Macrophage_C1qb_Mrc1.11_2            COVAR   15078   -0.0017166   -0.0049347    0.0038486       0.6722 Macrophage_C1qb_Mrc1.11_2
Microglia_C1qb_Tmem119-Fos.1...      COVAR   15078    0.0032359    0.0098192    0.0024761     0.095641 Microglia_C1qb_Tmem119-Fos.11_3
Microglia_C1qb_Tmem119-Junb....      COVAR   15078   -0.0010044   -0.0028217    0.0025503      0.65315 Microglia_C1qb_Tmem119-Junb.11_4
Endothelial_Stalk_Flt1_Car4....      COVAR   15078     0.008745     0.023974    0.0045039     0.026101 Endothelial_Stalk_Flt1_Car4.12_1
Endothelial_Stalk_Flt1_Vwf.1...      COVAR   15078    0.0091171     0.025153    0.0042429     0.015834 Endothelial_Stalk_Flt1_Vwf.12_2
Endothelial_Stalk_Flt1_Gm994...      COVAR   15078    0.0070899      0.01918    0.0045794     0.060798 Endothelial_Stalk_Flt1_Gm9946.12_3
Endothelial_Stalk_Flt1_Gkn3....      COVAR   15078    0.0076432     0.021316    0.0040525     0.029656 Endothelial_Stalk_Flt1_Gkn3.12_4
Mural_Acta2Rgs5_Acta2.13_1           COVAR   15078   -0.0029158   -0.0080139    0.0043639      0.74798 Mural_Acta2Rgs5_Acta2.13_1
Mural_Acta2Rgs5_Fos.13_2             COVAR   15078   0.00029067    0.0008973    0.0027256      0.45754 Mural_Acta2Rgs5_Fos.13_2
Mural_Acta2Rgs5Rgs5.13_3             COVAR   15078   -0.0023369   -0.0065518    0.0041671      0.71253 Mural_Acta2Rgs5Rgs5.13_3
Mural_Acta2Rgs5_Kcnj8-Abcc9....      COVAR   15078   -0.0007689   -0.0023473    0.0033256      0.59142 Mural_Acta2Rgs5_Kcnj8-Abcc9.13_4
Mural_Acta2Rgs5_Abcc9.13_5           COVAR   15078   -0.0039168    -0.012338    0.0028824       0.9129 Mural_Acta2Rgs5_Abcc9.13_5
Endothelial_Tip_Dcn_Mgp-Penk...      COVAR   15078     0.002486    0.0067727    0.0048296      0.30337 Endothelial_Tip_Dcn_Mgp-Penk.14_1
Endothelial_Tip_Dcn_Mgp-Clu....      COVAR   15078    0.0080103     0.022555    0.0041728     0.027463 Endothelial_Tip_Dcn_Mgp-Clu.14_2
Endothelial_Tip_Dcn_Nnat.14_3        COVAR   15078    0.0014154    0.0039649    0.0037149       0.3516 Endothelial_Tip_Dcn_Nnat.14_3
Endothelial_Tip_Dcn_Coch.14_4        COVAR   15078   0.00039921    0.0011083    0.0040821      0.46105 Endothelial_Tip_Dcn_Coch.14_4
Endothelial_Tip_Dcn_Inmt.14_5        COVAR   15078    0.0036356     0.010955     0.003172      0.12588 Endothelial_Tip_Dcn_Inmt.14_5
Neuron_Sc17a7_Calb1-Ddit4l.2...      COVAR   15078     0.003935     0.010776     0.010283      0.35099 Neuron_Sc17a7_Calb1-Ddit4l.2_1
Neuron_Slc17a7-Slc17a6_Rorb-...      COVAR   15078   -0.0023075   -0.0063701     0.010602      0.58614 Neuron_Slc17a7-Slc17a6_Rorb-Pcdh20.2_10
Neuron_Sc17a7_Rorb-Gpr83.2_11        COVAR   15078    -0.011078    -0.030492     0.011079      0.84131 Neuron_Sc17a7_Rorb-Gpr83.2_11
Neuron_Sc17a7_Fermt1.2_12            COVAR   15078   -0.0046848    -0.012903    0.0096793       0.6858 Neuron_Sc17a7_Fermt1.2_12
Neuron_Slc17a7-Slc17a6_Calb1...      COVAR   15078   -0.0069544    -0.019143     0.011326       0.7304 Neuron_Slc17a7-Slc17a6_Calb1-Rorb-Il1rapl2.2_13
Neuron_Slc17a7-Slc17a6_Tshz2...7     COVAR   15078    -0.018695    -0.051508     0.011363      0.95003 Neuron_Slc17a7-Slc17a6_Tshz2.2_14
Neuron_Sc17a7_Oprk1.2_15             COVAR   15078   -0.0091645    -0.025565    0.0080103       0.8737 Neuron_Sc17a7_Oprk1.2_15
Neuron_Sc17a7_Crym.2_16              COVAR   15078     0.001231    0.0033676      0.01006      0.45131 Neuron_Sc17a7_Crym.2_16
Neuron_Sc17a7_Sema3e-Nnat.2_...      COVAR   15078    -0.015966    -0.043996     0.010995      0.92676 Neuron_Sc17a7_Sema3e-Nnat.2_17
Neuron_Sc17a7_Sema3e-Onecut2...      COVAR   15078    0.0015104    0.0041709     0.010294      0.44168 Neuron_Sc17a7_Sema3e-Onecut2.2_18
Neuron_Sc17a7_Calb1-Tshz2.2_2        COVAR   15078     -0.00991    -0.027388     0.010788      0.82085 Neuron_Sc17a7_Calb1-Tshz2.2_2
Neuron_Sc17a7_Tshz2-Smoc1.2_3        COVAR   15078    -0.013503    -0.037826    0.0087219       0.9392 Neuron_Sc17a7_Tshz2-Smoc1.2_3
Neuron_Sc17a7_Calb1-Fos.2_4          COVAR   15078   -0.0026813   -0.0073981    0.0092741      0.61375 Neuron_Sc17a7_Calb1-Fos.2_4
Neuron_Sc17a7_Calb1-Lpl.2_5          COVAR   15078   -0.0088566    -0.024226     0.010457      0.80149 Neuron_Sc17a7_Calb1-Lpl.2_5
Neuron_Sc17a7_Calb1-Otof.2_6         COVAR   15078   -0.0094684    -0.025888    0.0096768      0.83607 Neuron_Sc17a7_Calb1-Otof.2_6
