# TOTAL_GENES = 15078
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Slc17a7_C1ql3.1_1            COVAR   15078   -0.0070832    -0.021521    0.0040467      0.95996 Neuron_Slc17a7_C1ql3.1_1
Oligodendrocyte_Tfr_Slco3a1....     COVAR   15078   0.00044863    0.0011749    0.0061398      0.47088 Oligodendrocyte_Tfr_Slco3a1.10_1
Oligodendrocyte_Tfr_Plin3.10...     COVAR   15078    0.0029297    0.0077719    0.0055697      0.29944 Oligodendrocyte_Tfr_Plin3.10_2
Oligodendrocyte_Tfr_Ndrg2.10...     COVAR   15078  -0.00042658   -0.0011191    0.0059669       0.5285 Oligodendrocyte_Tfr_Ndrg2.10_3
Oligodendrocyte_Tfr_Il33.10_4       COVAR   15078    0.0010077    0.0026311    0.0062178      0.43563 Oligodendrocyte_Tfr_Il33.10_4
Oligodendrocyte_Tfr_Ctps.10_5       COVAR   15078     0.003478    0.0092231    0.0057626      0.27308 Oligodendrocyte_Tfr_Ctps.10_5
Oligodendrocyte_Tnr_Rps24.11...     COVAR   15078   0.00019394   0.00049652    0.0048615      0.48409 Oligodendrocyte_Tnr_Rps24.11_1
Endothelial_Stalk_Flt1_Cdkn1...     COVAR   15078    0.0064087     0.017453    0.0045913     0.081392 Endothelial_Stalk_Flt1_Cdkn1c.12_1
Endothelial_Stalk_Flt1_Gkn3....     COVAR   15078    0.0022291    0.0065899    0.0036767      0.27217 Endothelial_Stalk_Flt1_Gkn3.12_2
Endothelial_Stalk_Flt1_Car4....     COVAR   15078     0.004284     0.011682    0.0046381      0.17784 Endothelial_Stalk_Flt1_Car4.12_3
Endothelial_Stalk_Flt1_Vwf.1...     COVAR   15078    0.0041472     0.011465    0.0043994      0.17293 Endothelial_Stalk_Flt1_Vwf.12_4
Mural_Rgs5Acta2_Rgs5.13_1           COVAR   15078   0.00087892    0.0024227    0.0044023      0.42088 Mural_Rgs5Acta2_Rgs5.13_1
Mural_Rgs5Acta2_Kcnj8.13_2          COVAR   15078  -0.00063337   -0.0019614    0.0029217      0.58581 Mural_Rgs5Acta2_Kcnj8.13_2
Mural_Rgs5Acta2_Cd9.13_3            COVAR   15078   -0.0036618   -0.0098818    0.0045832      0.78784 Mural_Rgs5Acta2_Cd9.13_3
Mural_Rgs5Acta2_Cbr2.13_4           COVAR   15078   -0.0016273   -0.0045602     0.003926      0.66074 Mural_Rgs5Acta2_Cbr2.13_4
Mural_Rgs5Acta2_Fos.13_5            COVAR   15078   -0.0089633    -0.025891    0.0035673        0.994 Mural_Rgs5Acta2_Fos.13_5
Endothelial_Tip_Dcn_Mgp.14_1        COVAR   15078     0.001059    0.0029951    0.0038785      0.39241 Endothelial_Tip_Dcn_Mgp.14_1
Endothelial_Tip_Dcn_Ifitm1.1...     COVAR   15078    0.0017578     0.004934    0.0037341      0.31892 Endothelial_Tip_Dcn_Ifitm1.14_2
Endothelial_Tip_Dcn_Alcam.14...     COVAR   15078   -0.0058215    -0.017293    0.0026299      0.98656 Endothelial_Tip_Dcn_Alcam.14_3
Neuron_Slc17a6.2_1                  COVAR   15078     0.005004     0.013969    0.0061191      0.20675 Neuron_Slc17a6.2_1
Neuron_Gad1Gad2_Nfib-Satb1.3...     COVAR   15078    0.0078314     0.021922    0.0060755     0.098707 Neuron_Gad1Gad2_Nfib-Satb1.3_1
Neuron_Slc17a6_Cacna2d1.3_10        COVAR   15078   -0.0068899    -0.018139    0.0076659      0.81561 Neuron_Slc17a6_Cacna2d1.3_10
Neuron_Slc17a6_Shox2.3_11           COVAR   15078    -0.011723    -0.032216    0.0062831      0.96896 Neuron_Slc17a6_Shox2.3_11
Neuron_Slc17a6_Nkx6-1.3_12          COVAR   15078   0.00014127   0.00038548    0.0069544       0.4919 Neuron_Slc17a6_Nkx6-1.3_12
Neuron_Gad1Gad2_Sema3e.3_13         COVAR   15078   -0.0024425   -0.0065722    0.0072268      0.63231 Neuron_Gad1Gad2_Sema3e.3_13
Neuron_Gad1Gad2_Ttn.3_14            COVAR   15078  -0.00047299   -0.0012918    0.0072027      0.52618 Neuron_Gad1Gad2_Ttn.3_14
Neuron_Slc17a6_C1ql2.3_15           COVAR   15078    0.0039577     0.010598    0.0070847      0.28822 Neuron_Slc17a6_C1ql2.3_15
Neuron_Gad1Gad2_Gad2-Kcnc3.3...     COVAR   15078    0.0013211    0.0036409    0.0058065      0.41001 Neuron_Gad1Gad2_Gad2-Kcnc3.3_16
Neuron_Gad1Gad2_Sema3e-Kcng4...     COVAR   15078    0.0039009     0.010972    0.0050412      0.21953 Neuron_Gad1Gad2_Sema3e-Kcng4.3_17
Neuron_Gad1Gad2_Pax5.3_18           COVAR   15078   -0.0023073   -0.0061648    0.0071209      0.62704 Neuron_Gad1Gad2_Pax5.3_18
Neuron_Gad1Gad2_Tmem132c.3_19       COVAR   15078   -0.0005449    -0.001535    0.0054867      0.53955 Neuron_Gad1Gad2_Tmem132c.3_19
Neuron_Gad1Gad2_Otx2-Chrna3....     COVAR   15078   0.00057019    0.0016727    0.0052488      0.45675 Neuron_Gad1Gad2_Otx2-Chrna3.3_2
Neuron_Gad1Gad2_Gad2.3_3            COVAR   15078  -0.00030907  -0.00082178    0.0080073      0.51539 Neuron_Gad1Gad2_Gad2.3_3
Neuron_Gad1Gad2_Ndnf.3_4            COVAR   15078   -0.0037181    -0.010978    0.0049463      0.77387 Neuron_Gad1Gad2_Ndnf.3_4
Neuron_Gad1Gad2_Rln3.3_5            COVAR   15078   -0.0019314   -0.0058574    0.0041955      0.67736 Neuron_Gad1Gad2_Rln3.3_5
Neuron_Slc17a6_Tcf4.3_6             COVAR   15078  -0.00013511  -0.00037318    0.0063529      0.50848 Neuron_Slc17a6_Tcf4.3_6
Neuron_Slc17a6-Gad2-Th_Crhbp...     COVAR   15078    0.0064661     0.018049    0.0063251      0.15333 Neuron_Slc17a6-Gad2-Th_Crhbp.3_7
Neuron_Gad1Gad2_Gad2-Fos.3_8        COVAR   15078   -0.0010418   -0.0030544    0.0047994      0.58592 Neuron_Gad1Gad2_Gad2-Fos.3_8
Neuron_Slc17a6_Nts.3_9              COVAR   15078   -0.0017804   -0.0049883    0.0058823      0.61893 Neuron_Slc17a6_Nts.3_9
Neuron_Th-Slc17a6-Lpl.4_1           COVAR   15078    0.0042973     0.011951     0.006133      0.24175 Neuron_Th-Slc17a6-Lpl.4_1
Neuron_Th_Cbln1.4_2                 COVAR   15078    0.0069787     0.020328    0.0049185     0.077979 Neuron_Th_Cbln1.4_2
Neuron_Th_Cyp26b1.4_3               COVAR   15078    0.0047206     0.013236    0.0060684      0.21832 Neuron_Th_Cyp26b1.4_3
Neuron_Th_C1ql3.4_4                 COVAR   15078  -0.00025991  -0.00074512    0.0053353      0.51943 Neuron_Th_C1ql3.4_4
Neuron_Th_Vcan.4_5                  COVAR   15078    0.0016395    0.0045639    0.0061296      0.39455 Neuron_Th_Vcan.4_5
Neuron_Th_Cadm2.4_6                 COVAR   15078    0.0050046     0.015281    0.0031078     0.053677 Neuron_Th_Cadm2.4_6
Neuron_Th_Nefl.4_7                  COVAR   15078    0.0074607      0.02068    0.0060445      0.10856 Neuron_Th_Nefl.4_7
Neuron_Th_Aldh1a1.4_8               COVAR   15078     0.011675     0.032157    0.0064022     0.034122 Neuron_Th_Aldh1a1.4_8
Neuron_Th_Grin2c.4_9                COVAR   15078   -0.0014555   -0.0039923    0.0064865      0.58877 Neuron_Th_Grin2c.4_9
Polydendrocyte_Tnr_Bmp4.5_1         COVAR   15078    0.0042992       0.0124    0.0047852      0.18449 Polydendrocyte_Tnr_Bmp4.5_1
Polydendrocyte_Tnr_Tmem2.5_2        COVAR   15078    0.0062545      0.01758    0.0049217      0.10191 Polydendrocyte_Tnr_Tmem2.5_2
Polydendrocyte_Tnr_Opalin.5_3       COVAR   15078    0.0010292    0.0028609    0.0047868      0.41488 Polydendrocyte_Tnr_Opalin.5_3
Polydendrocyte_Tnr_Cspg5.6_1        COVAR   15078   -0.0075761    -0.023622    0.0033162      0.98882 Polydendrocyte_Tnr_Cspg5.6_1
Polydendrocyte_Tnr_Cspg5-Dad...     COVAR   15078    -0.007533    -0.021972    0.0048005      0.94169 Polydendrocyte_Tnr_Cspg5-Dad1.6_2
Astrocyte_Gja1_Myoc.7_1             COVAR   15078   -0.0034983   -0.0096933     0.004626      0.77524 Astrocyte_Gja1_Myoc.7_1
Astrocyte_Gja1_Cst3.7_2             COVAR   15078  -0.00067684   -0.0017536    0.0058949       0.5457 Astrocyte_Gja1_Cst3.7_2
Astrocyte_Gja1_Igfbp2.7_3           COVAR   15078   -0.0026764   -0.0079959    0.0029228      0.82008 Astrocyte_Gja1_Igfbp2.7_3
Ependyma_Ccdc153.8_1                COVAR   15078    0.0045411     0.014097    0.0028862     0.057825 Ependyma_Ccdc153.8_1
Macrophage_C1qb_Mrc1.9_1            COVAR   15078    0.0015302    0.0044056    0.0037806      0.34283 Macrophage_C1qb_Mrc1.9_1
Microglia_C1qb_Tmem119.9_2          COVAR   15078  -0.00068348     -0.00211    0.0026723      0.60093 Microglia_C1qb_Tmem119.9_2
