# TOTAL_GENES = 15078
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Ependyma_Ccdc153_Ccdc153.1_1        COVAR   15078    0.0051546     0.013514    0.0045869      0.13056 Ependyma_Ccdc153_Ccdc153.1_1
Neuron_Gad1Gad2_Drd1-Fos.10_1       COVAR   15078    0.0022708     0.006362    0.0075106       0.3812 Neuron_Gad1Gad2_Drd1-Fos.10_1
Neuron_Gad1Gad2_Drd1-Lypd1.1...     COVAR   15078    0.0002537   0.00070667    0.0080084      0.48736 Neuron_Gad1Gad2_Drd1-Lypd1.10_2
Neuron_Gad1Gad2_Drd1-Pde1a.1...     COVAR   15078    0.0018734    0.0052461    0.0078653      0.40587 Neuron_Gad1Gad2_Drd1-Pde1a.10_3
Neuron_Gad1Gad2_Drd1-Nefm.10...     COVAR   15078    0.0041755     0.011618    0.0077598      0.29526 Neuron_Gad1Gad2_Drd1-Nefm.10_4
Neuron_Gad1Gad2_Drd1-Cxcl14....     COVAR   15078    0.0066914     0.018827    0.0069659      0.16838 Neuron_Gad1Gad2_Drd1-Cxcl14.10_5
Neuron_Gad1Gad2_Adora2a-Nefm...     COVAR   15078    0.0021362    0.0059324    0.0078338      0.39255 Neuron_Gad1Gad2_Adora2a-Nefm.11_1
Neuron_Gad1Gad2_Adora2a-Nnat...     COVAR   15078   -0.0014793   -0.0041089    0.0082471      0.57118 Neuron_Gad1Gad2_Adora2a-Nnat.11_2
Neuron_Gad1Gad2_Adora2a-Fos....     COVAR   15078    0.0035758      0.01004    0.0074874      0.31648 Neuron_Gad1Gad2_Adora2a-Fos.11_3
Neuron_Gad1Gad2-Chat-Slc17a8...     COVAR   15078    0.0012277    0.0034216     0.006188      0.42137 Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1
Neuron_Gad1Gad2_Drd1-Tpbg.13...     COVAR   15078   -0.0010867   -0.0030595    0.0073581       0.5587 Neuron_Gad1Gad2_Drd1-Tpbg.13_1
Neuron_Gad1Gad2_Drd1-Nfib.13...     COVAR   15078  -0.00077089   -0.0023272    0.0047118      0.56498 Neuron_Gad1Gad2_Drd1-Nfib.13_10
Neuron_Gad1Gad2_Sgol2a.13_11        COVAR   15078    0.0040313      0.01256    0.0027003     0.067743 Neuron_Gad1Gad2_Sgol2a.13_11
Neuron_Gad1Gad2_Drd1-Otof-So...     COVAR   15078   -0.0002204  -0.00061979    0.0068037      0.51292 Neuron_Gad1Gad2_Drd1-Otof-Sorcs1.13_2
Neuron_Gad1Gad2_Drd1-Otof-Lm...     COVAR   15078    0.0010092    0.0028689    0.0066928      0.44007 Neuron_Gad1Gad2_Drd1-Otof-Lmo2.13_3
Neuron_Gad1Gad2_Adora2a-Otof...     COVAR   15078   -0.0080148    -0.022673    0.0066296      0.88665 Neuron_Gad1Gad2_Adora2a-Otof.13_4
Neuron_Gad1Gad2_Adora2a-Th.1...     COVAR   15078   -0.0023829    -0.006982    0.0058264      0.65872 Neuron_Gad1Gad2_Adora2a-Th.13_5
Neuron_Slc17a6_Oprk1.13_6           COVAR   15078   0.00072924     0.002356    0.0031802      0.40932 Neuron_Slc17a6_Oprk1.13_6
Neuron_Slc17a7_Cplx3.13_7           COVAR   15078   -0.0018643    -0.005577    0.0046717      0.65507 Neuron_Slc17a7_Cplx3.13_7
Neuron_Slc17a7_Dkk3.13_8            COVAR   15078   -0.0040353     -0.01256    0.0038196      0.85462 Neuron_Slc17a7_Dkk3.13_8
Neuron_Gad1Gad2_Resp18.13_9         COVAR   15078    0.0049237     0.013948     0.006606      0.22804 Neuron_Gad1Gad2_Resp18.13_9
Neuron_Gad1Gad2_Pvalb_Pvalb-...     COVAR   15078    -0.005929    -0.016481    0.0067139       0.8114 Neuron_Gad1Gad2_Pvalb_Pvalb-Megf11.14_1
Neuron_Gad1Gad2_Pnoc.14_2           COVAR   15078      0.00218    0.0067298    0.0040125      0.29347 Neuron_Gad1Gad2_Pnoc.14_2
