# TOTAL_GENES = 15078
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Slc17a7_Tac2_Chat.1_1        COVAR   15078   -0.0011703   -0.0033741    0.0055811      0.58305 Neuron_Slc17a7_Tac2_Chat.1_1
Neuron_Slc17a7_Tac2_Syt15.1_2       COVAR   15078   -0.0067295    -0.019131    0.0058442      0.87522 Neuron_Slc17a7_Tac2_Syt15.1_2
Neuron_Slc17a7_Tac2_Wif1.1_3        COVAR   15078   -0.0023169   -0.0065153    0.0061065      0.64781 Neuron_Slc17a7_Tac2_Wif1.1_3
Neuron_Slc17a7_Tac2_Htr2c.1_4       COVAR   15078   -0.0035036    -0.010963    0.0037918      0.82225 Neuron_Slc17a7_Tac2_Htr2c.1_4
Ependymal_Ccdc153.10_1              COVAR   15078    0.0047829     0.012636    0.0042783       0.1318 Ependymal_Ccdc153.10_1
Astrocyte_Gja1_Myoc.11_1            COVAR   15078   0.00043012    0.0012337    0.0040413      0.45762 Astrocyte_Gja1_Myoc.11_1
Astrocyte_Gja1_Vegfa.11_2           COVAR   15078   -0.0062731    -0.015663    0.0058931      0.85643 Astrocyte_Gja1_Vegfa.11_2
Polydendrocyte_Tnr_Pdgfa.12_1       COVAR   15078   0.00075705    0.0021493    0.0047654      0.43689 Polydendrocyte_Tnr_Pdgfa.12_1
Polydendrocyte_Tnr_Ctps.12_2        COVAR   15078  -0.00053414   -0.0014831     0.004799      0.54431 Polydendrocyte_Tnr_Ctps.12_2
Polydendrocyte_Tnr_Bmp4.12_3        COVAR   15078    -0.001937   -0.0054405    0.0054149      0.63972 Polydendrocyte_Tnr_Bmp4.12_3
Polydendrocyte_Tnr_Cspg5.12_4       COVAR   15078    0.0040528     0.012156    0.0041965      0.16709 Polydendrocyte_Tnr_Cspg5.12_4
Neuron_Slc17a6_Rora_Atp2b4.2...     COVAR   15078   -0.0029094   -0.0077997    0.0074476      0.65197 Neuron_Slc17a6_Rora_Atp2b4.2_1
Neuron_Slc17a6_Rora_Cacng4.2...     COVAR   15078    0.0024171    0.0064524    0.0075116      0.37381 Neuron_Slc17a6_Rora_Cacng4.2_10
Neuron_Slc17a6_Rora_Pvalb.2_...     COVAR   15078     0.002077    0.0055904    0.0074121      0.38965 Neuron_Slc17a6_Rora_Pvalb.2_11
Neuron_Slc17a6_Rora_Nptxr.2_2       COVAR   15078   -0.0078605    -0.020949    0.0077702      0.84413 Neuron_Slc17a6_Rora_Nptxr.2_2
Neuron_Slc17a6_Rora_Calca.2_3       COVAR   15078    0.0037682     0.010149    0.0075418      0.30867 Neuron_Slc17a6_Rora_Calca.2_3
Neuron_Slc17a6_Rora_Nrp2.2_4        COVAR   15078   -0.0069039    -0.018642    0.0077407      0.81377 Neuron_Slc17a6_Rora_Nrp2.2_4
