Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_CB_level2	Endothelial_Stalk_Flt1_Mgp.10_1	15078	0.0093968	0.027886	0.0040359	0.0099545	0.2488625	1
DropViz_CB_level2	Endothelial_Stalk_Flt1_Car4.10_2	15078	0.0064336	0.019005	0.0041238	0.059379	1	1
DropViz_CB_level2	Choroid_Plexus_Ttr.9_1	15078	0.0039822	0.011032	0.0039863	0.15891	1	1
DropViz_CB_level2	Microglia_C1qb_Mrc1-Tmem119.5_1	15078	0.0028965	0.0089354	0.0031077	0.17567	1	1
DropViz_CB_level2	Oligodendrocyte_Trf_Klk6.6_2	15078	0.0028694	0.0083291	0.0039129	0.23169	1	1
DropViz_CB_level2	Endothelial_Stalk_Flt1_Lrg1.10_3	15078	0.0029156	0.0086688	0.0040905	0.23799	1	1
DropViz_CB_level2	Gja1_Gfap.8_1	15078	0.0019244	0.0059825	0.0031461	0.27038	1	1
DropViz_CB_level2	Endothelial_Tip_Dcn_Apod.11_2	15078	0.0014683	0.0043432	0.0033362	0.32993	1	1
DropViz_CB_level2	Neuron_Slc17a6_Sln.4_1	15078	0.0012702	0.0037344	0.0047328	0.39421	1	1
DropViz_CB_level2	Neuron_Slc17a6_Nrgn.4_3	15078	0.00077515	0.0024031	0.0035723	0.41411	1	1
DropViz_CB_level2	Endothelial_Tip_Dcn_Nnat.11_1	15078	0.0006878	0.0019855	0.0037023	0.42631	1	1
DropViz_CB_level2	Polydendrocyte_Tnr_Tnr.6_3	15078	9.4925e-06	2.9253e-05	0.0031494	0.4988	1	1
DropViz_CB_level2	Oligodendroyte_Trf_Il33.6_1	15078	-0.0010157	-0.0028038	0.0051963	0.57748	1	1
DropViz_CB_level2	Astrocyte_Gja_Slc1a3.7_1	15078	-0.0016195	-0.0044145	0.0056035	0.61371	1	1
DropViz_CB_level2	Mural_Acta2Rgs5_Kcnj8.11_4	15078	-0.0010551	-0.0033379	0.0028924	0.64236	1	1
DropViz_CB_level2	Neuron_Slc17a7_Gabra6.1_1	15078	-0.0026989	-0.0076014	0.0060946	0.67105	1	1
DropViz_CB_level2	Neuron_Gad1Gad2_Pcp2.2_1	15078	-0.002343	-0.0066688	0.00475	0.68908	1	1
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Nefh.3_1	15078	-0.0037285	-0.010569	0.0051189	0.7668	1	1
DropViz_CB_level2	Neuron_Gad1Gad2_Lgi2.4_2	15078	-0.0035595	-0.010386	0.0044257	0.78937	1	1
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Chrm2.3_4	15078	-0.0039806	-0.011832	0.0043244	0.82134	1	1
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Rab3b.3_2	15078	-0.0049615	-0.014427	0.0049809	0.84039	1	1
DropViz_CB_level2	Gja1_Htra1.8_2	15078	-0.0047521	-0.013489	0.0046833	0.84487	1	1
DropViz_CB_level2	Mural_Acta2Rgs5_Rgs5.11_5	15078	-0.0030858	-0.0096527	0.0028921	0.85699	1	1
DropViz_CB_level2	Mural_Acta2Rgs5_Acta2.11_3	15078	-0.0042198	-0.012798	0.0035162	0.88494	1	1
DropViz_CB_level2	Neuron_Gad1Gad2_Pvalb-Cadm1.3_3	15078	-0.0058131	-0.017383	0.0043592	0.90881	1	1
DropViz_ENT_level2	Oligodendrocyte_Trf_Ndrg2.8_2	15078	0.010961	0.029346	0.0044256	0.0066371	0.2322985	1
DropViz_ENT_level2	Neuron_Gad1Gad2_Otx2.4_11	15078	0.0053745	0.017512	0.0028681	0.030483	1	1
DropViz_ENT_level2	Endothelial_Stalk_Flt1_Tgfb2.2_3	15078	0.007945	0.022514	0.0046052	0.042256	1	1
DropViz_ENT_level2	Endothelial_Stalk_Flt1_Gkn3.2_4	15078	0.0062353	0.017594	0.0045636	0.085931	1	1
DropViz_ENT_level2	Endothelial_Stalk_Flt1_Car4.2_1	15078	0.0061358	0.01724	0.0047019	0.095961	1	1
DropViz_ENT_level2	Endothelial_Stalk_Flt1_Vwf.2_2	15078	0.0052427	0.015239	0.0040787	0.099341	1	1
DropViz_ENT_level2	Oligodendrocyte_Trf_Cldn11.8_1	15078	0.004661	0.013291	0.0043808	0.14368	1	1
DropViz_ENT_level2	Neuron_Gad1Gad2-Chat.4_12	15078	0.0023571	0.0074638	0.0029446	0.21173	1	1
DropViz_ENT_level2	Neuron_Gad1Gad2_Dlk1.4_4	15078	0.0035849	0.0097641	0.0056473	0.26278	1	1
DropViz_ENT_level2	Neuron_Slc17a7_Zbtb20.4_1	15078	0.0018696	0.0058125	0.0033985	0.29112	1	1
DropViz_ENT_level2	Oligodendrocyte_Trf_Ctps.1_5	15078	0.0025504	0.0069957	0.0057192	0.32783	1	1
DropViz_ENT_level2	Polydendrocyte_Tnr_Ctps.5_3	15078	0.0016884	0.0047693	0.0050562	0.36922	1	1
DropViz_ENT_level2	Oligodendrocyte_Trf_Klk6.1_2	15078	0.00095093	0.0025632	0.0061242	0.4383	1	1
DropViz_ENT_level2	Polydendrocyte_Tnr_Pdgfa.5_2	15078	0.00044786	0.0012746	0.0051955	0.46565	1	1
DropViz_ENT_level2	Neuron_Slc17a6_Pitx2.4_6	15078	0.00038065	0.0010411	0.005393	0.47187	1	1
DropViz_ENT_level2	Neuron_Gad1Gad2_Pvalb-Ntng1.4_8	15078	-0.00031565	-0.0009019	0.0045767	0.52749	1	1
DropViz_ENT_level2	Polydendrocyte_Tnr_Cspg5.6_1	15078	-0.00038816	-0.001115	0.0050352	0.53072	1	1
DropViz_ENT_level2	Neuron_Gad1Gad2-Slc17a6_Cbln1.4_3	15078	-0.00055217	-0.0015936	0.0046719	0.54704	1	1
DropViz_ENT_level2	Astrocyte_Gja1_Myoc.7_1	15078	-0.00072839	-0.0021522	0.0038929	0.57421	1	1
DropViz_ENT_level2	Neuron_Gad1Gad2_Six3-Pvalb.4_2	15078	-0.0010857	-0.0031075	0.0050129	0.58573	1	1
DropViz_ENT_level2	Neuron_Gad1Gad2_Pvalb-Spp1.4_9	15078	-0.0010234	-0.0029808	0.0041088	0.59835	1	1
DropViz_ENT_level2	Endothelial_Tip_Dcn.3_2	15078	-0.0010318	-0.0031348	0.0032631	0.62408	1	1
DropViz_ENT_level2	Oligodendrocyte_Trf_Il33.1_4	15078	-0.0021399	-0.0057421	0.0065479	0.62809	1	1
DropViz_ENT_level2	Oligodendrocyte_Trf_Serpinb1a.1_1	15078	-0.0027698	-0.0074513	0.0064607	0.66593	1	1
DropViz_ENT_level2	Mural_Rgs5Acta2_Junb.3_6	15078	-0.001184	-0.0036128	0.0026643	0.67161	1	1
DropViz_ENT_level2	Neuron_Gad1Gad2_Tcf7l2.4_5	15078	-0.0023528	-0.0069789	0.004369	0.70489	1	1
DropViz_ENT_level2	Oligodendrocyte_Trf_Ndrg2.1_3	15078	-0.003971	-0.010669	0.0067623	0.72147	1	1
DropViz_ENT_level2	Mural_Rgs5Acta2_Cnn1.3_5	15078	-0.0024679	-0.0072671	0.0037773	0.74323	1	1
DropViz_ENT_level2	Neuron_Gad1Gad2_Pvalb-Gfra2.4_7	15078	-0.003688	-0.010124	0.0056151	0.74434	1	1
DropViz_ENT_level2	Astrocyte_Gja1_Htra1.7_2	15078	-0.0034561	-0.009392	0.0051999	0.74685	1	1
DropViz_ENT_level2	Neuron_Gad1Gad2_Pmch.4_10	15078	-0.0027701	-0.0087783	0.002909	0.82951	1	1
DropViz_ENT_level2	Polydendrocyte_Tnr_Bmp4.5_1	15078	-0.0049553	-0.014442	0.0050618	0.83619	1	1
DropViz_ENT_level2	Mural_Rgs5Acta2_Pdgfa.3_3	15078	-0.0044364	-0.013769	0.0031116	0.92302	1	1
DropViz_ENT_level2	Mural_Rgs5Acta2_Kcnj8.3_1	15078	-0.0052968	-0.01615	0.003486	0.93566	1	1
DropViz_ENT_level2	Mural_Rgs5Acta2_Ccnd1.3_4	15078	-0.013826	-0.040148	0.0040642	0.99966	1	1
DropViz_FC_level2	Endothelial_Stalk_Flt1_Lrg1.12_5	15078	0.0077147	0.023269	0.0032514	0.008836	0.715716	1
DropViz_FC_level2	Endothelial_Stalk_Flt1_Mgp.12_2	15078	0.0058491	0.016642	0.0038245	0.063098	1	1
DropViz_FC_level2	Endothelial_Stalk_Flt1_Gkn3.12_1	15078	0.0065595	0.017477	0.0048824	0.089566	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Pvalb.2_7	15078	0.010213	0.028019	0.0079389	0.099146	1	1
DropViz_FC_level2	Endothelial_Tip_Dcn_Inmt.14_5	15078	0.0038586	0.011917	0.0030387	0.10209	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Sst-Nr2f2.2_5	15078	0.008923	0.024833	0.0073707	0.11303	1	1
DropViz_FC_level2	Endothelial_Tip_Dcn_1500015O10Rik.14_1	15078	0.0050158	0.014138	0.0042281	0.11776	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Pvalb-Unc5b.2_6	15078	0.0068077	0.019571	0.0059092	0.12466	1	1
DropViz_FC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.1_5	15078	0.0092657	0.025493	0.0081252	0.12708	1	1
DropViz_FC_level2	Endothelial_Stalk_Flt1_Cfh.12_4	15078	0.0053778	0.014472	0.0047336	0.12797	1	1
DropViz_FC_level2	Endothelial_Stalk_Flt1_Car4.12_3	15078	0.0054651	0.01463	0.0049078	0.13274	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Pvalb-Necab1.2_9	15078	0.0082559	0.022533	0.0081045	0.15419	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Crispld2.1_4	15078	0.0067457	0.018877	0.0071807	0.17376	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.2_8	15078	0.0068579	0.018788	0.0073277	0.17467	1	1
DropViz_FC_level2	Mural_Rgs5Acta2_Col3a1.13_4	15078	0.0030108	0.0088911	0.0034957	0.19455	1	1
DropViz_FC_level2	Oligodendrocyte_Tnf_Igsf8.9_1	15078	0.0046323	0.012193	0.0055438	0.2017	1	1
DropViz_FC_level2	Neuron_Slc17a7_Parm1_Tshz2.7_7	15078	0.005838	0.01625	0.007593	0.22099	1	1
DropViz_FC_level2	Neuron_Slc17a6_Reln.11_2	15078	0.0023777	0.007583	0.0032243	0.23044	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Nnat.1_3	15078	0.0037915	0.011003	0.005873	0.25928	1	1
DropViz_FC_level2	Macrophage_C1qb_Mrc1.11_3	15078	0.0025292	0.0070817	0.0039587	0.26145	1	1
DropViz_FC_level2	Microglia_C1qb_Tmem119-Fos.11_4	15078	0.0016057	0.0050789	0.0026119	0.26936	1	1
DropViz_FC_level2	Endothelial_Tip_Dcn_Col15a1.14_4	15078	0.002826	0.0077643	0.0046996	0.27382	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Cplx3-Dpy19l1.1_8	15078	0.0029894	0.0088238	0.0052897	0.286	1	1
DropViz_FC_level2	Polydendrocyte_Tnr_Pdgfa.10_3	15078	0.0019466	0.0054159	0.0050459	0.34983	1	1
DropViz_FC_level2	Neuron_Gad1Gad2-Th_Nr4a2.2_10	15078	0.0021978	0.0061337	0.0069647	0.37617	1	1
DropViz_FC_level2	Oligodendrocyte_Tnf_Igsf8-Ctps.9_2	15078	0.0013495	0.0037247	0.0045733	0.38397	1	1
DropViz_FC_level2	Polydendrocyte_Tnr_Bmp4-_Ptgds.10_5	15078	0.0014599	0.0040649	0.0052513	0.39051	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Sst-Chodl.2_1	15078	0.0015035	0.0042777	0.0057748	0.3973	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Dpy19l1.1_7	15078	0.0013429	0.0038244	0.0066155	0.41957	1	1
DropViz_FC_level2	Neuron_Gad1Gad2-Slc17a8_Synpr-Sncg-Yjefn3.1_10	15078	0.0012673	0.0035105	0.0074848	0.43278	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Sst-Pdyn.2_2	15078	0.00097476	0.002686	0.0075027	0.44832	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	15078	0.00033728	0.00092875	0.0082606	0.48372	1	1
DropViz_FC_level2	Oligodendrocyte_Tnf_Klk6.9_5	15078	6.5484e-05	0.00017422	0.0055969	0.49533	1	1
DropViz_FC_level2	Polydendrocyte_Tnr_Dlx1.10_2	15078	-7.7944e-06	-2.2311e-05	0.0042621	0.50073	1	1
DropViz_FC_level2	Neuron_Slc17a7_Nptxr-Ndst4.6_2	15078	-5.5121e-05	-0.00015202	0.0086881	0.50253	1	1
DropViz_FC_level2	Mural_Rgs5Acta2_Abcc9.13_3	15078	-4.2872e-05	-0.00012162	0.0043969	0.50389	1	1
DropViz_FC_level2	Endothelial_Tip_Dcn_Coch.14_3	15078	-5.2586e-05	-0.00015205	0.0036961	0.50568	1	1
DropViz_FC_level2	Oligodendrocyte_Tnf_Ptgds.9_4	15078	-0.00070182	-0.0018332	0.0061065	0.54575	1	1
DropViz_FC_level2	Neuron_Slc17a7_Parm1_Cadm2.7_5	15078	-0.00078548	-0.0021874	0.0059062	0.5529	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Sst-Crh.2_4	15078	-0.0011458	-0.0031672	0.0077865	0.55849	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Cplx3.1_1	15078	-0.0014671	-0.0040313	0.0083425	0.56979	1	1
DropViz_FC_level2	Neuron_Slc17a7_Parm1_Fos.7_4	15078	-0.00086062	-0.002643	0.0042319	0.58057	1	1
