annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	7	0.00862068965517241	0.924718871960284	1
UTR5	71546	0.00285251910856087	1	0.00123152709359606	0.43173316171662	0.735076254469545
downstream	284177	0.0113300579027968	6	0.00738916256157635	0.652173415614439	0.403382775568527
exonic	254736	0.0101562534263042	10	0.0123152709359606	1.21258011385031	0.482217033114339
intergenic	11684523	0.465858680176655	278	0.342364532019704	0.734910707019302	1.19238404377084e-12
intronic	9137749	0.364319509570527	281	0.346059113300493	0.949878071883769	0.290393113751664
ncRNA_exonic	259951	0.0103641740249561	16	0.0197044334975369	1.90120635277739	0.0143034904675856
ncRNA_intronic	2884355	0.114998431126451	212	0.261083743842365	2.27032439734138	2.03764984926014e-30
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	0	0	0	1
upstream	266686	0.0106326966005879	1	0.00123152709359606	0.115824530677191	0.00309920533662934
