# TOTAL_GENES = 18880
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      23     -0.25425   -0.0088688      0.18612      0.91403 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      41     0.080004    0.0037243      0.13669      0.27918 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7       0.8583     0.016524      0.34273    0.0061384 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13      0.30585    0.0080232      0.25029      0.11087 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16      0.11127     0.003238      0.20196      0.29083 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13     0.024506   0.00064283      0.25322      0.46145 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41      0.14504    0.0067516      0.13093      0.13399 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18       0.3113    0.0096078      0.19549     0.055651 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      32     0.032861    0.0013517      0.14895       0.4127 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28     -0.15365    -0.005913      0.15925      0.83269 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20     0.025495   0.00082937      0.18877      0.44628 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26      0.17333    0.0064279      0.16875      0.15219 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      42   -0.0032283   -0.0001521      0.10745      0.51198 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     519    -0.022156   -0.0036228      0.03672      0.72687 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     908     0.011565    0.0024747     0.027354      0.33622 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     156     0.052508    0.0047533     0.071905      0.23263 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     243     0.086644    0.0097665     0.060928     0.077513 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      95     0.012261    0.0008676     0.087226      0.44411 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     120      0.01095   0.00087022      0.08294      0.44748 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     262   -0.0023027  -0.00026938     0.048229      0.51904 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     811     0.037005    0.0075032     0.028717     0.098779 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     715     -0.05844    -0.011155     0.034366      0.95547 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     339    -0.098564    -0.013089     0.043613      0.98808 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     161     0.005185   0.00047677      0.06151      0.46641 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET     110     0.039813    0.0030301     0.076811      0.30212 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      81     0.013402   0.00087597     0.088885      0.44008 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      72      0.12966    0.0079919      0.10178      0.10135 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     239    -0.030131   -0.0033686     0.053943      0.71177 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     187     0.077639    0.0076887     0.062104      0.10563 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10     -0.21221   -0.0048827      0.30271      0.75835 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     231     0.028788    0.0031649     0.057895      0.30951 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     294    -0.047379   -0.0058663     0.050394      0.82643 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      33      0.23248    0.0097113      0.15431     0.065966 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      28   -0.0095329  -0.00036685      0.15545      0.52445 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      38      0.19552    0.0087631      0.13721     0.077094 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                   SET      62      0.07396    0.0042314      0.11094       0.2525 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                   SET      26      0.14098    0.0052284      0.15852      0.18691 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1         SET     178     0.033787    0.0032652      0.06165      0.29184 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     131      0.21438     0.017795     0.078055    0.0030153 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84      0.06238    0.0041517     0.092771      0.25067 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231     -0.01015   -0.0011159      0.05357      0.57514 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24    -0.025858  -0.00092137      0.16311      0.56298 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5     -0.39166    -0.006373      0.44388       0.8112 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33     0.016789   0.00070131      0.14947      0.45528 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16      0.47775     0.013902      0.21667     0.013734 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     181     0.074864    0.0072951     0.062037      0.11377 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     114     -0.17074    -0.013228      0.08372      0.97929 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104     0.058807    0.0043527     0.084473      0.24317 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18     -0.23346   -0.0072052      0.19785      0.88099 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65     0.099649     0.005837     0.095853      0.14927 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40     -0.20927   -0.0096225      0.12883      0.94785 AMIT_EGF_RESPONSE_120_MCF10A
